ME,Iteration,Hidden Nodes,Learning Rate,Momentum,Regularization
10.3982607371887,1,"(16, 16)",0.1,0.8,0.001
10.3988418639935,1,"(8, 8)",0.1,0.5,0.0001
10.412144369154,0,"(32, 32)",0.2,0.5,0.0001
10.415867096534,2,64,0.2,0.5,0.0001
10.4175976112697,1,128,0.1,0.5,0.001
10.4240447748557,0,128,0.2,0.3,0.0001
10.4268539965061,1,128,0.1,0.8,0.0001
10.4294357015717,2,"(32, 32)",0.2,0.5,0.0005
10.4313599240614,1,"(8, 8)",0.1,0.8,0.0001
10.4329573804657,2,"(8, 8, 8)",0.2,0.5,0.0001
10.4415467585093,0,"(16, 32, 16)",0.1,0.3,0.001
10.4517039926939,0,64,0.2,0.3,0.001
10.4526865338942,0,64,0.2,0.8,0.0001
10.4531233920305,0,"(32, 32)",0.1,0.3,0.0005
10.4541252451148,0,"(8, 8)",0.1,0.8,0.0005
10.4571560585573,0,"(16, 32, 16)",0.1,0.5,0.0005
10.4578938477212,0,32,0.1,0.8,0.001
10.4600652312096,0,32,0.1,0.8,0.0001
10.4668194777314,0,"(8, 8)",0.1,0.3,0.001
10.4673405878892,2,"(16, 32, 16)",0.1,0.5,0.001
10.4690089995846,1,"(16, 16)",0.1,0.3,0.0005
10.4690272954213,1,32,0.1,0.8,0.001
10.4701010846209,1,"(32, 32)",0.1,0.5,0.0001
10.4735831353843,2,"(8, 8)",0.2,0.5,0.0005
10.4747318003875,2,"(8, 8)",0.2,0.5,0.001
10.4752312868424,1,"(16, 16)",0.1,0.3,0.0001
10.4777700975391,2,32,0.1,0.3,0.0005
10.4777909091221,1,"(8, 8, 8)",0.1,0.8,0.0005
10.4798570917707,1,64,0.1,0.3,0.0005
10.4803015432383,1,"(8, 16, 8)",0.1,0.3,0.001
10.480520501003,1,"(16, 32, 16)",0.1,0.8,0.0001
10.4815358233958,0,64,0.1,0.8,0.0005
10.4846562671501,1,128,0.1,0.8,0.0005
10.4852024007164,1,"(16, 16)",0.1,0.5,0.001
10.4856494606625,1,"(32, 32)",0.1,0.5,0.001
10.4912231404868,0,"(16, 16)",0.1,0.5,0.001
10.4914603852749,0,"(8, 16, 8)",0.2,0.5,0.0001
10.4930592136034,2,"(8, 8, 8)",0.2,0.8,0.0005
10.4957390409871,1,64,0.2,0.8,0.0001
10.4967456911582,1,"(8, 8)",0.2,0.5,0.001
10.4979497399088,0,64,0.1,0.3,0.0005
10.4979903776308,0,128,0.1,0.3,0.0005
10.5067225012603,2,32,0.1,0.3,0.0001
10.5068425686371,2,"(8, 8)",0.1,0.3,0.0001
10.5076000782952,2,128,0.2,0.8,0.0005
10.513687173029,0,"(8, 16, 8)",0.1,0.8,0.0005
10.5143035275504,1,128,0.2,0.8,0.001
10.5151480504254,2,"(8, 8)",0.1,0.8,0.0005
10.5202808484017,0,128,0.2,0.8,0.001
10.523283659739,0,32,0.1,0.5,0.0005
10.5236193764912,2,"(32, 32)",0.1,0.8,0.0005
10.5247157806003,1,32,0.1,0.8,0.0001
10.5254463911446,0,"(16, 16)",0.1,0.3,0.0001
10.5301797325901,1,64,0.1,0.5,0.0001
10.5335783257417,1,"(8, 8, 8)",0.2,0.8,0.001
10.5343364986619,1,"(8, 8)",0.2,0.8,0.0001
10.5345120311478,2,128,0.2,0.8,0.0001
10.5350766780973,1,"(32, 32)",0.2,0.8,0.0001
10.5367624135024,2,"(32, 32)",0.1,0.8,0.001
10.5402006866424,2,"(8, 8)",0.1,0.3,0.001
10.5457017973324,0,32,0.2,0.3,0.0001
10.5469814762143,1,"(16, 32, 16)",0.1,0.3,0.001
10.5493566135785,1,"(16, 16)",0.2,0.3,0.0001
10.549802968725,0,64,0.2,0.3,0.0001
10.5513446613612,1,32,0.1,0.5,0.001
10.5547359871572,0,"(8, 16, 8)",0.1,0.3,0.001
10.555016495567,0,"(8, 8)",0.1,0.5,0.001
10.5611018705703,1,64,0.1,0.5,0.0005
10.561300075246,0,"(16, 16)",0.1,0.5,0.0005
10.5645996951284,0,32,0.2,0.3,0.0005
10.5650600888935,0,128,0.2,0.5,0.0005
10.5673551715521,0,"(32, 32)",0.2,0.5,0.001
10.5692453578472,2,"(16, 32, 16)",0.1,0.3,0.001
10.5692572157456,0,32,0.2,0.5,0.001
10.5731135993413,1,"(8, 8)",0.1,0.3,0.0005
10.5756736082431,1,32,0.2,0.5,0.0001
10.577300671912,1,128,0.2,0.8,0.0005
10.5803084245072,2,32,0.2,0.8,0.0005
10.582354403399,1,"(8, 8)",0.2,0.3,0.0001
10.5830551297325,0,32,0.1,0.8,0.0005
10.583620479966,1,"(8, 8, 8)",0.1,0.3,0.0005
10.5842993852422,0,"(8, 8, 8)",0.2,0.8,0.001
10.5849146069585,2,"(8, 8)",0.2,0.8,0.0001
10.58669586634,2,"(16, 16)",0.1,0.3,0.0005
10.5949209474512,2,"(8, 16, 8)",0.1,0.5,0.001
10.5981815070397,1,"(16, 32, 16)",0.1,0.8,0.0005
10.6024805887508,2,64,0.2,0.5,0.0005
10.6081063378524,0,"(8, 16, 8)",0.1,0.5,0.0001
10.6082892348315,0,128,0.1,0.5,0.001
10.6090381252583,1,"(16, 32, 16)",0.1,0.8,0.001
10.6119451460203,2,"(8, 8, 8)",0.1,0.3,0.0005
10.6122240867055,1,"(16, 16)",0.1,0.5,0.0005
10.615621027551,0,"(8, 8)",0.1,0.3,0.0001
10.6160973353517,0,"(16, 16)",0.1,0.8,0.0001
10.6164666843807,1,"(8, 8)",0.1,0.8,0.0005
10.6181085830533,0,"(8, 8)",0.2,0.8,0.0005
10.6223396142325,1,128,0.2,0.3,0.0001
10.6224354598183,2,32,0.1,0.8,0.001
10.624235092538,0,"(8, 8)",0.2,0.8,0.0001
10.625432341658,1,32,0.1,0.5,0.0005
10.6273612058498,1,"(16, 16)",0.1,0.3,0.001
10.6288007142809,0,"(16, 16)",0.2,0.3,0.0001
10.629952349337,0,"(32, 32)",0.1,0.8,0.0005
10.6301229512126,2,64,0.2,0.3,0.0005
10.6322586829673,1,"(8, 16, 8)",0.1,0.5,0.0005
10.6339800499536,2,"(16, 16)",0.1,0.5,0.0005
10.6373674037718,0,"(8, 8, 8)",0.2,0.5,0.0005
10.6413032095257,1,"(8, 8, 8)",0.1,0.8,0.0001
10.6416521740631,0,"(8, 8)",0.2,0.3,0.001
10.6421553909477,0,"(8, 8)",0.2,0.3,0.0005
10.6442106699592,1,32,0.1,0.3,0.0005
10.6449713417281,2,"(32, 32)",0.1,0.3,0.001
10.6459515868208,1,"(16, 16)",0.1,0.8,0.0001
10.6475658327029,2,"(8, 8)",0.1,0.5,0.0005
10.6497792592608,1,"(8, 8)",0.1,0.5,0.001
10.6565070649809,1,"(8, 8)",0.1,0.5,0.0005
10.6581649944672,1,"(8, 8)",0.1,0.3,0.0001
10.6590946934247,1,32,0.1,0.3,0.0001
10.6604160122109,2,32,0.2,0.3,0.001
10.6630707366267,1,"(32, 32)",0.1,0.8,0.0005
10.6638194223514,0,"(8, 8)",0.1,0.5,0.0001
10.6677489992932,0,32,0.2,0.5,0.0005
10.6710960370397,1,"(8, 8, 8)",0.2,0.3,0.001
10.6714729114288,0,"(8, 16, 8)",0.1,0.5,0.0005
10.673138829062,0,"(16, 16)",0.1,0.3,0.0005
10.6744590996117,0,32,0.1,0.5,0.001
10.6753652083042,0,"(16, 32, 16)",0.1,0.5,0.0001
10.6789998034834,1,64,0.2,0.5,0.0005
10.6792788801339,0,64,0.1,0.3,0.001
10.6798875101149,1,"(8, 16, 8)",0.1,0.8,0.0001
10.6859020018837,1,64,0.1,0.3,0.0001
10.6879442425437,1,"(8, 16, 8)",0.2,0.3,0.0005
10.6888036565368,0,"(8, 8)",0.2,0.8,0.001
10.6891115778914,1,"(8, 8)",0.1,0.3,0.001
10.6897256388909,1,32,0.1,0.8,0.0005
10.6944133818254,2,32,0.1,0.8,0.0005
10.6944884169174,2,128,0.1,0.8,0.0005
10.6946156913755,2,"(8, 8)",0.2,0.3,0.001
10.6947925442147,1,32,0.2,0.5,0.001
10.6994831028163,2,"(16, 32, 16)",0.1,0.5,0.0001
10.7007535547166,2,64,0.2,0.8,0.001
10.7009833610962,0,"(8, 8, 8)",0.1,0.5,0.001
10.7013974114889,0,"(8, 8, 8)",0.1,0.8,0.001
10.7019686806083,0,64,0.1,0.5,0.0001
10.7062910418354,0,32,0.2,0.8,0.0001
10.7094792225759,0,128,0.1,0.3,0.0001
10.7101792818223,0,"(8, 16, 8)",0.1,0.5,0.001
10.710706877431,1,64,0.2,0.5,0.001
10.7121395116389,1,128,0.2,0.8,0.0001
10.712304101055,0,"(8, 8, 8)",0.1,0.8,0.0005
10.7147673537137,1,128,0.1,0.3,0.0005
10.7200096791037,2,32,0.1,0.5,0.0001
10.7225238427549,1,"(8, 8, 8)",0.1,0.3,0.0001
10.7252309463268,1,32,0.2,0.8,0.0001
10.7277158634187,0,"(8, 8)",0.2,0.5,0.001
10.7293559409206,2,"(16, 16)",0.1,0.3,0.0001
10.7300890724277,1,32,0.2,0.3,0.0005
10.7330515380178,1,"(8, 8, 8)",0.1,0.8,0.001
10.7336547550421,0,128,0.2,0.5,0.0001
10.7359088596545,2,128,0.1,0.8,0.001
10.7374068918243,0,"(8, 8, 8)",0.1,0.5,0.0005
10.7380429402092,0,128,0.1,0.8,0.001
10.7418566318697,2,128,0.2,0.5,0.0005
10.7422971665318,2,"(8, 8)",0.2,0.3,0.0005
10.7430708501106,1,"(32, 32)",0.1,0.8,0.001
10.7469229118072,1,"(16, 32, 16)",0.1,0.3,0.0001
10.7502024070425,2,128,0.1,0.5,0.0001
10.7505318222939,0,"(16, 16)",0.1,0.5,0.0001
10.7507021190566,2,64,0.2,0.3,0.0001
10.7518540704855,0,"(8, 8, 8)",0.2,0.8,0.0001
10.7542033744952,2,64,0.2,0.5,0.001
10.7547224794316,2,"(8, 16, 8)",0.1,0.8,0.0005
10.7576702437787,2,64,0.2,0.8,0.0001
10.7577236963217,2,"(8, 16, 8)",0.1,0.3,0.0001
10.7581053434425,1,128,0.1,0.3,0.0001
10.7599818309209,2,"(16, 32, 16)",0.1,0.3,0.0001
10.7606605484772,1,64,0.1,0.5,0.001
10.761509989305,1,"(8, 8, 8)",0.2,0.5,0.0001
10.7620165269918,0,64,0.1,0.5,0.001
10.7626946266122,2,32,0.1,0.8,0.0001
10.7634811701757,0,"(8, 8)",0.1,0.5,0.0005
10.765082904273,2,128,0.2,0.3,0.0005
10.7670299378735,0,"(8, 8, 8)",0.2,0.8,0.0005
10.7701851977492,1,"(8, 8, 8)",0.1,0.5,0.0005
10.7714698654525,1,"(8, 16, 8)",0.1,0.3,0.0001
10.7727384802373,2,"(16, 16)",0.1,0.8,0.0005
10.7733516769396,2,128,0.2,0.5,0.0001
10.776257166378,1,"(16, 16)",0.1,0.5,0.0001
10.7800780670431,0,"(32, 32)",0.1,0.3,0.0001
10.7816908433255,0,32,0.2,0.8,0.001
10.7816933735091,2,"(8, 16, 8)",0.1,0.3,0.0005
10.7824750542607,2,"(8, 8, 8)",0.1,0.3,0.001
10.7849992389129,2,"(8, 8, 8)",0.1,0.5,0.0005
10.7894005858084,2,"(8, 8)",0.2,0.3,0.0001
10.7912382905511,1,128,0.2,0.5,0.0001
10.7918153853625,2,32,0.2,0.5,0.0001
10.7950690732351,1,"(8, 16, 8)",0.2,0.5,0.0005
10.7957782979535,1,"(8, 8)",0.1,0.8,0.001
10.7968168753482,2,64,0.1,0.3,0.0001
10.7972222109044,1,128,0.2,0.5,0.0005
10.8000692753042,2,"(8, 16, 8)",0.1,0.8,0.001
10.802001853626,1,"(8, 16, 8)",0.2,0.8,0.0005
