@relation ./files/finalDataSetTrimmed.csv
@attribute Pick integer
@attribute Pos { C, SG, FC, G, F, SF, PF, PG, GF }
@attribute HT integer
@attribute WT integer
@attribute Age integer
@attribute League { NCAA, INTERNATIONAL, GLEAGUE }
@attribute GP integer
@attribute GS integer
@attribute MIN real
@attribute FGM real
@attribute FGA real
@attribute FG_percent real
@attribute 3PM real
@attribute 3PA real
@attribute 3P_percent real
@attribute FTM real
@attribute FTA real
@attribute FT_percent real
@attribute OFF real
@attribute DEF real
@attribute TRB real
@attribute AST real
@attribute STL real
@attribute BLK real
@attribute PF real
@attribute TOV real
@attribute PTS real
@attribute TS_percent real
@attribute eFG_percent real
@attribute ORB_percent real
@attribute DRB_percent real
@attribute TRB_percent real
@attribute AST_percent real
@attribute TOV_percent real
@attribute STL_percent real
@attribute BLK_percent real
@attribute USG_percent real
@attribute Total_S_percent real
@attribute PPR real
@attribute PPS real
@attribute ORtg real
@attribute DRtg real
@attribute PER real
@data
61,F,206,107,22,NCAA,112,62,22.1,3.18,5.77,0.551,0.26,0.86,0.302,2.01,2.93,0.686,1.79,3.54,5.33,0.46,0.39,0.68,2.7,1.33,8.62,0.602,0.574,9.62,17.1,13.55,4.01,15.67,1.06,3.07,19.16,153.91,-4.65,1.5,116.9,96.3,17.82
61,G,196,98,22,NCAA,130,129,30.9,4.38,10.11,0.433,0.94,2.85,0.329,3.6,4.81,0.749,1.54,2.92,4.46,2.21,0.93,0.22,2.36,1.7,13.29,0.536,0.479,5.65,11.06,8.32,15.12,12.06,1.84,0.74,23.37,151.07,-0.75,1.32,113.1,102.2,17.86
61,G,185,77,22,NCAA,94,60,22.3,2.79,7.11,0.392,0.39,1.82,0.216,1.31,2.01,0.651,0.45,1.77,2.21,2.93,1.31,0.04,2.04,2.43,7.28,0.451,0.42,2.25,8.83,5.55,25.32,23.13,3.34,0.2,23.05,125.94,-2.04,1.02,86.4,102.8,10.38
61,GF,198,91,23,NCAA,60,48,27.1,4.58,10.7,0.428,0.82,2.72,0.301,3.48,4.72,0.739,1.68,3.58,5.27,1.62,0.97,0.3,1.9,2.33,13.47,0.52,0.467,7.06,15.53,11.23,14.22,15.28,2.17,1.29,29.12,146.75,-4.74,1.26,103.2,97,18.94
61,C,208,111,22,NCAA,138,61,16.5,2.36,4.15,0.567,0.01,0.09,0.167,1.28,1.79,0.713,1.72,2.94,4.67,0.78,0.39,1.06,2.09,0.71,6,0.6,0.569,12.92,19.76,16.52,9.15,12.43,1.46,7.22,18.17,144.64,-1.21,1.45,124.4,92.3,21.52
61,G,193,88,22,NCAA,114,86,26.8,2.78,6.09,0.457,0.33,1.25,0.266,2.12,3.02,0.703,0.97,2.93,3.9,2.51,0.77,0.23,2.37,1.75,8.02,0.533,0.484,4.45,13.05,8.81,18.55,18.91,1.78,0.99,18.63,142.6,-0.32,1.32,104.5,105.6,13.5
61,C,208,118,22,NCAA,135,28,13.1,1.16,2.1,0.555,0,0.01,0,0.64,1.47,0.432,1.37,2,3.37,0.1,0.27,1.57,2.53,0.78,2.96,0.53,0.555,11.87,16.67,14.31,1.56,21.76,1.26,12.73,13.83,98.69,-5.47,1.41,98.4,93.1,13.81
61,F,211,109,22,NCAA,141,111,21.7,2.87,4.77,0.601,0,0.03,0,1.45,2.35,0.619,2.08,4.51,6.59,1.31,0.77,1.29,2.34,1.56,7.18,0.611,0.601,11.89,23.62,18.01,12.44,20.97,2.13,6.72,17.87,122.05,-3.18,1.51,113.7,88.5,20.11
61,C,213,118,21,NCAA,138,48,16.3,2.88,5.43,0.531,0.04,0.14,0.316,1.04,1.47,0.704,1.64,2.41,4.04,0.37,0.22,0.73,1.86,0.77,6.85,0.559,0.535,13.3,18.09,15.79,5.4,11.14,0.91,5.56,24.16,155.16,-3.55,1.26,113.6,90.3,21.21
61,PF,203,118,22,NCAA,135,131,30.7,6.55,10.99,0.596,0,0,0,2.7,4.56,0.592,3.51,5.93,9.44,1.62,0.78,2.04,2.05,1.36,15.79,0.601,0.596,13.13,21.97,17.57,12.65,9.39,1.55,7.85,24.26,118.8,-0.94,1.44,125.4,89.1,29.24
61,F,208,108,22,NCAA,128,85,21.3,3.96,6.98,0.567,0,0.01,0,2.03,3.31,0.613,2.23,4.2,6.42,0.62,0.54,0.68,2.18,1.52,9.95,0.582,0.567,13.34,22.72,18.27,6.17,15.05,1.59,3.31,25.67,118.03,-5.43,1.43,112.3,100.3,22.81
61,F,206,98,22,NCAA,133,129,28.7,3.8,8.97,0.423,2.27,5.78,0.393,1.84,2.42,0.761,1.04,4.02,5.05,1.38,1.11,0.4,2.82,1.71,11.71,0.578,0.55,4.29,15.3,10.02,9.36,14.43,2.23,1.26,20.87,157.69,-2.66,1.31,110.9,103.7,16.23
61,F,198,93,23,NCAA,108,75,26.3,4.05,8,0.506,0.26,0.89,0.292,3.31,4.51,0.733,1.55,3.17,4.71,1.5,1.05,0.32,2.88,1.75,11.66,0.575,0.522,7.87,13.63,10.85,9.99,14.72,2.26,1.54,22.12,153.05,-2.85,1.46,115.8,101.8,18.32
61,C,211,116,22,NCAA,65,32,18.3,1.95,4.28,0.457,0,0.02,0,1.83,3.42,0.536,2.05,3.26,5.31,0.28,0.42,1.18,2.8,1.62,5.74,0.486,0.457,12.79,19.37,16.17,3.18,21.5,1.38,7.05,21.24,99.29,-8,1.34,91.1,100.5,13.95
61,G,193,93,23,NCAA,134,109,31.9,4.46,10.87,0.41,2.23,5.79,0.385,3.37,4.01,0.84,0.5,2.43,2.93,1.29,0.62,0.12,1.43,1.52,14.52,0.568,0.513,1.86,9.19,5.49,8.44,10.65,1.18,0.41,23.29,163.56,-2.11,1.34,115.8,103.2,16.52
