@relation ./files/finalDataSetTrimmed.csv
@attribute Pick integer
@attribute Pos { C, SG, FC, G, F, SF, PF, PG, GF }
@attribute HT integer
@attribute WT integer
@attribute Age integer
@attribute League { NCAA, INTERNATIONAL, GLEAGUE }
@attribute GP integer
@attribute GS integer
@attribute MIN real
@attribute FGM real
@attribute FGA real
@attribute FG_percent real
@attribute 3PM real
@attribute 3PA real
@attribute 3P_percent real
@attribute FTM real
@attribute FTA real
@attribute FT_percent real
@attribute OFF real
@attribute DEF real
@attribute TRB real
@attribute AST real
@attribute STL real
@attribute BLK real
@attribute PF real
@attribute TOV real
@attribute PTS real
@attribute TS_percent real
@attribute eFG_percent real
@attribute ORB_percent real
@attribute DRB_percent real
@attribute TRB_percent real
@attribute AST_percent real
@attribute TOV_percent real
@attribute STL_percent real
@attribute BLK_percent real
@attribute USG_percent real
@attribute Total_S_percent real
@attribute PPR real
@attribute PPS real
@attribute ORtg real
@attribute DRtg real
@attribute PER real
@data
61,G,185,78,21,NCAA,104,84,31.3,4.81,11.24,0.428,0.79,2.27,0.347,4.09,5.15,0.793,0.62,2.63,3.26,3.88,0.67,0.03,1.9,2.12,14.49,0.529,0.463,2.25,9.34,5.82,25.49,13.39,1.31,0.1,25.78,156.81,1.53,1.29,112.1,108.5,18.19
61,FC,208,118,24,NCAA,131,85,19.8,1.85,3.37,0.548,0,0,0,0.98,2.02,0.485,1.83,3.31,5.14,0.29,0.35,2.2,2.56,1,4.67,0.539,0.548,11.55,18.52,15.24,2.81,18.76,1.07,12.21,13.98,103.24,-4.13,1.38,104.9,89.2,15.25
61,SF,203,102,23,NCAA,130,117,31.9,4.05,9.82,0.412,1.57,4.5,0.349,2.78,3.68,0.755,1.41,4.28,5.69,1.88,1.38,0.87,2.24,2.07,12.44,0.538,0.492,5.69,16.67,11.29,13.23,15.17,2.69,2.93,23.16,151.59,-2.66,1.27,105.9,99.7,17.63
61,G,188,84,23,NCAA,135,132,34.2,6.36,14.59,0.436,1.02,2.76,0.371,3.33,4.1,0.812,0.51,3.25,3.76,4.01,1.21,0.1,1.93,1.97,17.07,0.516,0.471,1.74,11.08,6.4,26.3,10.65,2.18,0.33,28.13,161.9,2.12,1.17,110.8,102.1,20.18
61,G,193,95,24,NCAA,117,82,27.5,3.81,8.68,0.439,1.5,3.85,0.39,1.91,2.3,0.829,0.68,2.61,3.28,1.82,1.05,0.26,1.5,1.35,11.03,0.565,0.526,2.86,10.26,6.7,12.53,12.15,2.17,0.97,19.74,165.86,-0.48,1.27,114.1,101.4,16.05
61,G,193,82,21,NCAA,95,72,28.7,3.23,6.96,0.464,0.44,1.43,0.309,1.96,2.77,0.707,0.84,3.66,4.51,4.18,1.14,0.42,2.35,2.67,8.86,0.536,0.496,3.28,13.42,8.5,27.38,24.42,2.25,1.47,18.59,148.05,0.37,1.27,100.6,103,14.03
61,FC,211,109,22,NCAA,98,89,24.9,4.14,7.99,0.519,0.18,0.6,0.305,2.38,3.54,0.671,2.05,4.09,6.14,0.44,0.33,0.6,2.49,1.65,10.85,0.561,0.53,9.22,17.23,13.36,3.67,14.6,0.74,2.41,22.17,149.51,-5.21,1.36,107.7,103.4,16.73
61,PG,188,84,23,NCAA,118,93,29.5,4.08,9.77,0.418,1.91,4.97,0.383,2.19,2.9,0.757,0.69,2.74,3.42,2.52,0.95,0.14,1.89,1.95,12.27,0.55,0.516,2.83,11.29,7.06,17.53,14.88,2,0.62,23.38,155.87,-0.96,1.26,110.6,100.2,16.78
61,PF,208,108,23,NCAA,136,133,25.7,4.05,6.57,0.617,0,0,0,2.96,4.03,0.734,2.2,7.06,9.26,0.32,0.64,2.18,3.12,1.3,11.06,0.652,0.617,10.87,31.98,21.88,2.68,13.31,1.49,9.35,20.17,135.06,-4.25,1.68,122.7,89,24.66
61,C,229,136,22,NCAA,86,81,21.7,4,5.92,0.676,0,0.01,0,2.21,4.05,0.546,1.84,4.6,6.44,0.38,0.17,2.51,2.72,1.9,10.21,0.651,0.676,10.23,22.27,16.67,3.91,19.47,0.49,12.24,23.57,122.18,-7.7,1.72,109.7,90.5,23.34
61,GF,196,93,23,NCAA,130,58,21.6,3.11,7.32,0.425,1.35,3.62,0.374,2.09,2.9,0.721,0.56,2.05,2.62,1.15,0.62,0.26,1.7,1.52,9.66,0.556,0.517,3.11,10.91,7.09,11.15,14.91,1.71,1.4,24.5,152,-3.53,1.32,106.3,99.9,15.67
61,PG,180,82,23,NCAA,132,113,27.2,3.4,9.04,0.376,1.45,4.42,0.328,2.83,3.7,0.764,0.55,1.81,2.36,4.23,1.58,0.12,2.56,2.47,11.08,0.513,0.456,2.45,7.84,5.18,31.84,18.62,3.57,0.48,25.63,146.83,1.33,1.23,105,97.6,16.95
61,G,193,88,23,NCAA,135,103,26.2,4.69,8.25,0.568,0.3,0.97,0.305,3.24,4.27,0.759,2.23,3.33,5.56,2.93,1.3,0.25,2.84,1.59,12.91,0.628,0.586,10.38,16.11,13.19,23.23,13.42,2.99,1.1,23.1,163.22,1.38,1.56,128.9,89.4,25.43
61,PF,206,116,22,NCAA,102,99,24.6,3.73,8.37,0.445,0,0.01,0,3.67,5.5,0.667,2.93,5.36,8.29,1.17,0.68,0.22,2.8,2.03,11.12,0.506,0.445,12.48,27.42,19.27,9.59,15.59,1.59,1.06,25.2,111.16,-4.94,1.33,105.6,96.3,18.51
61,G,193,84,23,NCAA,128,46,20.5,2.02,4.79,0.423,1.69,4.16,0.406,0.52,0.62,0.838,0.5,1.71,2.21,0.79,0.36,0.07,1.61,0.46,6.26,0.615,0.599,2.88,9.46,6.23,6.85,8.31,1.03,0.36,13.61,166.6,0.31,1.31,127.6,106.5,12.47
1,PF,198,129,18,NCAA,33,33,30,8.97,13.18,0.68,0.73,2.15,0.338,3.94,6.15,0.64,3.52,5.36,8.88,2.06,2.12,1.79,2.06,2.36,22.61,0.702,0.708,12.74,18.21,15.56,14.57,12.8,3.85,5.76,28.39,165.89,-3.12,1.71,133.6,86.4,37.86
2,G,191,79,19,NCAA,65,65,35.3,6.12,12.63,0.485,1.29,3.77,0.343,5.12,6.32,0.81,1.46,4.63,6.09,8.18,1.35,0.62,1.72,3.83,18.66,0.597,0.536,5,13.98,9.77,42.83,19.68,2.19,1.82,27.35,163.79,4.59,1.48,120.7,96.4,25.42
3,SG,201,92,19,NCAA,38,38,35.3,8.39,18.47,0.454,1.92,6.24,0.308,3.92,5.89,0.665,1.55,6.03,7.58,4.32,0.89,0.42,1.84,3.24,22.63,0.532,0.506,4.79,17.2,11.23,23.48,13.21,1.39,1.16,32.22,142.76,-0.97,1.23,110.2,95,22.49
4,PF,201,102,21,NCAA,71,38,26.6,4.35,8.55,0.509,0.94,2.25,0.419,2.77,3.59,0.773,1.27,3.1,4.37,1.56,0.58,0.49,1.92,1.17,12.42,0.606,0.564,6.3,13.88,10.28,12.6,10.23,1.43,2.48,24.71,170.04,-0.55,1.45,123.1,92.1,22.75
5,G,185,84,19,NCAA,5,5,27.8,5.8,10.8,0.537,2.2,4.6,0.478,2.4,3.2,0.75,0.4,3.4,3.8,2.6,0.8,0.4,1.4,3,16.2,0.657,0.639,1.59,11.7,7.01,18.47,19.58,1.54,1.32,25.52,176.53,-4.24,1.5,114.4,97.2,20.7
6,SG,198,88,20,NCAA,75,58,29.5,5.32,11.6,0.459,1.39,4.07,0.341,2.89,4.21,0.687,1.24,4.36,5.6,2.79,1.31,0.64,2,2.13,14.92,0.548,0.518,5.26,16.77,11.3,20.25,13.56,2.61,2.68,27.6,148.63,-0.96,1.29,110.2,89.2,21.43
7,PG,196,87,19,NCAA,35,35,28.5,5.37,12.69,0.423,2.34,6.63,0.353,2.97,3.71,0.8,0.34,3.2,3.54,4.09,1.09,0.31,1.94,2.66,16.06,0.556,0.516,1.27,11.39,6.43,24.63,15.53,2.02,1.26,26.95,157.69,0.22,1.27,111,98.5,18.64
8,PF,211,100,19,NCAA,32,21,23.3,3.84,5.28,0.728,0,0,0,2.31,3.12,0.74,1.75,3.25,5,0.28,0.59,2.22,3.34,0.91,10,0.739,0.728,8.83,16.39,12.61,2.64,11.81,1.55,10.76,17.23,146.78,-3.24,1.89,139.2,96.2,25.3
9,F,203,104,21,NCAA,102,40,19.7,4.54,7.83,0.579,0.24,0.75,0.316,2.76,3.71,0.746,1.09,3.34,4.43,0.79,0.59,0.49,1.6,1.18,12.06,0.628,0.594,6.83,17.31,12.57,7.45,10.92,1.69,2.53,26.96,164.13,-3.24,1.54,123.7,89.8,25.74
10,G,203,99,19,NCAA,36,35,29.7,4.28,12,0.356,2.47,7.42,0.333,2.44,3.17,0.772,0.56,3.14,3.69,1.94,1.56,0.58,2.39,2.67,13.47,0.499,0.459,2.04,10.65,6.51,10.62,16.49,2.87,1.91,25.21,146.17,-4.39,1.12,98.4,93.5,13.34
11,G,206,95,23,NCAA,135,90,25.4,3.82,8.36,0.457,1.92,4.73,0.406,1.65,2.02,0.817,1.1,2.96,4.05,1.8,0.76,0.25,1.76,1.02,11.21,0.601,0.572,4.88,12.74,8.88,13.23,9.88,1.73,1.09,19.88,167.98,0.69,1.34,125.1,103.7,18.85
12,PF,201,104,20,NCAA,72,63,28.3,4.51,8.67,0.521,0.53,1.38,0.384,3.39,5.36,0.632,2.06,4.54,6.6,1.67,0.81,1.03,2.58,1.94,12.94,0.577,0.551,8.97,17.16,13.36,11.66,14.78,1.66,4.15,23.16,153.68,-3,1.49,115.3,96.9,20.7
13,SG,198,88,19,NCAA,37,37,32.6,5.03,10.89,0.462,1.62,4.57,0.355,2.35,2.51,0.935,0.41,4.08,4.49,2.49,1.08,0.32,1.27,1.62,14.03,0.58,0.536,1.59,13.88,8.16,15.18,11.83,1.97,1.13,21.4,175.21,0.11,1.29,120,97,18.72
14,SG,193,98,19,NCAA,32,32,34.1,5.53,12.34,0.448,1.06,3.91,0.272,4.38,6.06,0.722,1.41,3.97,5.38,2.34,0.78,0.81,1.88,2.12,16.5,0.542,0.491,4.91,12.82,9.02,14.25,12.25,1.35,2.63,26.14,144.18,-1.68,1.34,109.4,100,19.05
15,F,203,107,18,GLEAGUE,16,14,27,6.44,13.12,0.49,2,5.62,0.356,1.69,2,0.844,1.12,4.25,5.38,1.38,1,0.56,2.12,2.56,17.5,0.625,0.567,4.46,16.63,10.59,8.34,15.47,1.82,1.94,25.78,168.98,-6.25,1.33,106.2,107,17.23
16,PF,203,104,20,NCAA,72,38,25.5,3.61,7.5,0.481,1.24,3.18,0.389,1.42,2.01,0.703,2.43,3.92,6.35,1.54,1.28,0.99,1.9,1.28,9.88,0.584,0.564,10.39,17.8,13.98,11.27,13.13,2.82,4.79,18.27,157.36,-0.96,1.32,121.7,96.3,20.64
17,SG,196,93,20,NCAA,67,67,30,4.69,10.1,0.464,1.73,4.52,0.383,2.36,3.09,0.763,0.58,3.39,3.97,2.75,1.37,0.54,1.9,2.22,13.46,0.582,0.549,2.52,13.37,8.19,18.08,16.12,2.73,2.39,24.4,160.99,-1.36,1.33,109.7,98,18.63
18,C,211,111,19,GLEAGUE,6,6,37.4,7.83,17.33,0.452,1.83,5.17,0.355,1,1.5,0.667,4.33,9,13.33,4,0.67,3.33,4,2.17,19.17,0.533,0.505,11.4,23.05,17.3,15.21,10.75,0.85,7.6,21.66,147.34,1.33,1.11,114.1,105.6,20.84
19,PF,211,107,19,GLEAGUE,41,40,28.9,6.07,13.73,0.442,1.46,4.73,0.309,1.8,2.37,0.763,1.88,6.39,8.27,1.54,0.63,0.73,2.59,3.2,16.61,0.562,0.496,7.09,23.25,15.32,7.74,17.78,1.06,2.35,26.07,151.44,-7.52,1.21,95.6,112.1,14.04
20,SF,196,93,22,NCAA,135,135,29.3,3.27,7.61,0.429,1.41,3.96,0.358,1.25,1.6,0.782,0.87,2.19,3.07,2.04,2.45,1.37,2.82,1.87,9.2,0.55,0.522,3.34,8.38,5.86,12.56,18.24,4.63,4.7,16.75,156.95,-1.68,1.21,105.3,98.6,15.31
21,PF,203,95,22,NCAA,98,69,27.8,5.97,9.35,0.639,0.06,0.24,0.25,2.48,4.01,0.618,2.73,4.94,7.67,1.88,1.02,2.33,2.15,1.47,14.48,0.643,0.642,11.46,19.57,15.63,14.26,11.55,2.05,8.72,22.47,150.7,-0.76,1.55,127.3,93.2,28.11
22,SF,198,107,20,NCAA,104,101,28.9,5.28,10.23,0.516,0.29,0.99,0.291,4.82,6.36,0.758,2.47,4.05,6.52,2.11,0.86,1.54,3.18,2.11,15.66,0.591,0.53,9.86,15.22,12.62,15.12,13.71,1.72,5.99,26.42,156.52,-2.45,1.53,118.8,97.2,24.2
24,PG,196,88,21,NCAA,105,76,26.4,3.46,7.95,0.435,1.58,4.04,0.392,1.13,1.44,0.788,0.28,2.74,3.02,3.66,1.21,0.04,1.93,1.38,9.63,0.558,0.534,1.38,12.67,7.24,28.13,13.79,3.03,0.2,21.9,161.43,4.61,1.21,114.8,91.1,18.95
25,SF,196,100,19,NCAA,36,1,18.2,3.64,7.61,0.478,0.39,1.44,0.269,2.14,2.78,0.77,1.58,3.03,4.61,0.64,0.53,0.53,1.64,1.33,9.81,0.549,0.504,9.18,16.86,13.1,6.12,12.99,1.54,3.32,25.25,151.73,-4.58,1.29,110.3,96,19.12
26,SF,198,90,22,NCAA,128,97,29.4,4.63,8.57,0.541,1.7,4.17,0.406,2.22,2.91,0.763,1.62,6.17,7.8,1.96,1,0.77,2.39,1.64,13.18,0.662,0.639,6.83,22.75,15.31,12.07,14.15,1.91,2.63,19.89,171.04,-1.11,1.54,125.4,97.4,21.85
27,SF,206,113,21,NCAA,71,0,18.3,3.51,7.04,0.498,0.48,1.28,0.374,2.85,3.93,0.724,2,3.32,5.32,0.3,0.51,1.2,2.38,1.17,10.34,0.58,0.532,12.6,20.1,16.43,3.38,11.6,1.57,7.37,26.76,159.56,-5.23,1.47,117.7,94.4,24.59
28,SG,193,88,20,NCAA,75,37,22.7,3.15,7.25,0.434,1.53,4.15,0.37,1.57,1.89,0.831,0.15,2.03,2.17,1.36,0.8,0.19,1.52,1.09,9.4,0.576,0.54,0.78,10.39,5.67,11.73,11.82,2.14,0.86,22.1,163.46,-0.87,1.3,110.3,94.7,16.14
29,SF,198,95,19,NCAA,37,36,30.7,4.65,10.08,0.461,1.22,3.19,0.381,2.95,4.19,0.703,1.32,4.54,5.86,1.65,0.76,0.16,2.24,1.62,13.46,0.558,0.521,5.51,16.41,11.34,10.63,11.84,1.46,0.6,22.72,154.57,-1.76,1.34,116,97.2,17.89
30,SF,193,92,19,NCAA,21,4,22.1,3.52,7.48,0.471,1.33,3.24,0.412,1.14,2.19,0.522,0.95,3.05,4,1.43,0.81,0.52,2.1,1.86,9.52,0.559,0.561,4.77,14.53,9.77,11.86,17.9,2.07,2.52,23.49,140.48,-4.05,1.27,101.1,100.2,15.89
31,C,211,103,20,NCAA,65,37,23,2.78,6.09,0.457,0.4,1.32,0.302,2.42,3.95,0.611,1.95,4.25,6.2,0.98,0.6,1.89,2.26,1.4,8.38,0.526,0.49,9.82,19.35,14.82,9.14,14.94,1.54,8.55,20.5,137.03,-3.32,1.38,107.1,97,18.8
32,SG,203,98,20,NCAA,52,50,30.8,4.71,10.73,0.439,0.75,2.27,0.331,3.65,5.42,0.674,1.17,3.65,4.83,1.9,1,0.54,2.75,2.69,13.83,0.52,0.474,4.36,12.72,8.68,12.19,16.83,1.8,1.62,25.07,144.33,-4.47,1.29,100.3,101.8,14.44
33,PG,180,91,21,NCAA,108,93,29.4,5.87,14.24,0.412,2.6,7.06,0.368,3.44,4.21,0.815,0.38,2.98,3.36,2.5,1.18,0.19,1.91,2.23,17.78,0.547,0.504,1.6,11.35,6.73,17.54,12.08,2.35,0.72,32.18,159.59,-1.97,1.25,109.5,98.9,20.24
34,C,206,109,20,NCAA,64,53,26.4,4.55,7.64,0.595,0.06,0.2,0.308,2.88,3.77,0.763,2.27,6.45,8.72,1.39,0.52,1.58,2.8,2.31,12.03,0.638,0.599,10.9,26.44,19.3,11.52,19.69,1.17,6.61,23.1,166.63,-5.49,1.57,115.8,92.7,23.75
35,SF,196,95,19,GLEAGUE,2,2,30.3,4.5,14,0.321,0.5,4.5,0.111,2.5,3,0.833,1.5,1.5,3,1.5,0.5,0,2.5,1.5,14,0.457,0.339,4.77,5.02,4.89,8.31,8.92,0.81,0,23.61,126.59,-1.66,1,84.1,120.6,5.58
36,F,198,91,23,NCAA,122,87,28.9,3.7,7.38,0.501,0.43,1.31,0.325,1.85,2.69,0.689,1.4,3.18,4.58,3.56,1.27,0.79,2.28,1.65,9.67,0.559,0.53,5.4,12.06,8.76,22.54,15.99,2.55,2.95,17.76,151.51,2.5,1.31,116.3,100.5,18.09
37,GF,203,86,19,GLEAGUE,4,2,27,4.5,9.25,0.486,2.5,6.5,0.385,1,1,1,0.75,5.25,6,1.75,2,0,3.25,3,12.75,0.658,0.622,3.05,22.9,12.62,8.95,23.64,3.5,0,19.01,187.11,-6.57,1.38,106.3,111.5,15.64
38,C,211,106,20,NCAA,67,58,25.5,5.64,8.88,0.635,0,0,0,2.97,5.28,0.562,2.49,4.87,7.36,0.7,0.72,2.07,3.01,1.69,14.25,0.626,0.635,11.21,21.48,16.39,5.95,12.9,1.58,9.85,25.05,119.74,-4.66,1.61,118.5,97.6,26.1
39,PF,208,98,18,GLEAGUE,76,31,19.5,3.95,7.84,0.503,0.66,2.37,0.278,1.51,2.36,0.642,1.92,2.67,4.59,1.14,0.86,0.89,2.59,1.58,10.38,0.585,0.545,10.71,14.95,12.83,9.03,15.1,2.12,4.24,22.85,142.36,-4.26,1.32,107.4,103.4,18.03
40,SG,201,86,22,NCAA,132,73,28.1,5.27,11.9,0.442,1.2,3.57,0.335,3.97,5.45,0.729,0.8,4.61,5.41,2.61,0.93,0.49,2.2,2.49,15.7,0.542,0.493,3.34,17.76,10.86,22.69,14.68,1.86,1.88,31.02,150.66,-2.62,1.32,102.6,101.3,19.61
41,F,198,120,22,NCAA,137,109,29.6,4.3,9.19,0.468,1.24,3.74,0.331,2.47,3.23,0.765,1.53,3.61,5.14,1.53,0.74,0.52,2.29,1.93,12.31,0.574,0.535,6.43,14.15,10.42,10.01,15.28,1.49,2.01,22.26,156.45,-3.19,1.34,111.9,101,16.9
42,SF,196,109,22,NCAA,132,95,24.9,4.43,9.67,0.458,1.39,3.61,0.387,1.64,2.14,0.763,1.27,4.06,5.33,1.34,0.67,0.36,2.64,1.42,11.89,0.556,0.53,5.71,17.49,11.72,11.13,11.7,1.54,1.57,24,160.79,-2.11,1.23,110.9,100.2,18.1
43,SG,193,89,19,NCAA,70,68,33.5,6.01,12.63,0.476,1.29,3.24,0.396,2.79,3.53,0.789,0.97,3.67,4.64,2.91,1.17,0.26,2.53,2.73,16.1,0.563,0.527,3.57,12.91,8.34,19.2,16.02,2.03,0.85,25.98,166.22,-2.37,1.27,108.3,101.4,18.16
44,C,218,95,19,NCAA,9,9,29.8,8.22,14.67,0.561,1.44,2.78,0.52,3.11,4.11,0.757,2.11,7.44,9.56,1,0.78,2.67,1.67,2,21,0.632,0.61,8.83,25.28,17.91,8.79,10.74,1.52,13.11,31.95,183.74,-4.54,1.43,120.5,87.1,33.16
45,SF,203,104,21,NCAA,97,53,23.9,2.89,6.06,0.476,0.51,1.51,0.336,1.85,2.62,0.705,1.6,3.87,5.46,1.47,0.82,1.59,2.81,1.59,8.12,0.556,0.518,7.22,17.71,12.43,12.18,17.85,2.02,6.67,18.7,151.65,-2.59,1.34,107.7,97.4,17.62
46,SF,193,106,18,NCAA,35,34,27.2,4.43,10.91,0.406,1.4,4.54,0.308,1.57,2.51,0.625,0.66,4.2,4.86,2.34,1.29,0.66,2.26,1.71,11.83,0.488,0.47,2.92,16.84,10.23,16.16,12.4,2.76,2.65,26.06,133.89,-0.57,1.08,100,96.8,16.73
47,SF,198,100,20,NCAA,37,37,29.6,5.08,11,0.462,1.51,3.86,0.392,3.14,4.05,0.773,1.16,4.27,5.43,0.84,0.7,0.49,2.14,1.24,14.81,0.573,0.531,4.66,16.17,10.58,6.08,8.77,1.45,1.67,26.09,162.69,-2.47,1.35,113.5,90.4,20.53
48,SG,196,98,22,NCAA,140,101,25.9,3.61,6.54,0.552,0.39,1.18,0.327,1.84,2.75,0.67,1.9,3.17,5.07,1.92,0.8,0.24,2.03,1.36,9.44,0.602,0.581,8.5,13.53,11.08,13.42,14.82,1.74,1.04,17.18,154.93,-0.31,1.44,121.3,101.5,17.59
49,SG,191,93,22,NCAA,131,117,31.1,5.39,11.23,0.48,1.43,3.88,0.368,3.15,4,0.788,1.44,3.72,5.15,2.4,1.53,0.35,2.3,2.34,15.36,0.585,0.544,5.38,13.3,9.43,15.5,15.15,2.84,1.21,24.82,163.62,-2.39,1.37,114,100.3,20.61
50,SF,201,108,23,NCAA,123,119,31.7,5.63,11.57,0.487,0.91,2.58,0.353,3.36,4.37,0.768,1.83,6.03,7.86,1.65,1.22,0.69,2.94,2.55,15.54,0.569,0.526,7.03,22.7,14.94,11.93,15.76,2.34,2.64,27.43,160.8,-4.86,1.34,108.2,95.3,21.79
51,PG,178,79,21,NCAA,66,61,32.7,5.15,12.17,0.423,1.94,5.7,0.34,3.35,4.15,0.807,0.3,2.77,3.08,5.91,2.47,0.11,2.09,3.2,15.59,0.551,0.503,1.09,9.68,5.45,33.68,18.44,4.31,0.38,26.1,157.04,2.26,1.28,111.2,102.6,20.61
52,PF,206,96,21,NCAA,67,55,27.9,5.04,10,0.504,0.42,1.4,0.298,2.72,3.58,0.758,2.1,5.79,7.9,1.51,0.97,0.52,2.64,1.76,13.22,0.565,0.525,8.67,23.23,16.05,11.46,13.08,2,2.22,24.01,156.07,-2.71,1.32,112.9,93.6,20.95
53,SG,188,86,21,NCAA,125,82,28.1,6.55,13.55,0.483,2.22,5.74,0.386,3.3,4.06,0.811,0.35,2.58,2.94,2.06,0.66,0.15,1.61,1.7,18.62,0.601,0.565,1.45,10.58,6.04,16.54,9.87,1.37,0.56,30.73,168.03,-1.15,1.37,119.8,109.5,24.01
54,G,196,89,23,NCAA,137,57,20.7,3.32,7.07,0.47,0.92,2.42,0.381,1.35,1.72,0.787,0.55,2.2,2.74,1.27,0.67,0.24,1.55,1.28,8.91,0.565,0.535,3.43,12.72,8.26,12.87,14.02,2.08,1.45,24.73,163.79,-2.34,1.26,108.4,95.2,17.79
55,SG,185,76,21,NCAA,106,77,29.1,4.4,10.14,0.433,2.4,5.63,0.425,1.29,1.6,0.806,0.42,2.57,2.99,1.63,0.7,0.04,1.1,1.09,12.48,0.572,0.552,1.92,10.78,6.52,11.93,9.12,1.59,0.18,23.85,166.48,-0.02,1.23,114.5,95.2,17.94
56,G,191,82,20,NCAA,64,48,28.3,4.06,9.92,0.409,1.7,4.56,0.373,2.25,2.95,0.762,0.47,3.34,3.81,4.41,1.16,0.16,1.39,2.53,12.08,0.533,0.495,1.84,12.09,7.18,28.71,18.27,2.26,0.59,23.51,154.46,1.38,1.22,106.1,105.4,16.48
57,SG,191,84,21,NCAA,95,87,26.1,3.57,8.41,0.424,0.96,2.72,0.353,1.6,1.96,0.817,0.35,2.06,2.41,4.26,0.67,0.06,1.24,1.58,9.69,0.519,0.481,1.54,8.6,5.17,30.95,14.46,1.5,0.27,20.89,159.42,4.9,1.15,110.6,103.9,15.37
58,SF,196,93,22,NCAA,87,82,31.7,5.17,12.08,0.428,2,5.62,0.356,2.69,3.46,0.777,0.82,5.38,6.2,3.3,0.85,1.02,2.82,2.55,15.03,0.548,0.511,3.1,18.76,11.26,20.01,15.68,1.53,3.44,25.87,156.14,-1.1,1.24,105.8,101.1,18.04
59,FC,208,107,22,NCAA,64,47,21.6,3.5,6.25,0.56,0,0.08,0,1.62,2.41,0.675,1.72,3.16,4.88,0.31,0.45,0.88,1.89,1.16,8.62,0.583,0.56,9.55,17.02,13.34,2.98,13.52,1.27,4.44,20.59,123.53,-4.62,1.38,113.3,98.5,18.8
60,G,198,88,22,INTERNATIONAL,51,15,14,2.16,4.9,0.44,1.04,2.92,0.356,0.9,1.06,0.852,0.24,0.71,0.94,0.41,0.45,0.02,1.14,0.82,6.25,0.583,0.546,2.22,6.78,4.48,5.12,13.3,1.84,0.16,21.73,164.76,-4.22,1.28,108.4,116.8,12.28
61,PF,201,109,22,NCAA,129,98,23.8,5.05,7.9,0.639,0.01,0.02,0.5,2.25,3.8,0.592,3.49,6.29,9.78,0.51,0.87,0.71,3.24,1.53,12.35,0.636,0.639,15.7,30.67,22.89,4.36,13.66,2.04,3.19,22.52,173.07,-4.89,1.56,123.2,100.6,26.42
61,PG,175,82,21,NCAA,130,125,34.1,7.88,17.74,0.444,3.42,9.41,0.363,5.64,6.62,0.852,0.48,4.03,4.52,2.58,1.64,0.36,2.04,2.49,24.81,0.594,0.54,1.73,14.01,7.95,18.83,10.66,2.81,1.19,35.99,165.94,-2.31,1.4,115.3,102.7,27.48
61,SF,193,93,22,NCAA,121,82,24.3,4.54,10.2,0.445,1.45,4.29,0.339,1.97,2.74,0.717,1.17,3.77,4.93,2.06,1.16,0.57,2.64,2,12.5,0.543,0.516,5.23,17.19,11.16,18.72,14.81,2.68,2.6,26.96,150.09,-2.54,1.23,106.8,101.1,19.6
61,C,229,113,23,NCAA,115,110,23,4.32,5.84,0.74,0,0.01,0,1.44,3.34,0.432,2.67,5.04,7.71,0.43,0.22,2.43,2.6,2.09,10.09,0.679,0.74,13.84,22.42,18.46,4.72,21.93,0.56,11.26,21.38,117.19,-8.13,1.73,111.2,88.7,24.14
61,C,201,102,22,NCAA,111,56,23.6,4.17,8.94,0.467,1.5,3.95,0.378,2.32,2.79,0.829,1.11,3.59,4.7,1.45,0.34,0.63,2.21,1.9,12.15,0.592,0.55,5.71,16.98,11.59,13.12,15.63,0.83,2.81,26.49,167.39,-3.93,1.36,108.6,108.8,18.75
61,PF,206,104,21,NCAA,135,85,20.8,2.96,4.47,0.662,0.01,0.01,1,1.58,2.6,0.607,2.07,4.22,6.3,0.47,0.54,1.69,2.13,0.94,7.51,0.659,0.663,11.37,21.89,16.78,4.88,14.16,1.52,8.66,16.13,226.85,-3.08,1.68,125.8,93.3,22.54
61,SF,196,102,22,NCAA,85,48,23.6,3.55,6.71,0.53,0.94,2.49,0.377,1.85,2.4,0.77,1.47,3.51,4.98,1.18,0.75,1.08,2.78,1.26,9.89,0.631,0.6,7.36,15.93,11.85,10.44,13.83,1.82,4.99,19.49,167.68,-2,1.48,120.9,101,20
61,PG,191,84,23,NCAA,124,98,29.7,4.17,9.46,0.441,1.19,3.65,0.325,3.58,4.81,0.745,0.77,2.43,3.2,3.52,1.79,0.56,1.92,2.01,13.1,0.558,0.503,2.87,8.98,5.93,23.23,14.6,3.37,2.09,22.14,151.09,1.1,1.39,113.4,99,18.84
61,SG,196,98,22,NCAA,134,111,28.1,5.64,12.64,0.446,2.69,7.19,0.374,4.54,5.75,0.789,1.04,3.94,4.98,1.88,0.87,0.24,2.3,2.05,18.51,0.602,0.553,4.16,15.24,9.8,13.55,11.78,1.65,0.91,29.11,160.87,-2.63,1.46,116.6,102,22.01
61,PF,201,105,22,NCAA,128,85,23.1,4.04,7.19,0.562,0.45,1.5,0.297,2.21,3.3,0.671,2.03,3.88,5.91,1.18,0.83,1.08,2.36,1.33,10.73,0.613,0.593,10.57,19,14.91,10.27,13.17,2.1,5.04,21.95,152.94,-2.39,1.49,121.8,97.3,23.46
61,PG,185,88,21,NCAA,125,105,28.7,3.38,7.59,0.445,1.21,3.14,0.385,3.1,4.02,0.773,0.54,2.14,2.69,4.5,1,0.11,2.08,2.3,11.06,0.582,0.524,2.39,8.57,5.62,28.73,19.46,2.03,0.45,21.17,160.28,2.47,1.46,114.1,104.3,16.57
