Pos,HT,WT,Age,League,GS,FGA,FG%,3PA,3P%,FTA,FT%,TRB,AST,STL,BLK,PF,TOV,PTS,TS%,eFG%,ORB%,DRB%,TRB%,TOV%,STL%,BLK%,Total S %,PPR,ORtg,DRtg,Pick
C,213cm,100kg,20,INTERNATIONAL,15,2.58,0.567,0,0,1.19,0.661,2.92,0.52,0.37,0.71,2.23,0.54,3.71,0.598,0.567,15.96,16.84,16.4,14.79,1.87,6.99,122.85,-1.81,122.3,95.1,26
SF,201cm,111kg,22,NCAA,90,7.95,0.521,0.96,0.305,3.48,0.771,6.46,1.4,1.15,1.1,2.41,1.57,11.27,0.587,0.54,7.03,21.43,14.58,14.04,2.59,4.55,159.76,-2.4,112.3,89,27
G,198cm,86kg,21,NCAA,98,13.34,0.423,7.22,0.354,5.3,0.853,4.79,2.42,1.93,0.93,2.16,1.7,18.37,0.579,0.519,2.52,13.98,8.45,9.66,3.43,3.43,163.03,-0.24,118.6,98.1,28
PF,211cm,91kg,20,NCAA,16,7.06,0.478,0.06,1,4.44,0.563,6.88,1.12,1.69,2.06,2.5,2.19,9.31,0.508,0.482,9.28,17.53,13.58,19.26,3.63,8.45,204.13,-5.06,96.8,79.9,29
PF,206cm,113kg,19,NCAA,36,8.92,0.47,1.47,0.415,4.08,0.626,9.19,1.42,1.28,0.89,2.89,1.25,11.56,0.532,0.505,12.26,20.99,16.63,10.33,2.46,3.3,151.13,-0.96,116.3,96.1,30
GF,201cm,104kg,20,GLEAGUE,1,23,0.304,10,0.2,9,0.556,8,2,4,2,4,3,21,0.389,0.348,2.05,23.28,10.15,10.01,4.76,4.83,105.99,-4.16,78.9,103,31
F,201cm,109kg,21,NCAA,75,8.12,0.586,0.36,0.275,3.63,0.533,6.94,0.91,0.81,1.05,1.91,1.29,11.55,0.586,0.592,11.14,18.48,14.79,11.54,1.84,4.43,139.39,-2.54,119,87.8,32
PF,203cm,107kg,20,NCAA,65,10.78,0.518,0.22,0.071,4.28,0.669,8.85,1.17,0.77,3.34,2.38,2.75,14.05,0.548,0.519,8.9,18.82,14.03,17.69,1.31,9.38,125.83,-5.53,103.1,93.5,33
GF,201cm,102kg,22,NCAA,102,8.4,0.428,3.75,0.404,2.85,0.751,4.78,1.6,0.68,0.16,1.78,1.58,10.85,0.556,0.518,3.87,15.39,9.67,13.96,1.4,0.6,158.3,-1.78,110.8,99.1,34
C,211cm,113kg,21,INTERNATIONAL,4,3.19,0.657,0,0,1.21,0.698,3.08,0.37,0.35,0.52,1.62,0.69,5.04,0.676,0.657,14.92,22.26,18.84,15.67,1.72,4.86,135.5,-4.14,125.7,105.2,35
PF,206cm,116kg,23,NCAA,139,5.15,0.56,0.01,0,2.36,0.681,5.23,0.6,0.54,1.73,2.64,1.15,7.37,0.588,0.56,10.2,16.75,13.5,15.48,1.51,9.55,124.01,-3.52,115,91.4,36
F,208cm,109kg,21,NCAA,64,7.66,0.554,0.89,0.353,3.82,0.697,6.86,0.65,0.79,2.57,2.45,1.51,11.46,0.605,0.574,11.5,18.56,15.02,13.7,1.84,10.99,160.35,-4.12,117,91.4,37
SG,198cm,100kg,22,NCAA,112,8.52,0.436,4.31,0.367,3.24,0.748,3.03,1.88,1.33,0.36,2.07,1.56,11.45,0.569,0.529,2.38,10.56,6.56,13.43,2.97,1.48,155.14,-1.15,113,96.6,38
F,198cm,91kg,19,INTERNATIONAL,5,5.59,0.505,0.59,0.1,2.29,0.667,4.15,0.82,0.5,0.44,1.74,1.26,7.24,0.548,0.511,9.68,19.07,14.04,16.09,1.53,2.84,127.19,-4.09,105.8,101.1,39
G,196cm,91kg,21,NCAA,109,7.4,0.455,2.27,0.317,2.31,0.758,3.22,1.81,1.08,0.65,2.21,1.54,9.21,0.542,0.504,3.61,10.01,6.81,15.32,2.42,2.54,153.04,-1.24,109.3,99.8,40
SF,193cm,95kg,22,NCAA,123,8.24,0.45,5,0.386,1.55,0.777,5.92,1.85,0.67,0.51,1.67,0.97,10.54,0.587,0.567,3.88,17.96,11.2,9.77,1.32,1.63,161.21,0.86,120.7,101.4,41
