Pos,HT,WT,Age,League,GS,FGA,FG%,3PA,3P%,FTA,FT%,TRB,AST,STL,BLK,PF,TOV,PTS,TS%,eFG%,ORB%,DRB%,TRB%,TOV%,STL%,BLK%,Total S %,PPR,ORtg,DRtg,Pick
PG,175cm,82kg,21,NCAA,125,17.74,0.444,9.41,0.363,6.62,0.852,4.52,2.58,1.64,0.36,2.04,2.49,24.81,0.594,0.54,1.73,14.01,7.95,10.66,2.81,1.19,165.94,-2.31,115.3,102.7,61
SF,193cm,93kg,22,NCAA,82,10.2,0.445,4.29,0.339,2.74,0.717,4.93,2.06,1.16,0.57,2.64,2,12.5,0.543,0.516,5.23,17.19,11.16,14.81,2.68,2.6,150.09,-2.54,106.8,101.1,61
C,229cm,113kg,23,NCAA,110,5.84,0.74,0.01,0,3.34,0.432,7.71,0.43,0.22,2.43,2.6,2.09,10.09,0.679,0.74,13.84,22.42,18.46,21.93,0.56,11.26,117.19,-8.13,111.2,88.7,61
C,201cm,102kg,22,NCAA,56,8.94,0.467,3.95,0.378,2.79,0.829,4.7,1.45,0.34,0.63,2.21,1.9,12.15,0.592,0.55,5.71,16.98,11.59,15.63,0.83,2.81,167.39,-3.93,108.6,108.8,61
PF,206cm,104kg,21,NCAA,85,4.47,0.662,0.01,1,2.6,0.607,6.3,0.47,0.54,1.69,2.13,0.94,7.51,0.659,0.663,11.37,21.89,16.78,14.16,1.52,8.66,226.85,-3.08,125.8,93.3,61
SF,196cm,102kg,22,NCAA,48,6.71,0.53,2.49,0.377,2.4,0.77,4.98,1.18,0.75,1.08,2.78,1.26,9.89,0.631,0.6,7.36,15.93,11.85,13.83,1.82,4.99,167.68,-2,120.9,101,61
PG,191cm,84kg,23,NCAA,98,9.46,0.441,3.65,0.325,4.81,0.745,3.2,3.52,1.79,0.56,1.92,2.01,13.1,0.558,0.503,2.87,8.98,5.93,14.6,3.37,2.09,151.09,1.1,113.4,99,61
SG,196cm,98kg,22,NCAA,111,12.64,0.446,7.19,0.374,5.75,0.789,4.98,1.88,0.87,0.24,2.3,2.05,18.51,0.602,0.553,4.16,15.24,9.8,11.78,1.65,0.91,160.87,-2.63,116.6,102,61
PF,201cm,105kg,22,NCAA,85,7.19,0.562,1.5,0.297,3.3,0.671,5.91,1.18,0.83,1.08,2.36,1.33,10.73,0.613,0.593,10.57,19,14.91,13.17,2.1,5.04,152.94,-2.39,121.8,97.3,61
PG,185cm,88kg,21,NCAA,105,7.59,0.445,3.14,0.385,4.02,0.773,2.69,4.5,1,0.11,2.08,2.3,11.06,0.582,0.524,2.39,8.57,5.62,19.46,2.03,0.45,160.28,2.47,114.1,104.3,61
PF,203cm,106kg,22,NCAA,108,6.79,0.497,0.44,0.475,5.9,0.729,6.54,0.66,0.63,1.39,3.51,1.96,11.26,0.587,0.512,12.38,21.32,16.73,16.98,1.66,7.57,170.07,-6.93,113.2,91.8,61
PF,206cm,99kg,22,NCAA,123,8.72,0.498,2.63,0.384,3.19,0.711,5.41,2.06,0.94,0.63,2.29,1.17,11.96,0.584,0.556,7.23,15.22,11.24,10.29,1.92,2.58,159.29,0.72,121.6,98.5,61
PF,208cm,98kg,22,NCAA,105,3.07,0.586,0.1,0.357,1.53,0.638,4.93,0.28,0.35,1.36,2.15,0.72,4.61,0.607,0.592,13.39,16.73,15.1,15.89,1.12,8.25,158.04,-2.98,121.9,98,61
PG,188cm,83kg,23,NCAA,67,10.47,0.442,6.38,0.404,3.06,0.896,4.12,1.6,1.09,0.17,1.9,1.35,14.57,0.611,0.565,1.93,13.81,7.84,10.14,2.08,0.62,174.15,-0.94,119.4,100.5,61
SG,196cm,97kg,22,NCAA,107,7.65,0.438,2.78,0.324,1.86,0.702,4.46,2.56,2.07,0.76,2.93,1.79,8.92,0.522,0.497,5.76,12.13,8.87,17.36,4.2,2.89,146.51,-0.3,104.9,95.5,61
PG,188cm,88kg,23,NCAA,99,11.93,0.443,3.35,0.334,2.52,0.824,3.7,4.12,1.19,0.32,1.99,2.57,13.76,0.524,0.49,3.06,10.11,6.71,16.39,2.25,1.17,160.07,0.58,105.2,102,61
SG,193cm,82kg,22,NCAA,102,10.53,0.4,5.46,0.355,2.29,0.885,2.64,3.23,1.02,0.15,1.74,1.51,12.38,0.533,0.492,1.82,8.29,4.99,11.51,2.03,0.54,163.94,2.24,110.1,105.3,61
PF,208cm,107kg,22,NCAA,96,11.15,0.432,6.03,0.38,3.44,0.759,5.75,1.79,0.48,0.66,2.47,1.44,14.55,0.569,0.535,6.11,16.22,11.29,10.14,0.96,2.4,157.15,-0.86,116.6,103.3,61
SG,191cm,86kg,21,NCAA,97,10.31,0.395,7.44,0.392,2.17,0.785,1.97,1.42,0.86,0.11,1.78,1.27,12.77,0.563,0.537,1.86,6.01,3.87,10.05,1.72,0.47,157.23,-1.11,113.9,108.2,61
C,206cm,111kg,22,NCAA,18,2.75,0.495,0.01,0,2.31,0.586,3.91,0.2,0.29,0.84,1.86,0.68,4.08,0.53,0.495,11.68,17.94,15,15.04,1.21,6.17,108.11,-3.94,108,92.6,61
SG,191cm,88kg,22,NCAA,117,10.91,0.417,3.9,0.319,3.51,0.701,3.31,2.52,1.83,0.12,2.06,1.95,12.81,0.509,0.474,2.06,10.41,6.24,13.42,3.42,0.46,143.73,-0.88,102.2,98,61
G,191cm,86kg,22,NCAA,63,8.88,0.484,3.23,0.324,2.11,0.701,4.08,1.42,1.69,0.46,1.85,1.26,11.11,0.562,0.542,3.77,11.07,7.65,11.32,3.19,1.56,150.81,-1.16,113,95.6,61
PG,188cm,79kg,22,NCAA,96,10.06,0.377,4.76,0.332,3.28,0.652,3.24,4.46,1.38,0.24,1.74,1.76,11.31,0.487,0.456,1.62,10.39,5.89,13.14,2.76,0.98,136.2,4.27,106.4,95.8,61
SG,188cm,88kg,22,NCAA,118,12.95,0.435,4.75,0.348,5.71,0.797,3.61,4.52,1.02,0.31,1.71,3.43,17.46,0.557,0.498,1.77,10.19,5.93,17.96,1.64,0.91,157.98,-1.16,105.8,109.8,61
SG,196cm,95kg,22,NCAA,125,15.04,0.448,8.55,0.4,3.6,0.859,4.78,2.51,0.97,0.32,2.06,1.94,19.98,0.597,0.562,2.32,14.83,8.33,10.4,1.68,1.13,170.69,-0.81,118.8,108.4,61
C,206cm,102kg,21,NCAA,80,6.09,0.51,2.02,0.382,2.01,0.687,5.57,0.79,0.56,1.6,2.01,1.36,8.36,0.594,0.574,9.74,20.09,15.04,16.21,1.54,8.27,157.92,-3.98,113.4,96.3,61
C,224cm,122kg,22,NCAA,59,3.15,0.622,0.02,0,1.09,0.541,3.34,0.13,0.14,1.2,1.9,0.73,4.51,0.615,0.622,11.15,19.97,15.65,16.6,0.65,11.07,116.37,-5.21,113.4,95.6,61
SG,191cm,84kg,22,GLEAGUE,1,5.67,0.447,3.2,0.312,1.6,0.75,3.13,0.47,0.53,0.07,2.13,1.73,8.2,0.644,0.535,6.29,16.49,11.38,21.39,1.81,0.43,150.96,-10.1,93.3,116.3,61
SF,201cm,95kg,22,NCAA,81,6.08,0.456,2.89,0.378,1.97,0.707,4.68,1.98,1.11,0.62,2,1.48,8.02,0.572,0.546,4.75,16.91,10.93,17.47,2.61,2.62,154.04,-0.66,111.2,98.2,61
SG,196cm,93kg,22,NCAA,95,10.66,0.452,5.45,0.386,4.72,0.757,5.92,2.45,1.05,0.34,1.88,1.56,15.29,0.592,0.55,6.1,14.1,10.11,10.79,1.86,1.13,159.46,0.21,124.2,100.9,61
PF,203cm,109kg,22,NCAA,74,8.37,0.46,2.04,0.361,2.14,0.675,6.68,1.56,0.55,0.48,1.94,1.28,9.89,0.527,0.504,10.41,22.99,16.78,11.97,1.43,2.5,149.68,-1.07,113.5,96.6,61
G,188cm,79kg,21,NCAA,112,13.86,0.47,7.75,0.378,5.39,0.834,4.25,2.6,1.1,0.3,1.9,2.6,20.46,0.623,0.576,1.32,13.27,7.43,13.65,1.9,0.94,168.22,-2.62,114.5,107.2,61
SF,198cm,113kg,22,NCAA,122,9.94,0.495,1.04,0.232,5.25,0.659,9.81,1.42,0.86,0.97,2.89,2.05,13.55,0.545,0.508,11.53,25.04,18.24,14.17,1.71,3.38,138.64,-3.8,108.8,97.4,61
F,208cm,109kg,22,NCAA,63,10,0.555,0.05,0.333,1.94,0.683,5.75,1.26,0.66,1.66,2.82,2,12.45,0.57,0.556,7.89,18.84,13.54,15.48,1.54,7.71,157.13,-4.76,105,97.8,61
SF,203cm,92kg,22,NCAA,104,4.61,0.479,1.37,0.254,2.02,0.429,4.56,1.42,0.8,0.93,2.71,1.36,5.64,0.506,0.517,7.77,15.87,11.77,19.66,2.13,4.55,116.22,-1.93,100.1,99,61
PG,185cm,86kg,22,NCAA,119,5.86,0.429,1.54,0.3,1.93,0.662,2.79,4.25,1.15,0.1,1.75,1.71,6.77,0.499,0.469,1.51,9.59,5.62,20.17,2.49,0.41,139.07,4.2,106.9,98,61
SG,193cm,86kg,22,NCAA,94,5.81,0.439,3.24,0.342,1.19,0.74,2.88,2.15,0.76,0.29,1.43,1.01,7.09,0.556,0.534,4.28,8.92,6.65,13.64,1.81,1.36,152.1,1.76,118.9,101.4,61
C,208cm,113kg,21,NCAA,24,2.58,0.573,0.08,0,1.23,0.685,3.25,0.4,0.34,1.06,1.65,0.59,3.8,0.6,0.573,11.43,14.37,12.97,15.74,1.41,7.5,125.79,-2.35,122.1,95.9,61
SF,201cm,90kg,20,GLEAGUE,43,11.92,0.407,4.75,0.32,2.6,0.864,7.92,1.96,1.02,0.69,1.98,1.62,14.69,0.562,0.471,5.01,18.88,11.76,11.06,1.46,1.8,159.15,-0.95,107.1,110.9,61
PF,201cm,95kg,20,NCAA,71,11.72,0.371,3.9,0.307,5.23,0.736,8.2,1.34,1.07,0.79,2.17,1.94,13.75,0.484,0.422,7.16,18.8,13.07,12.04,1.83,3.02,141.41,-3.14,103.1,96.8,61
SG,198cm,90kg,22,NCAA,61,13.03,0.407,5.75,0.37,3.87,0.836,5.59,1.29,0.92,0.73,2.38,1.51,15.97,0.537,0.488,4.88,13.35,8.97,9.21,1.53,2.58,161.31,-1.88,109.7,105.7,61
C,216cm,111kg,19,NCAA,31,6.84,0.607,0,0,4,0.352,8.31,0.28,0.59,1.94,2.34,1.53,9.72,0.556,0.607,15.64,21.11,18.49,14.9,1.39,8.71,95.89,-5.45,107.4,98,61
C,203cm,116kg,21,NCAA,92,9.8,0.542,0.23,0.143,5.45,0.639,6.66,1.76,0.68,0.52,2.48,2.56,14.14,0.571,0.544,8.63,18.05,13.41,17.12,1.36,1.94,132.42,-4.85,107.5,106.3,61
PG,193cm,98kg,20,NCAA,33,12.65,0.405,5.18,0.307,6.09,0.7,4.26,2.32,1.53,0.21,3,2.91,16.09,0.518,0.467,4.48,10.09,7.31,15.78,2.67,0.8,141.2,-4.15,101.8,100.1,61
PG,183cm,79kg,21,NCAA,104,9.78,0.384,5.6,0.359,4.98,0.792,2.29,4.81,1.15,0.05,1.79,2.04,13.46,0.554,0.486,1.25,7.51,4.3,14.36,2.17,0.19,153.41,3.83,118.1,105.5,61
PF,203cm,98kg,20,NCAA,30,10.71,0.458,1.71,0.226,4.1,0.717,7.61,1.52,0.61,0.65,2.19,2.55,13.13,0.519,0.476,9.06,19.51,14.03,16.76,1.19,2.5,140.08,-5.16,102.1,107.7,61
SF,201cm,93kg,20,NCAA,28,10.97,0.435,4.94,0.386,2.55,0.785,5.52,1.29,0.87,0.23,2.48,2.06,13.45,0.552,0.522,5.43,16.98,11.25,14.5,1.79,1.03,160.57,-4.3,106.2,96,61
G,196cm,95kg,23,NCAA,129,10.27,0.556,3.5,0.414,3.81,0.698,8.64,4.15,2.05,0.59,2.05,1.86,15.53,0.643,0.626,7.59,20.45,14.05,13.32,3.17,1.78,166.8,2.46,130.9,100.7,61
SG,193cm,84kg,19,GLEAGUE,37,12.46,0.413,4.04,0.248,2.38,0.597,3.32,3.28,0.88,0.22,2.72,2.62,13.7,0.507,0.453,2.62,10.01,6.28,16.25,1.54,0.7,125.67,-1.57,90.9,118,61
F,201cm,93kg,23,NCAA,79,10.5,0.414,6.23,0.359,3.61,0.725,4.5,1.88,0.97,0.56,2.11,1.42,13.55,0.554,0.52,3.43,13.85,8.73,10.44,1.99,2.11,149.79,-0.61,114.3,100.8,61
PF,208cm,107kg,19,NCAA,7,7.21,0.437,3.33,0.364,3.15,0.75,6.79,2.24,0.85,1.67,2.94,1.91,9.88,0.567,0.521,7.71,23.25,16.04,17.98,2.05,7.28,155.06,-1.76,112.2,92.5,61
C,206cm,113kg,19,NCAA,32,10.74,0.468,2.47,0.333,3.76,0.727,7.21,0.85,0.74,0.68,3.18,2.5,13.62,0.544,0.507,10.43,19.24,14.84,16.64,1.53,2.84,152.84,-6.98,106.3,101,61
G,196cm,100kg,23,NCAA,66,14.55,0.42,8.39,0.35,4.15,0.825,5.79,2.45,1.11,0.5,2.92,2.3,18.58,0.562,0.521,4.04,13.97,8.98,12.24,1.71,1.66,159.48,-1.79,113.4,106.3,61
SF,191cm,95kg,21,NCAA,37,6.74,0.505,2.84,0.414,4.02,0.756,4.11,1.15,0.68,0.29,1.96,1.54,11.03,0.637,0.592,3.54,15.19,9.67,15.11,1.61,1.34,167.53,-3.16,119.4,101.2,61
G,193cm,91kg,23,NCAA,99,6.84,0.399,1.64,0.234,2.74,0.645,4.38,1.04,0.53,0.26,1.92,1.79,7.61,0.467,0.427,6.36,16.11,11.13,18.06,1.34,1.38,127.8,-4.79,90.1,108.1,61
SG,185cm,85kg,22,NCAA,93,13.58,0.433,5.82,0.388,3.86,0.762,6.4,3.9,1.34,0.35,2.54,3.01,16.95,0.55,0.516,2.56,17.7,10.1,16.34,2.14,1.08,158.24,-1.15,105.8,104,61
SG,191cm,88kg,21,NCAA,40,7.88,0.415,5.77,0.397,0.83,0.711,4.25,0.57,0.65,0.25,1.33,0.61,9.42,0.569,0.56,4.19,17.26,10.87,6.87,1.78,1.39,152.27,-1.09,119.4,93.6,61
SF,203cm,100kg,23,NCAA,82,6.09,0.528,0.52,0.296,4.47,0.687,7.28,1.82,0.81,0.69,2.55,2.28,9.65,0.588,0.541,8.77,22.73,15.86,21.75,1.86,3.12,151.12,-4.29,108.4,90.8,61
SG,201cm,91kg,23,NCAA,112,9.58,0.402,4.19,0.368,2.97,0.774,5.68,2.03,0.95,0.62,2.66,1.72,11.54,0.525,0.482,4.33,17.56,11.02,13.53,1.94,2.3,154.34,-1.28,104.2,97.3,61
G,191cm,91kg,22,NCAA,114,11.29,0.446,4.63,0.368,2.99,0.772,3.44,2.62,1.76,0.13,1.76,2.18,14.07,0.554,0.521,1.77,12.02,7.08,14.63,3.6,0.52,158.53,-1.52,106.7,95.5,61
SG,196cm,93kg,21,NCAA,64,10.41,0.444,6.34,0.371,2.64,0.836,4.08,2.7,1.2,0.08,1.97,1.5,13.82,0.593,0.557,3.93,11.48,8.01,11.4,2.36,0.29,165.11,1.03,122.6,95.3,61
PF,208cm,93kg,23,NCAA,77,4.56,0.533,0.54,0.282,1.58,0.725,4.65,0.48,0.47,2.05,2.72,0.92,6.17,0.58,0.55,8.65,16.77,12.73,14.7,1.3,11.76,153.98,-2.82,113.7,96,61
SG,185cm,82kg,20,NCAA,95,15.08,0.436,5.94,0.328,5.2,0.84,4.51,4.3,2.34,0.21,1.84,2.18,19.48,0.555,0.501,3.42,10.91,7.1,11.03,3.66,0.68,160.42,1.89,114.2,102.3,61
PF,203cm,107kg,21,NCAA,38,4.1,0.634,0.03,0,1.83,0.633,4.66,0.47,0.5,2.36,2.64,1.14,6.36,0.64,0.634,7.69,17.78,12.86,18.7,1.36,13.78,126.7,-3.93,114.6,94.2,61
PG,188cm,86kg,22,NCAA,55,9.62,0.406,5.33,0.376,2.93,0.811,1.98,2.68,0.82,0.03,1.64,1.98,12.18,0.553,0.51,1.3,7.1,4.33,15.23,1.76,0.13,159.23,-0.71,107.7,106.8,61
SG,198cm,93kg,21,NCAA,94,12.77,0.417,5.18,0.335,4.48,0.803,2.76,2.08,1.31,0.22,2.03,1.78,15.99,0.537,0.486,1.53,7.18,4.43,10.66,2.23,0.82,155.53,-1.16,110.6,104.4,61
F,198cm,100kg,23,NCAA,85,7.58,0.4,2.68,0.304,4.09,0.734,5.28,1.5,0.92,0.27,1.91,1.19,9.87,0.518,0.453,5.93,16.65,11.29,11.08,2.09,1.17,143.69,-0.71,112.4,96.4,61
F,211cm,113kg,23,NCAA,27,3.57,0.568,0,0,2.19,0.595,4.68,0.32,0.19,1.32,2.17,0.71,5.36,0.581,0.568,13.4,20.51,17.13,13.31,0.66,9.35,116.3,-3.67,116.4,95.3,61
G,188cm,86kg,23,NCAA,74,7.68,0.433,4.07,0.371,2.57,0.785,2.62,2.53,0.66,0.13,1.73,1.48,10.18,0.572,0.532,1.82,10.46,6.34,14.26,1.61,0.58,158.94,0.86,114.7,99.9,61
F,201cm,107kg,23,NCAA,135,10.81,0.461,2.33,0.348,6.25,0.646,8.43,1.75,0.79,0.25,2.25,1.94,14.82,0.538,0.499,9.81,19.69,14.8,12.35,1.4,0.87,145.51,-2.36,111.5,99.4,61
F,198cm,93kg,24,NCAA,55,7.25,0.475,3.74,0.422,1.51,0.819,3.21,0.76,0.61,0.22,1.69,0.95,9.7,0.609,0.584,4.22,12.34,8.38,10.65,1.62,1.1,171.53,-2.05,116.8,101.7,61
G,198cm,95kg,23,NCAA,65,5.76,0.481,3.4,0.428,1.16,0.719,2.52,1.17,0.62,0.29,1.05,0.69,7.83,0.62,0.607,1.77,10.05,6.15,9.86,1.52,1.41,162.75,0.39,122.4,104.2,61
F,203cm,100kg,23,NCAA,72,8.56,0.533,2.09,0.326,2.34,0.745,5.29,0.7,0.54,1.72,2.14,1.21,11.54,0.597,0.573,9.68,16.81,13.22,11.1,1.37,8.25,160.46,-3.22,117.6,101,61
SG,188cm,85kg,22,NCAA,30,6.32,0.385,3.29,0.339,1.73,0.714,2.96,2.41,0.53,0.16,1.85,1.64,7.22,0.505,0.473,2.43,11.85,6.96,18.67,1.26,0.81,143.78,-0.13,100.7,100.5,61
GF,198cm,98kg,23,NCAA,32,4.38,0.399,2.68,0.373,1.04,0.722,2,0.33,0.26,0.09,1.13,0.64,5.25,0.538,0.514,4.3,11.22,7.88,11.68,1.04,0.68,149.35,-2.9,106.7,104.6,61
G,196cm,86kg,22,NCAA,78,16.52,0.504,4.06,0.331,9,0.855,6.04,3.07,2.27,0.65,2.56,2.99,25.68,0.617,0.544,-,-,-,12.56,-,-,168.96,-,-,-,61
G,203cm,98kg,22,NCAA,95,11.01,0.545,4.36,0.465,4.27,0.854,6.05,1.77,0.59,0.86,2.04,1.93,17.68,0.678,0.637,-,-,-,12.88,-,-,186.4,-,-,-,61
SF,196cm,86kg,22,NCAA,48,5.2,0.4,1.47,0.297,1.95,0.772,2.82,0.66,0.34,0.11,1.31,0.97,6.1,0.498,0.442,4.14,13.09,8.77,13.68,1.09,0.65,146.89,-3,100.9,100.4,61
PF,201cm,118kg,22,NCAA,45,6.16,0.509,0.28,0.391,2.17,0.756,5.47,0.56,0.43,2.36,2.58,1.17,8.02,0.558,0.518,10.72,22.38,16.27,14.02,1.3,15.26,165.6,-4.21,112.9,89.2,61
PF,201cm,104kg,21,NCAA,100,14.08,0.455,2.77,0.332,5.86,0.757,9.85,2.48,1.24,1.59,2.58,2.6,18.17,0.539,0.488,10.02,21.88,16.03,13.38,2.1,5.2,154.39,-2.82,110.1,93.3,61
PF,211cm,93kg,21,GLEAGUE,7,3.9,0.556,0.9,0.296,1,0.567,3.87,0.67,0.47,0.4,1.37,0.93,5.63,0.649,0.59,12.59,18.39,15.45,17.7,1.65,2.58,141.85,-3.63,112.9,113.9,61
SG,198cm,93kg,22,NCAA,78,7.4,0.464,1.87,0.308,2.83,0.576,4.12,1.44,0.73,0.43,1.65,1.44,9.07,0.519,0.503,6.08,13.59,9.94,14.16,1.82,1.85,134.82,-2.09,103.9,95.4,61
PG,196cm,84kg,21,NCAA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,104.5,61
F,206cm,100kg,23,NCAA,11,2.76,0.439,0.61,0.158,1.16,0.625,2.02,0.45,0.19,0.23,1.5,0.69,3.24,0.49,0.456,8.15,14.12,11.33,17.32,1.11,2.46,122.15,-3.9,96.6,98.8,61
F,203cm,113kg,23,NCAA,113,3.93,0.527,0.02,0.5,2.2,0.567,4.65,0.64,0.41,0.65,2.55,1.24,5.4,0.542,0.528,12.75,18.36,15.64,19.98,1.4,4.48,159.42,-4.76,103.9,93.5,61
G,196cm,94kg,22,NCAA,74,8.65,0.398,3.28,0.315,3.99,0.742,2.74,1.82,0.73,0.31,1.32,1.36,10.88,0.516,0.458,3.85,9.84,6.92,11.44,1.96,1.41,145.57,-0.7,107.5,102.3,61
G,188cm,86kg,23,NCAA,144,7.92,0.438,4.25,0.386,2.17,0.75,2.8,4.63,1.16,0.16,2.37,2.03,10.21,0.571,0.542,1.74,7.87,5.1,18.52,2.17,0.54,157.4,3.4,115.7,95.4,61
PG,183cm,84kg,21,NCAA,71,9.49,0.385,5.72,0.346,2.12,0.683,2.15,4.38,1.45,0.15,2.49,2.64,10.73,0.511,0.489,1.79,7.1,4.5,20.11,3.03,0.61,141.34,1.01,101.8,102.3,61
SF,201cm,98kg,24,NCAA,85,11.18,0.493,2.23,0.338,4.9,0.794,7.15,1.79,1.17,0.62,3.25,2.39,15.67,0.58,0.527,6.01,23.15,14.72,15.01,2.34,2.27,162.51,-4.16,109.2,97.2,61
PG,185cm,82kg,24,NCAA,90,8.59,0.427,2.48,0.328,2.71,0.622,3.11,5.44,1.17,0.3,1.96,2.81,9.83,0.498,0.474,1.73,10.37,6.13,22.13,2.29,1.12,137.7,2.78,100.5,102.7,61
FC,208cm,109kg,19,NCAA,31,8.75,0.468,0.56,0.056,4.72,0.576,6.69,1.84,0.66,0.5,2.34,2.91,10.94,0.498,0.47,6.94,21.18,14.13,20.91,1.43,1.98,109.96,-6.36,91.8,102.3,61
PG,196cm,98kg,23,NCAA,66,7.34,0.47,0.85,0.351,2.75,0.62,4.78,3.11,1.53,0.6,2.22,2,8.9,0.515,0.49,3.92,15.75,9.91,18.79,3.13,2.54,144.07,0.26,101.2,97,61
PG,188cm,91kg,22,NCAA,101,12,0.393,4.82,0.359,5.98,0.733,2.9,3.12,0.89,0.03,1.58,1.71,15.56,0.524,0.466,1.19,8.13,4.85,10.34,1.6,0.09,148.58,1.13,111.1,103.1,61
F,201cm,102kg,23,NCAA,119,8.45,0.502,1.63,0.271,3.61,0.675,6.46,1.34,0.85,0.93,2.84,1.49,11.37,0.559,0.528,6.98,19.54,13.22,12.77,1.68,3.61,144.82,-2.02,112.5,102,61
SG,185cm,86kg,21,NCAA,33,11.59,0.414,5.18,0.397,5.25,0.687,3.88,2.52,0.84,0.39,2.27,2.52,15.27,0.542,0.503,2.61,11.62,7.24,15.17,1.63,1.4,149.81,-2.85,104.5,106.5,61
F,201cm,93kg,19,NCAA,35,12.06,0.448,3.6,0.341,6.49,0.775,5.86,1.54,1.17,0.97,2.69,2.29,17.06,0.563,0.499,8.41,12.21,10.46,13.12,2.09,3.11,156.45,-3.74,116,101.6,1
F,203cm,111kg,19,NCAA,35,14.31,0.471,3.03,0.358,6.11,0.748,8.74,1.17,1.06,1.23,2.37,2.31,19.14,0.556,0.509,11.43,23.01,17.07,11.85,2.12,3.99,157.72,-5.13,114.7,98.2,2
C,213cm,127kg,20,NCAA,20,6.11,0.626,0.18,0.2,5.11,0.685,8.11,1.36,0.89,2.57,3.36,2.36,11.18,0.655,0.629,12.84,26.47,20.3,21.64,2.26,11.51,151.1,-6.12,116.5,89.2,3
F,203cm,107kg,18,NCAA,38,10.03,0.496,1.18,0.356,4.74,0.422,7.95,1.97,0.89,1.03,2.37,1.45,12.37,0.504,0.517,10.25,19.33,14.91,10.55,1.78,3.37,127.38,-0.44,109,87.7,4
PG,191cm,100kg,20,NCAA,63,11.88,0.413,4.61,0.295,7.27,0.751,5.86,4.48,2.94,0.62,2.86,3.03,16.62,0.542,0.47,5.25,14.56,10.08,16.51,5.19,2.04,145.86,-0.12,109.9,87.8,6
PF,206cm,113kg,19,NCAA,40,9.78,0.501,0.45,0.167,7.22,0.706,10.4,1.43,0.5,0.78,2.27,2.52,14.97,0.567,0.505,13.31,24.65,19.19,16.05,0.99,2.57,137.38,-5.2,115.9,96.7,7
SG,198cm,93kg,20,NCAA,69,9.23,0.467,5.2,0.441,3.88,0.832,2.95,2.27,0.56,0.27,0.97,1.48,14.13,0.638,0.591,1.82,9.11,5.57,11.79,1.07,0.86,173.94,0.1,126.7,105.1,8
FC,208cm,117kg,18,NCAA,29,7.2,0.523,1.1,0.485,4.47,0.716,8.97,0.6,0.87,1.37,2.7,2.13,11.27,0.604,0.56,10.78,27.27,19.42,18.62,1.9,5.45,172.44,-6.39,113.3,90.7,9
G,193cm,84kg,20,NCAA,78,10.32,0.485,1.12,0.268,6.44,0.612,5.08,4.86,1.97,0.51,2.26,3.35,14.26,0.533,0.5,5.21,12.75,8.97,20.03,3.53,1.62,136.51,-0.33,105,97.3,10
F,203cm,102kg,22,NCAA,144,14.31,0.55,4.12,0.458,4.93,0.831,7.5,1.34,0.23,0.1,1.83,2.22,21.72,0.652,0.616,8.17,19.88,14.5,11.77,0.46,0.32,183.88,-4.35,123.5,102.5,11
SF,208cm,113kg,20,INTERNATIONAL,50,8.12,0.453,2.48,0.329,3.09,0.736,6.54,2.49,0.78,0.45,2.55,2.05,10.45,0.551,0.503,8.55,24.27,16.59,17.75,1.77,1.79,151.82,-1.62,107,101.7,12
SG,196cm,92kg,19,NCAA,1,7.78,0.441,3.46,0.375,1.84,0.691,2.54,1.78,0.89,0.16,1.97,1.14,9.43,0.545,0.524,2.4,9.49,6.06,11.59,2.08,0.8,150.71,0.21,109.1,103.6,13
F,203cm,98kg,20,NCAA,49,13.59,0.555,2.04,0.315,4.26,0.654,5.64,0.97,1.5,0.51,2.49,1.67,18.51,0.593,0.579,10.46,10.52,10.49,9.67,2.88,1.67,152.43,-3.28,120.4,103.2,14
C,208cm,108kg,23,NCAA,93,6.17,0.525,1.09,0.407,2.66,0.755,5.33,0.62,0.55,1.02,2.15,1.36,8.93,0.601,0.561,9.38,21.25,15.58,15.42,1.68,5.79,168.67,-4.85,114.4,91.4,15
FC,213cm,132kg,19,INTERNATIONAL,1,6.69,0.552,0.17,0.2,5.1,0.676,4.97,0.76,0.88,1.03,3.29,1.88,10.9,0.61,0.554,16.6,22.4,19.49,17.38,3.09,7.89,142.72,-8.83,112.1,92.1,16
SG,198cm,98kg,18,NCAA,39,11.25,0.407,5.88,0.349,4.42,0.706,4.28,1.68,0.75,0.2,2.08,1.88,14.32,0.536,0.498,3.73,11.01,7.5,12.31,1.41,0.63,146.18,-2.38,114.7,103.1,17
PG,191cm,83kg,19,NCAA,34,10.59,0.411,2.5,0.353,4.38,0.765,3.38,5.47,2.09,0.18,2.03,1.71,12.94,0.511,0.453,2.62,9.13,5.77,11.87,3.86,0.68,152.92,6.01,117.4,97.7,18
SG,193cm,93kg,19,NCAA,67,11.35,0.441,5.62,0.376,3.48,0.787,3.28,2.03,1.57,0.3,2.04,1.61,14.86,0.571,0.534,3.87,8.41,6.24,11.01,3.1,1.13,160.44,-0.85,117.2,97.6,19
PF,206cm,99kg,18,GLEAGUE,127,11.35,0.424,5.8,0.353,1.95,0.754,6.13,1.42,1.13,1.81,2.95,1.74,13.16,0.539,0.514,6.11,16.65,11.47,12.49,1.91,5.34,153.16,-2.82,105.9,101.6,20
