Pick,Name,Team,Draft-Trades,Pos,HT,WT,Age,YOS,Pre-Draft Team,Class,Nationality,League,Season,School,Class,GP,GS,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,TRB,AST,STL,BLK,PF,TOV,PTS,TS%,eFG%,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,Total S %,PPR,PPS,ORtg,DRtg,PER
60,Robert Sacre,LAL,,C,213cm,122kg,23,4,Gonzaga,Sr,Canada / United States,NCAA,CAREER,NCAA DI, ,136.0,111.0,21.7,3.01,5.97,.504,0.01,0.03,.250,3.32,4.51,.735,1.77,3.22,4.99,0.68,0.51,1.38,2.25,1.62,9.34,.575,.504,10.27,16.20,13.45,6.04,16.62,1.41,6.97,22.77,148.82,-5.46,1.56,112.3,92.3,19.92
61,Kent Bazemore,None,None,GF,193cm,88kg,22,9,Old Dominion,Sr,United States,NCAA,CAREER,NCAA DI, ,140.0,102.0,26.3,3.69,8.25,.447,0.71,2.14,.334,2.03,3.49,.581,1.36,3.22,4.59,2.70,1.76,0.48,2.19,2.29,10.11,.510,.490,5.86,14.27,10.00,22.06,18.74,4.29,2.20,23.92,136.20,-2.01,1.23,101.8,89.6,18.56
61,JaMychal Green,None,None,PF,203cm,103kg,22,7,Alabama,Sr,United States,NCAA,CAREER,NCAA DI, ,123.0,114.0,27.1,4.99,9.63,.519,0.02,0.14,.176,3.46,4.86,.711,2.97,4.46,7.42,1.24,1.02,1.72,3.16,2.53,13.46,.564,.520,12.93,18.05,15.59,10.42,17.48,2.29,7.01,27.34,140.58,-6.54,1.40,108.5,90.8,24.14
61,Chris Johnson,None,None,SF,198cm,93kg,22,4,Dayton,Sr,United States,NCAA,CAREER,NCAA DI, ,138.0,93.0,24.9,3.39,7.93,.428,1.71,4.60,.372,2.14,2.58,.829,2.26,3.87,6.13,1.05,0.78,0.36,1.78,1.14,10.63,.581,.536,10.27,17.66,13.96,9.13,11.12,1.90,1.67,21.03,162.81,-1.85,1.34,121.9,94.8,20.77
61,Henry Sims,None,None,C,208cm,112kg,22,4,Georgetown,Sr,United States,NCAA,CAREER,NCAA DI, ,121.0,34.0,15.1,1.77,3.69,.480,0.02,0.14,.118,1.33,2.03,.654,0.93,2.24,3.17,1.39,0.34,0.78,1.73,1.30,4.88,.525,.482,8.18,16.99,12.92,18.21,21.81,1.39,5.64,21.16,125.19,-2.61,1.33,101.7,95.8,15.68
61,Jorge Gutierrez,None,None,PG,191cm,88kg,23,3,California,Sr,Mexico / United States,NCAA,CAREER,NCAA DI, ,129.0,80.0,26.6,3.20,7.44,.430,0.66,1.94,.340,2.50,3.40,.737,0.74,3.09,3.83,3.28,1.14,0.12,2.44,2.12,9.57,.528,.474,3.53,13.64,8.76,23.06,19.00,2.56,0.46,21.78,150.77,0.24,1.29,104.8,98.8,15.39
61,James Nunnally,None,None,F,201cm,100kg,21,3,UC Santa Barbara,Sr,United States,NCAA,CAREER,NCAA DI, ,123.0,92.0,29.4,4.54,9.76,.465,1.52,3.93,.386,3.11,3.96,.784,0.97,4.18,5.15,2.01,0.57,0.20,1.90,2.24,13.70,.588,.542,4.18,16.50,10.62,15.83,16.16,1.21,0.84,25.02,163.54,-3.25,1.40,111.2,100.2,18.68
61,Mike James,None,None,PG,185cm,86kg,21,2,Lamar,Sr,United States,NCAA,CAREER,NCAA DI, ,56.0,27.0,25.7,5.59,12.66,.441,1.32,3.89,.339,2.62,3.27,.803,0.80,2.04,2.84,1.91,1.38,0.12,1.91,1.89,15.12,.532,.494,3.32,8.53,5.90,16.55,11.75,3.23,0.49,28.85,158.42,-2.37,1.19,110.7,97.7,21.13
61,Scott Machado,None,None,G,185cm,91kg,22,2,Iona,Sr,United States / Brazil,NCAA,CAREER,NCAA DI, ,132.0,125.0,31.4,4.01,9.33,.429,0.93,2.73,.342,3.27,4.43,.738,0.80,3.06,3.86,6.64,1.45,0.13,2.39,3.33,12.22,.534,.479,2.97,11.50,7.22,41.52,22.53,2.73,0.46,23.86,150.95,3.54,1.31,106.9,98.0,17.91
61,Joshua Magette,None,None,PG,185cm,73kg,22,2,Alabama-Huntsville,Sr,United States,NCAA,CAREER,NCAA DII, ,33.0,33.0,34.0,4.21,8.55,.493,1.30,3.03,.430,2.94,3.67,.802,0.55,4.82,5.36,8.94,2.67,0.18,1.39,2.82,12.67,.616,.569,-,-,-,-,21.50,-,-,-,172.46,-,1.48,-,-,-
61,Toure' Murry,None,None,G,196cm,91kg,22,2,Wichita State,Sr,United States,NCAA,CAREER,NCAA DI, ,139.0,130.0,28.8,3.73,9.21,.405,0.97,3.12,.311,2.63,3.45,.762,1.09,3.41,4.50,3.08,1.29,0.31,1.71,2.43,11.07,.510,.458,4.78,14.15,9.59,21.84,18.31,2.82,1.23,24.41,147.90,-1.40,1.20,103.2,94.5,16.69
61,C.J. Williams,None,None,SG,196cm,106kg,22,2,NC State,Sr,United States,NCAA,CAREER,NCAA DI, ,128.0,64.0,21.5,2.45,5.31,.462,0.52,1.70,.307,0.64,0.88,.732,0.91,1.72,2.63,1.28,0.61,0.36,1.65,1.02,6.07,.530,.511,4.93,8.73,6.89,11.54,15.06,1.71,1.63,15.98,150.12,-0.77,1.14,106.5,104.1,12.30
61,DeQuan Jones,None,None,SF,203cm,100kg,22,1,Miami (FL),Sr,United States,NCAA,CAREER,NCAA DI, ,111.0,35.0,14.4,1.81,4.12,.440,0.09,0.53,.169,0.86,1.37,.632,0.84,1.60,2.44,0.48,0.47,0.46,1.21,1.11,4.58,.480,.451,6.85,12.54,9.76,6.69,18.86,2.01,3.62,20.70,124.09,-5.70,1.11,92.9,98.5,12.00
61,Nicolas Laprovittola,None,None,PG,193cm,82kg,22,1,Lanus (Argentina),1990 DOB,Argentina,INTERNATIONAL,2012-13 *,All Teams,All Leagues,64.0,62.0,29.9,3.36,7.36,.456,1.17,3.00,.391,2.62,3.22,.816,0.41,1.89,2.30,3.80,1.31,0.11,2.75,2.75,10.53,.600,.536,1.78,7.82,4.89,21.99,23.86,2.46,0.37,19.22,166.26,-0.75,1.43,106.6,102.6,13.23
61,Chris Smith,None,None,G,188cm,88kg,24,1,Louisville,Sr,United States,NCAA,CAREER,NCAA DI, ,125.0,100.0,27.8,3.59,8.93,.402,1.29,3.66,.352,2.01,2.86,.703,1.26,3.10,4.35,1.75,0.86,0.10,1.50,1.53,10.48,.509,.474,5.01,12.76,8.82,13.22,12.94,1.83,0.42,21.29,145.69,-1.31,1.17,105.9,98.6,14.75
61,Casper Ware,None,None,G,178cm,79kg,22,1,Long Beach State,Sr,United States,NCAA,CAREER,NCAA DI, ,131.0,128.0,33.0,4.47,11.13,.402,1.63,4.66,.349,3.47,4.44,.783,0.46,2.09,2.55,4.16,1.56,0.11,2.21,2.82,14.05,.531,.475,1.62,7.39,4.51,25.76,17.55,2.86,0.38,24.35,153.42,-0.13,1.26,105.8,101.1,16.28
61,Ryan Allen,None,None,G,191cm,91kg,23,0,Milwaukee,Sr,United States,NCAA,CAREER,NCAA DI, ,66.0,34.0,22.9,2.38,4.53,.525,0.14,0.48,.281,2.06,3.38,.610,1.41,2.45,3.86,0.95,1.08,0.85,2.50,1.59,6.95,.567,.540,7.22,12.83,10.00,9.20,20.59,2.86,3.93,17.66,141.62,-4.33,1.54,103.7,96.3,14.90
61,Oscar Bellfield,None,None,G,188cm,86kg,22,0,UNLV,Sr,United States,NCAA,CAREER,NCAA DI, ,134.0,123.0,30.2,3.18,8.17,.389,1.54,4.25,.363,1.25,1.65,.756,0.51,1.84,2.35,4.34,0.99,0.25,1.78,2.10,9.15,.511,.484,1.98,7.09,4.53,27.08,18.97,1.96,0.92,18.72,150.79,2.67,1.12,103.7,99.0,12.76
61,Micheal Eric,None,None,FC,211cm,109kg,24,0,Temple,Sr,Nigeria,NCAA,CAREER,NCAA DI, ,99.0,69.0,16.9,2.61,5.17,.504,0.00,0.00,.000,0.77,1.41,.543,1.55,3.07,4.62,0.65,0.27,1.10,1.94,1.15,5.98,.512,.504,10.95,20.74,15.96,7.97,16.46,1.00,6.81,21.98,104.68,-4.51,1.16,99.8,91.5,16.94
61,Kyle Fogg,None,None,PG,191cm,83kg,22,0,Arizona,Sr,United States,NCAA,CAREER,NCAA DI, ,139.0,119.0,27.5,2.90,7.06,.410,1.39,3.44,.404,2.44,3.17,.770,0.53,2.22,2.76,2.17,0.89,0.24,2.06,1.63,9.63,.562,.509,2.45,9.32,6.04,15.77,15.95,1.95,0.91,19.38,158.46,-0.66,1.36,111.1,103.0,14.18
61,Kenny Gabriel,None,None,PF,206cm,99kg,22,0,Auburn,Sr,United States,NCAA,CAREER,NCAA DI, ,83.0,51.0,23.7,3.41,7.99,.427,1.02,3.27,.314,1.27,1.88,.673,1.51,3.73,5.24,0.64,0.77,1.27,2.25,1.61,9.11,.513,.491,7.31,18.75,12.94,6.26,15.38,2.01,6.67,22.60,141.36,-5.19,1.14,98.5,96.1,16.29
61,Lance Goulbourne,None,None,GF,203cm,102kg,23,0,Vanderbilt,Sr,United States,NCAA,CAREER,NCAA DI, ,122.0,56.0,20.7,1.99,4.52,.440,0.44,1.48,.300,1.73,2.50,.692,1.40,3.70,5.11,0.90,0.71,0.56,1.76,1.39,6.16,.539,.489,8.27,19.38,14.16,8.27,19.61,2.04,2.72,17.47,143.20,-3.87,1.36,105.0,94.9,14.71
61,Eric Griffin,None,None,F,203cm,88kg,22,0,Campbell,Sr,United States,NCAA,CAREER,NCAA DI, ,60.0,53.0,29.2,5.22,9.33,.559,0.53,1.52,.352,3.50,5.95,.588,2.43,5.37,7.80,1.25,1.30,2.23,3.32,2.72,14.47,.595,.588,10.19,21.07,15.80,9.78,18.26,2.63,8.81,26.00,149.88,-6.50,1.55,107.5,97.2,23.75
61,Lazeric Jones,None,None,PG,183cm,84kg,21,0,UCLA,Sr,United States,NCAA,CAREER,NCAA DI, ,67.0,66.0,30.9,3.87,9.37,.412,1.27,3.46,.366,2.28,2.97,.769,0.49,2.30,2.79,3.87,1.40,0.33,2.31,2.30,11.28,.523,.480,1.96,8.54,5.36,25.15,17.57,2.75,1.08,21.90,154.76,0.93,1.20,105.2,98.9,15.34
61,Dominique Morrison,None,None,F,198cm,97kg,22,0,Oral Roberts,Sr,United States,NCAA,CAREER,NCAA DI, ,129.0,128.0,33.3,5.33,11.44,.465,1.26,3.29,.384,4.21,5.18,.813,1.09,3.32,4.41,1.91,0.74,0.40,2.71,1.60,16.12,.580,.521,3.98,12.11,8.04,12.26,10.30,1.36,1.27,23.72,166.28,-1.01,1.41,121.6,102.7,20.06
61,Greg Somogyi,None,None,C,218cm,109kg,22,0,UC Santa Barbara,Sr,Hungary,NCAA,CAREER,NCAA DI, ,122.0,21.0,12.2,1.45,2.94,.493,0.00,0.03,.000,0.58,1.06,.550,0.73,2.11,2.84,0.43,0.16,1.53,1.68,0.88,3.48,.506,.493,7.63,20.10,14.16,7.43,20.29,0.85,15.27,18.68,104.34,-5.14,1.18,93.2,92.1,14.95
61,Mitchell Watt,None,None,F,208cm,102kg,22,0,Buffalo,Sr,United States,NCAA,CAREER,NCAA DI, ,128.0,120.0,19.5,3.24,6.22,.521,0.09,0.27,.324,1.72,2.52,.681,1.48,2.92,4.41,1.25,0.55,1.52,2.48,1.75,8.29,.559,.528,8.95,17.29,13.16,14.03,19.09,1.72,8.58,23.57,152.60,-4.82,1.33,105.0,93.8,19.75
61,Wesley Witherspoon,None,None,GF,206cm,94kg,22,0,Memphis,Sr,United States,NCAA,CAREER,NCAA DI, ,121.0,45.0,21.0,2.61,5.58,.468,0.61,1.58,.387,2.37,3.28,.723,1.05,2.60,3.65,1.07,1.18,0.53,2.65,1.43,8.21,.575,.523,5.97,13.97,10.08,9.72,16.69,3.29,2.60,20.34,157.85,-3.38,1.47,111.0,92.0,17.19
61,Jonathon Simmons,None,None,G,198cm,88kg,22,4,Houston,Jr *,United States,NCAA,CAREER,NCAA DI, ,30.0,29.0,30.1,5.13,10.03,.512,1.07,2.77,.386,3.37,4.67,.721,1.40,3.57,4.97,2.17,0.70,0.37,2.47,3.37,14.70,.600,.565,5.58,13.06,9.48,14.90,21.56,1.38,1.17,26.08,161.86,-6.43,1.47,106.2,105.8,18.62
61,Hollis Thompson,None,None,SF,203cm,93kg,21,4,Georgetown,Jr *,United States,NCAA,CAREER,NCAA DI, ,99.0,57.0,24.6,3.11,6.52,.478,1.29,2.94,.440,1.16,1.71,.680,1.07,3.01,4.08,1.06,0.77,0.43,2.27,1.09,8.68,.592,.577,5.77,14.02,10.20,8.51,12.96,1.93,1.92,18.28,159.79,-1.65,1.33,116.9,98.5,16.29
61,Maalik Wayns,None,None,PG,188cm,84kg,21,2,Villanova,Jr *,United States / Belarus,NCAA,CAREER,NCAA DI, ,95.0,56.0,25.9,3.99,9.67,.412,0.99,3.40,.291,3.57,4.20,.850,0.49,2.16,2.65,3.40,0.92,0.03,2.31,2.34,12.54,.537,.464,2.18,9.12,5.73,27.78,16.69,2.06,0.14,26.55,155.31,-0.27,1.30,109.9,103.9,17.63
61,Drew Gordon,None,None,PF,206cm,111kg,21,1,New Mexico,Sr,United States,NCAA,CAREER,NCAA DI, ,101.0,60.0,23.0,4.03,7.45,.541,0.02,0.04,.500,1.89,2.74,.690,2.53,5.47,8.00,0.70,0.71,0.95,2.39,1.70,9.97,.570,.543,13.66,28.38,21.15,6.53,16.29,1.88,4.66,23.54,173.08,-5.56,1.34,110.1,88.9,21.94
61,Kevin Jones,None,None,PF,203cm,118kg,22,1,West Virginia,Sr,United States,NCAA,CAREER,NCAA DI, ,139.0,104.0,31.3,5.24,10.60,.494,0.79,2.51,.315,1.84,2.72,.677,3.24,4.31,7.55,1.01,0.60,0.78,1.62,0.98,13.11,.551,.531,11.58,16.18,13.83,7.27,7.60,1.20,2.75,20.80,148.63,-1.02,1.24,122.8,98.0,21.11
61,Tony Mitchell,None,None,SF,198cm,98kg,22,1,Alabama,Jr *,United States,NCAA,CAREER,NCAA DI, ,89.0,71.0,28.6,5.15,10.44,.493,0.78,2.57,.301,1.61,2.55,.630,2.26,4.43,6.69,1.19,1.36,1.04,2.33,1.40,12.67,.544,.530,9.32,17.31,13.42,9.44,10.76,2.92,4.02,23.68,142.43,-2.24,1.21,112.8,89.8,22.36
61,Dee Bost,None,None,G,188cm,80kg,22,0,Mississippi State,Sr,United States / Bulgaria,NCAA,CAREER,NCAA DI, ,122.0,122.0,34.4,4.07,10.61,.384,1.93,5.65,.343,3.34,4.57,.731,0.59,3.16,3.75,5.18,1.58,0.16,2.15,3.11,13.42,.525,.475,1.96,9.60,5.95,30.25,19.55,2.73,0.46,23.61,145.70,1.02,1.26,105.2,99.8,16.36
61,Carlon Brown,None,None,SG,196cm,98kg,22,0,Colorado,Sr,United States,NCAA,CAREER,NCAA DI, ,134.0,110.0,26.2,3.57,8.09,.441,0.67,2.19,.306,1.96,2.76,.708,0.90,3.16,4.07,2.29,0.69,0.22,1.78,2.01,9.76,.519,.482,4.46,13.95,9.48,19.47,17.65,1.62,0.91,23.57,145.52,-1.97,1.21,100.7,98.9,14.86
61,D'Aundray Brown,None,None,G,193cm,88kg,23,0,Cleveland State,Sr,United States,NCAA,CAREER,NCAA DI, ,115.0,90.0,28.4,3.10,6.35,.488,0.30,0.90,.337,1.30,1.69,.768,2.09,2.75,4.83,1.86,1.82,0.27,2.39,1.46,7.79,.545,.512,9.08,11.94,10.51,13.29,16.97,4.24,1.20,15.79,159.23,-0.84,1.23,111.0,92.8,16.64
61,Olek Czyz,None,None,F,203cm,109kg,22,0,Nevada,Sr,Poland,NCAA,CAREER,NCAA DI, ,77.0,58.0,23.1,3.75,7.08,.530,0.57,1.57,.364,2.18,3.57,.611,1.61,3.36,4.97,0.91,0.51,0.22,1.69,1.87,10.26,.585,.571,8.04,16.10,12.16,8.41,17.57,1.30,0.98,22.84,150.48,-5.51,1.45,108.9,96.9,17.77
61,Tu Holloway,None,None,PG,183cm,86kg,22,0,Xavier,Sr,United States,NCAA,CAREER,NCAA DI, ,134.0,114.0,32.0,3.72,9.02,.413,1.19,3.54,.337,5.04,5.91,.852,0.32,2.89,3.21,4.11,1.22,0.08,1.97,2.57,13.68,.578,.479,1.21,9.91,5.76,25.20,17.87,2.26,0.27,22.98,160.19,0.53,1.52,115.0,98.4,18.24
61,Reeves Nelson,None,None,PF,203cm,107kg,20,0,Zalgiris (Lithuania),1991 DOB *,United States,NCAA,CAREER,NCAA DI, ,68.0,49.0,27.0,4.56,7.81,.584,0.10,0.41,.250,2.84,4.94,.574,2.04,5.21,7.25,1.07,0.54,0.56,2.18,1.97,12.06,.594,.590,9.41,22.59,16.19,9.15,16.25,1.22,2.09,23.48,140.82,-4.82,1.54,110.2,99.0,20.18
61,Josh Owens,None,None,PF,203cm,109kg,23,0,Stanford,Sr,United States,NCAA,CAREER,NCAA DI, ,121.0,95.0,22.0,3.60,6.27,.574,0.00,0.00,.000,1.50,2.42,.621,1.81,2.85,4.66,0.83,0.84,0.70,2.25,1.30,8.71,.587,.574,9.73,15.47,12.58,8.12,14.88,2.30,3.38,20.20,119.56,-3.48,1.39,113.6,93.8,19.39
61,John Shurna,None,None,F,206cm,98kg,22,0,Northwestern,Sr,United States,NCAA,CAREER,NCAA DI, ,130.0,128.0,31.8,5.42,11.60,.467,2.11,5.25,.402,2.74,3.68,.745,1.32,3.64,4.95,2.26,0.93,1.03,1.72,1.66,15.68,.587,.558,5.18,14.65,9.86,17.15,11.07,1.89,4.00,26.60,161.34,-0.53,1.35,115.8,104.0,22.94
61,Hank Thorns,None,None,PG,175cm,75kg,23,0,Texas Christian,Sr,United States,NCAA,CAREER,NCAA DI, ,130.0,78.0,27.0,2.68,7.50,.357,1.09,3.33,.328,1.47,2.03,.723,0.56,1.93,2.49,4.32,1.06,0.03,1.90,2.24,7.92,.468,.430,2.41,8.56,5.44,31.38,20.91,2.32,0.13,20.09,140.84,2.40,1.06,97.1,103.3,11.85
61,Charlie Westbrook,None,None,G,193cm,89kg,22,0,South Dakota,Sr,United States,NCAA,CAREER,NCAA DI, ,58.0,57.0,30.4,6.38,13.52,.472,0.98,2.84,.345,3.66,5.03,.726,0.91,3.43,4.34,1.69,1.41,0.72,2.34,2.41,17.40,.547,.508,3.48,12.54,8.10,12.04,13.17,2.83,2.37,29.64,154.34,-4.21,1.29,105.2,102.1,21.05
