me,iteration,criterion,splitter,max depth,min_samp_split,min_samp_leaf,min_weight_frac_leaf,min_impurity_dec
9.71218487394958,2,absolute_error,best,8,4,4,0.01,0
9.71311974789916,2,absolute_error,best,16,2,2,0.01,0.01
9.71311974789916,2,absolute_error,best,48,4,2,0.01,0.01
9.71456932773109,2,absolute_error,best,32,6,4,0.01,0.001
9.71490546218487,2,absolute_error,best,48,4,4,0.01,0.01
9.71490546218487,2,absolute_error,best,48,6,4,0.01,0.01
9.71492647058824,2,absolute_error,best,48,2,1,0.01,0.001
9.71535714285714,2,absolute_error,best,8,4,4,0.01,0.001
9.71561974789916,2,absolute_error,best,48,4,1,0.01,0.01
9.7159768907563,2,absolute_error,best,16,2,1,0.01,0.01
9.71633403361344,1,absolute_error,best,32,4,2,0.01,0.001
9.71811974789916,2,absolute_error,best,48,2,4,0.01,0.01
9.7184768907563,1,absolute_error,best,24,2,4,0.01,0.01
9.71849789915966,2,absolute_error,best,16,4,4,0.01,0.001
9.71883403361345,1,absolute_error,best,8,4,1,0.01,0.01
9.71883403361345,1,absolute_error,best,8,4,2,0.01,0.01
9.71890756302521,2,absolute_error,best,8,2,2,0.01,0.01
9.71926470588235,2,absolute_error,best,8,4,4,0.01,0.01
9.72061974789916,2,absolute_error,best,32,4,4,0.01,0.01
9.72064075630252,2,absolute_error,best,16,4,2,0.01,0.001
9.72169117647059,1,absolute_error,best,32,4,1,0.01,0.001
9.72169117647059,2,absolute_error,best,24,2,4,0.01,0.01
9.72240546218487,1,absolute_error,best,48,6,1,0.01,0.01
9.72285714285714,2,absolute_error,best,8,6,1,0.01,0.001
9.7234768907563,2,absolute_error,best,24,4,2,0.01,0.01
9.72419117647059,1,absolute_error,best,32,6,1,0.01,0.001
9.72456932773109,2,absolute_error,best,16,2,4,0.01,0.001
9.72490546218488,1,absolute_error,best,8,2,1,0.01,0
9.72526260504202,1,absolute_error,best,8,2,1,0.01,0.001
9.72561974789916,2,absolute_error,best,24,6,4,0.01,0.01
9.72633403361345,1,absolute_error,best,8,4,2,0.01,0.001
9.72704831932773,1,absolute_error,best,48,2,2,0.01,0.001
9.72783613445378,2,absolute_error,best,8,4,2,0.01,0.01
9.72789915966387,2,absolute_error,best,8,2,1,0.01,0
9.72814075630252,2,absolute_error,best,48,2,2,0.01,0.001
9.72919117647059,1,absolute_error,best,8,6,4,0.01,0
9.73061974789916,1,absolute_error,best,24,6,2,0.01,0.01
9.7309768907563,2,absolute_error,best,24,4,1,0.01,0.01
9.73133403361345,1,absolute_error,best,16,4,4,0.01,0.01
9.73133403361345,2,absolute_error,best,48,2,2,0.01,0.01
9.73135504201681,2,absolute_error,best,16,4,1,0.01,0.001
9.73171218487395,2,absolute_error,best,16,6,2,0.01,0.001
9.73240546218488,2,absolute_error,best,32,6,4,0.01,0.01
9.73278361344538,2,absolute_error,best,24,4,2,0.01,0.001
9.73311974789916,2,absolute_error,best,32,2,2,0.01,0.01
9.7334768907563,1,absolute_error,best,32,6,2,0.01,0.001
9.73385504201681,2,absolute_error,best,32,4,4,0.01,0.001
9.73497899159664,2,absolute_error,best,8,6,1,0.01,0.01
9.735,2,absolute_error,best,8,6,4,0.01,0.001
9.73561974789916,2,absolute_error,best,16,6,2,0.01,0.01
9.73564075630252,2,absolute_error,best,24,6,4,0.01,0.001
9.73564075630252,2,absolute_error,best,24,6,2,0.01,0.001
9.73633403361344,2,absolute_error,best,16,6,1,0.01,0.01
9.73635504201681,2,absolute_error,best,24,6,1,0.01,0.001
9.73669117647059,1,absolute_error,best,24,2,4,0.01,0.001
9.73669117647059,2,absolute_error,best,48,6,1,0.01,0.01
9.73919117647059,1,absolute_error,best,24,6,4,0.01,0.001
9.73992647058823,2,absolute_error,best,32,2,2,0.01,0.001
9.74039915966387,2,absolute_error,best,8,6,1,0.01,0
9.74240546218487,1,absolute_error,best,8,4,4,0.01,0
9.74278361344538,2,absolute_error,best,24,2,2,0.01,0.001
9.74314075630252,2,absolute_error,best,32,4,1,0.01,0.001
9.74385504201681,2,absolute_error,best,16,6,1,0.01,0.001
9.74419117647059,1,absolute_error,best,48,4,2,0.01,0.001
9.74454831932773,2,absolute_error,best,48,6,2,0.01,0.01
