Pick,Name,Team,Draft-Trades,Pos,HT,WT,Age,YOS,Pre-Draft Team,Class,Nationality,League,Season,School,Class,GP,GS,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,TRB,AST,STL,BLK,PF,TOV,PTS,TS%,eFG%,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,Total S %,PPR,PPS,ORtg,DRtg,PER
11,Domantas Sabonis,ORL,ORL to OKC,PF,211cm,109kg,20,5,Gonzaga,So *,United States / Lithuania,NCAA,CAREER,NCAA DI, ,74.0,32.0,26.6,5.19,8.22,.632,0.07,0.19,.357,3.09,4.24,.729,2.59,6.78,9.38,1.31,0.53,0.58,2.96,2.05,13.54,.662,.636,12.47,26.44,20.18,9.64,16.72,1.18,2.20,24.05,171.80,-4.49,1.65,124.1,90.1,25.95
12,Taurean Prince,UTH,UTH to ATL,F,201cm,99kg,22,5,Baylor,Sr,United States,NCAA,CAREER,NCAA DI, ,129.0,42.0,20.2,3.63,7.88,.460,1.01,2.68,.376,1.98,2.75,.718,1.57,2.67,4.24,1.12,0.94,0.49,2.10,1.71,10.24,.557,.524,9.17,15.25,12.25,11.99,15.71,2.84,2.64,27.31,155.42,-4.88,1.30,109.8,97.8,20.75
13,George Papagiannis,PHX,PHX to SAC,C,218cm,125kg,18,2,Panathinaikos (Greece),1997 DOB *,Greece,GLEAGUE,CAREER, ,None,33.0,30.0,30.6,6.09,11.91,.511,0.09,0.21,.429,1.33,1.73,.772,2.52,6.06,8.58,0.70,0.48,2.21,3.09,2.06,13.61,.537,.515,8.86,21.76,15.25,3.86,13.99,0.75,6.56,20.44,171.20,-5.18,1.14,101.0,106.2,15.15
14,Denzel Valentine,CHI,,F,196cm,99kg,22,5,Michigan State,Sr,United States,NCAA,CAREER,NCAA DI, ,144.0,117.0,29.0,4.02,9.08,.443,1.84,4.51,.408,1.54,1.98,.779,1.09,4.85,5.94,4.44,0.92,0.28,2.10,2.20,11.42,.570,.544,4.63,18.59,11.97,29.59,18.01,1.94,1.08,22.08,162.99,2.69,1.26,114.8,94.9,19.77
15,Juancho Hernangomez,DEN,,F,206cm,97kg,20,5,Movistar Estudiantes (Spain),1995 DOB *,Spain,GLEAGUE,CAREER, ,None,1.0,0.0,25.9,6.00,14.00,.429,1.00,5.00,.200,4.00,7.00,.571,3.00,8.00,11.00,1.00,0.00,2.00,5.00,4.00,17.00,.498,.464,13.19,28.96,21.84,4.11,18.98,0.00,5.06,29.12,120.00,-10.79,1.21,93.7,102.5,12.58
16,Guerschon Yabusele,BOS,,PF,203cm,118kg,20,2,Rouen Metropole Basket (France),1995 DOB *,France,GLEAGUE,CAREER, ,None,17.0,15.0,33.9,7.00,14.12,.496,2.18,5.88,.370,3.65,4.47,.816,2.41,5.47,7.88,2.47,1.12,1.41,3.24,3.18,19.82,.616,.573,7.64,17.87,12.68,12.84,16.49,1.61,3.53,24.38,168.16,-4.64,1.40,112.6,105.2,19.89
17,Wade Baldwin IV,MEM,,G,193cm,100kg,20,3,Vanderbilt,So *,United States,NCAA,CAREER,NCAA DI, ,68.0,54.0,29.6,3.46,8.00,.432,1.24,2.93,.422,3.53,4.41,.800,0.44,3.63,4.07,4.79,1.32,0.22,2.51,2.32,11.68,.578,.509,1.87,12.96,7.88,32.45,18.71,2.70,0.76,22.17,165.41,3.00,1.46,115.1,97.0,19.05
18,Henry Ellenson,DET,,PF,208cm,109kg,19,5,Marquette,Fr *,United States,NCAA,CAREER,NCAA DI, ,33.0,33.0,33.5,5.88,13.18,.446,0.91,3.15,.288,4.33,5.79,.749,2.15,7.58,9.73,1.79,0.85,1.48,2.55,2.36,17.00,.534,.480,7.76,24.13,16.45,11.00,12.92,1.40,4.38,26.71,148.31,-3.35,1.29,106.3,97.4,20.09
19,Malik Beasley,DEN,,SG,193cm,89kg,19,5,Florida State,Fr *,United States,NCAA,CAREER,NCAA DI, ,34.0,33.0,29.8,5.44,11.56,.471,1.62,4.18,.387,3.06,3.76,.812,1.29,4.00,5.29,1.50,0.94,0.18,2.21,1.74,15.56,.583,.541,4.99,15.13,10.11,9.82,11.51,1.76,0.65,24.23,167.06,-2.38,1.35,117.5,104.0,19.81
20,Caris LeVert,IND,IND to BRK,G,198cm,93kg,21,5,Michigan,Sr,United States,NCAA,CAREER,NCAA DI, ,103.0,70.0,26.4,3.55,8.18,.434,1.30,3.24,.401,1.98,2.57,.770,0.38,3.16,3.53,2.67,0.94,0.21,1.47,1.32,10.39,.552,.514,1.81,14.58,8.30,19.65,12.31,2.24,0.89,22.29,160.52,1.83,1.27,113.9,98.9,18.45
21,DeAndre' Bembry,ATL,,GF,196cm,95kg,21,5,Saint Joseph's,Jr *,United States,NCAA,CAREER,NCAA DI, ,101.0,100.0,36.1,5.74,12.57,.457,1.19,3.81,.312,3.07,4.89,.628,1.36,5.30,6.65,3.60,1.42,0.77,2.47,2.46,15.74,.528,.504,4.35,16.24,10.43,21.89,14.15,2.35,2.34,24.91,139.59,-0.15,1.25,106.3,98.0,18.93
22,Malachi Richardson,CHA,CHA to SAC,SF,198cm,93kg,20,3,Syracuse,Fr *,United States,NCAA,CAREER,NCAA DI, ,37.0,37.0,34.4,4.11,11.14,.369,2.14,6.05,.353,3.05,4.24,.720,0.51,3.76,4.27,2.08,1.16,0.27,2.46,2.14,13.41,.510,.465,1.68,12.06,6.92,12.83,13.97,2.08,0.92,23.16,144.14,-2.33,1.20,102.6,101.3,13.51
23,Ante Zizic,BOS,,C,211cm,115kg,19,3,KK Cibona (Croatia),1997 DOB *,Croatia,GLEAGUE,CAREER, ,None,18.0,11.0,25.4,6.33,11.00,.576,0.00,0.06,.000,3.67,4.72,.776,2.67,6.72,9.39,1.39,0.61,1.17,2.61,2.28,16.33,.624,.576,11.53,28.35,20.05,9.98,14.83,1.17,4.08,25.77,135.22,-5.43,1.48,115.5,102.4,23.74
24,Timothe Luwawu-Cabarrot,PHL,,F,201cm,95kg,21,5,KK Mega Bemax (Serbia),1995 DOB *,France,GLEAGUE,CAREER, ,None,13.0,13.0,31.8,6.46,14.62,.442,1.77,5.85,.303,1.85,2.46,.750,0.31,5.31,5.62,2.92,1.23,0.46,3.08,3.15,17.38,.554,.503,1.04,16.67,9.13,14.27,16.73,1.78,1.15,24.83,149.47,-3.68,1.19,94.0,109.9,12.06
25,Brice Johnson,LAC,,PF,208cm,104kg,21,2,North Carolina,Sr,United States,NCAA,CAREER,NCAA DI, ,148.0,80.0,21.0,4.82,8.40,.574,0.00,0.01,.000,1.95,2.75,.708,2.12,4.87,6.99,0.90,0.75,1.10,2.49,1.26,11.59,.597,.574,11.20,24.82,18.13,8.67,11.52,2.04,5.50,24.85,128.20,-3.03,1.38,120.2,92.0,26.49
26,Furkan Korkmaz,PHL,,SG,201cm,95kg,18,4,Anadolu Efes (Turkey),1997 DOB *,Turkey,GLEAGUE,CAREER, ,None,9.0,9.0,31.9,5.44,15.56,.350,1.56,8.00,.194,3.00,3.78,.794,0.89,4.22,5.11,3.22,1.33,0.56,2.00,2.11,15.44,.449,.400,2.69,13.68,8.00,17.66,10.92,1.98,1.30,25.05,133.86,0.11,0.99,91.5,107.2,11.81
27,Pascal Siakam,TOR,,F,206cm,104kg,22,5,New Mexico State,So *,Cameroon,NCAA,CAREER,NCAA DI, ,68.0,61.0,32.7,6.47,11.75,.551,0.04,0.25,.176,3.54,4.99,.711,3.57,6.09,9.66,1.50,0.91,2.00,2.65,1.93,16.53,.585,.553,13.52,21.12,17.48,10.96,12.01,1.72,6.21,25.47,143.81,-2.95,1.41,121.0,88.4,27.26
28,Skal Labissiere,PHX,PHX to SAC,C,211cm,107kg,20,4,Kentucky,Fr *,Haiti,NCAA,CAREER,NCAA DI, ,36.0,18.0,15.8,2.72,5.28,.516,0.00,0.06,.000,1.14,1.72,.661,0.97,2.17,3.14,0.31,0.25,1.64,3.00,0.92,6.58,.540,.516,7.24,14.59,11.10,3.64,13.07,0.93,10.33,22.07,117.71,-4.61,1.25,108.0,95.7,17.48
29,Dejounte Murray,SAN,,SG,196cm,82kg,19,5,Washington,Fr *,United States,NCAA,CAREER,NCAA DI, ,34.0,34.0,33.5,5.94,14.29,.416,1.00,3.47,.288,3.24,4.88,.663,1.41,4.56,5.97,4.47,1.82,0.29,2.65,3.24,16.12,.485,.451,4.11,13.72,8.84,25.73,16.30,2.80,0.79,25.86,136.64,-0.68,1.13,99.9,100.8,16.22
30,Damian Jones,GOS,,PF,213cm,111kg,20,5,Vanderbilt,Jr *,United States,NCAA,CAREER,NCAA DI, ,99.0,95.0,27.2,5.12,9.05,.566,0.01,0.08,.125,2.99,5.29,.565,2.10,4.27,6.37,0.73,0.37,1.69,3.04,1.99,13.24,.573,.566,9.61,16.67,13.42,6.57,14.68,0.84,6.37,26.49,125.57,-5.68,1.46,107.2,96.8,20.35
31,Deyonta Davis,BOS,BOS to MEM,PF,206cm,108kg,19,3,Michigan State,Fr *,United States,NCAA,CAREER,NCAA DI, ,35.0,16.0,18.6,3.40,5.69,.598,0.00,0.00,.000,0.66,1.09,.605,2.06,3.40,5.46,0.74,0.26,1.83,2.29,0.86,7.46,.601,.598,13.56,19.05,16.53,7.51,12.14,0.83,10.16,19.21,120.33,-2.02,1.31,121.4,90.0,22.27
32,Ivica Zubac,LAL,,C,213cm,109kg,19,5,KK Mega Bemax (Serbia),1997 DOB *,Bosnia and Herzegovina / Croatia,GLEAGUE,CAREER, ,None,28.0,28.0,30.0,8.11,13.54,.599,0.18,0.61,.294,2.36,2.79,.846,2.71,6.68,9.39,1.43,0.29,1.61,2.71,2.75,18.75,.635,.606,10.03,23.47,16.92,7.36,15.70,0.44,4.44,23.65,173.92,-5.79,1.39,115.2,110.0,20.76
33,Cheick Diallo,LAC,LAC to NOP,PF,203cm,99kg,19,4,Kansas,Fr *,Mali,NCAA,CAREER,NCAA DI, ,27.0,1.0,7.5,1.22,2.15,.569,0.00,0.00,.000,0.56,1.00,.556,0.63,1.89,2.52,0.04,0.26,0.85,1.41,0.63,3.00,.572,.569,10.43,26.81,19.25,0.92,19.36,2.01,11.78,21.82,112.45,-8.15,1.40,101.6,85.0,19.76
34,Tyler Ulis,PHX,,PG,178cm,68kg,20,3,Kentucky,So *,United States,NCAA,CAREER,NCAA DI, ,72.0,35.0,30.1,3.60,8.43,.427,1.22,3.29,.371,2.90,3.43,.846,0.49,1.90,2.39,5.29,1.22,0.08,1.67,1.49,11.32,.563,.499,1.97,6.82,4.54,31.74,12.87,2.45,0.28,19.55,164.42,6.93,1.34,127.2,95.9,19.65
35,Rade Zagorac,BOS,BOS to MEM,SF,206cm,93kg,20,0,KK Mega Bemax (Serbia),1995 DOB *,Serbia,INTERNATIONAL,2016-17 *,All Teams,All Leagues,38.0,34.0,29.4,4.79,11.29,.424,1.37,4.11,.333,3.29,4.24,.776,2.03,4.32,6.34,2.47,1.53,0.68,3.03,2.32,14.24,.541,.485,7.78,18.72,12.92,15.99,14.97,2.72,2.29,23.18,153.40,-2.21,1.26,108.7,103.4,16.58
36,Malcolm Brogdon,MIL,,SG,196cm,104kg,23,5,Virginia,Sr,United States,NCAA,CAREER,NCAA DI, ,136.0,109.0,30.6,4.42,10.29,.430,1.36,3.73,.365,3.10,3.54,.876,0.60,3.54,4.15,2.46,0.86,0.23,1.84,1.52,13.30,.556,.496,2.63,14.17,8.65,17.82,11.28,1.86,0.92,25.28,167.00,0.44,1.29,114.9,92.2,19.98
37,Chinanu Onuaku,HOU,,C,206cm,113kg,19,2,Louisville,So *,United States,NCAA,CAREER,NCAA DI, ,66.0,55.0,21.0,2.76,4.45,.619,0.00,0.02,.000,0.71,1.30,.547,2.42,3.98,6.41,1.06,0.76,1.58,2.65,1.65,6.23,.614,.619,12.91,21.44,17.15,9.74,24.56,2.19,8.46,16.19,116.56,-4.60,1.40,109.1,85.5,19.70
38,Patrick McCaw,MIL,MIL to GOS,G,201cm,84kg,20,5,UNLV,So *,United States,NCAA,CAREER,NCAA DI, ,65.0,48.0,31.7,4.20,9.57,.439,1.92,5.25,.367,1.88,2.49,.753,0.94,3.26,4.20,3.29,1.98,0.35,1.88,1.92,12.20,.567,.539,3.32,10.83,7.19,20.83,15.17,3.59,1.10,20.03,155.86,0.83,1.27,111.3,96.4,17.98
39,David Michineau,NOP,NOP to LAC,PG,193cm,82kg,22,0,Chalon-Sur-Saone (France),1994 DOB,France,INTERNATIONAL,2015-16 *,All Teams,All Leagues,58.0,5.0,14.3,2.21,5.26,.420,0.36,1.34,.269,1.05,1.43,.735,0.45,0.74,1.19,1.93,0.83,0.02,1.78,0.91,5.83,.495,.454,4.00,6.66,5.32,21.43,13.43,3.24,0.12,22.63,142.38,2.71,1.11,107.7,113.7,13.80
40,Diamond Stone,NOP,NOP to LAC,C,211cm,116kg,19,1,Maryland,Fr *,United States,NCAA,CAREER,NCAA DI, ,35.0,22.0,22.6,4.77,8.40,.568,0.00,0.00,.000,2.91,3.83,.761,2.20,3.17,5.37,0.43,0.51,1.60,2.26,1.51,12.46,.610,.568,12.99,15.10,14.16,4.27,12.91,1.36,7.32,27.29,132.92,-5.64,1.48,118.8,97.2,25.60
41,Stephen Zimmerman,ORL,,C,211cm,109kg,19,1,UNLV,Fr *,United States,NCAA,CAREER,NCAA DI, ,26.0,24.0,26.2,3.92,8.23,.477,0.19,0.65,.294,2.42,3.88,.624,2.15,6.58,8.73,0.85,0.54,1.96,3.04,2.08,10.46,.519,.488,8.85,27.00,17.93,6.56,17.09,1.12,7.38,22.16,139.45,-5.49,1.27,98.7,91.5,17.11
42,Isaiah Whitehead,UTH,UTH to BRK,SG,193cm,97kg,21,3,Seton Hall,So *,United States,NCAA,CAREER,NCAA DI, ,56.0,51.0,30.5,5.09,13.57,.375,2.09,5.82,.359,3.50,4.62,.757,0.71,2.98,3.70,4.48,1.25,1.12,2.34,3.43,15.77,.500,.452,2.57,10.50,6.58,31.75,17.86,2.36,3.74,30.79,149.07,-1.40,1.16,100.6,98.1,18.08
43,Zhou Qi,HOU,,C,216cm,95kg,20,2,Xinjiang Guanghui (China),1996 DOB *,China,GLEAGUE,CAREER, ,None,31.0,26.0,26.3,4.35,8.48,.513,1.26,3.68,.342,1.26,2.48,.506,2.03,4.94,6.97,1.35,0.61,2.26,3.00,2.13,11.23,.586,.587,8.63,20.50,14.63,6.95,18.19,1.08,7.43,17.88,136.19,-4.57,1.32,107.4,108.0,15.01
44,Isaia Cordinier,ATL,ATL to BRK,G,196cm,89kg,19,0,Denain ASC Voltaire (France),1996 DOB *,France,INTERNATIONAL,2015-16,Denain ASC Voltaire,LNB Pro B,32.0,18.0,23.4,3.53,7.62,.463,1.25,3.09,.404,2.53,3.25,.779,0.72,2.91,3.62,2.00,1.19,0.53,3.06,2.38,10.84,.599,.545,3.79,15.24,9.53,17.85,20.78,2.84,2.04,23.98,164.60,-4.54,1.42,105.0,103.8,17.41
45,Demetrius Jackson,BOS,,G,185cm,91kg,21,3,Notre Dame,Jr *,United States,NCAA,CAREER,NCAA DI, ,103.0,88.0,31.5,4.03,8.62,.467,1.29,3.39,.381,2.34,2.99,.782,0.87,2.25,3.13,3.25,1.11,0.22,1.91,1.65,11.69,.582,.542,3.56,8.28,6.04,19.10,14.12,2.19,0.74,20.07,163.09,1.72,1.36,118.8,108.3,17.49
46,A.J. Hammons,DAL,,C,213cm,113kg,23,2,Purdue,Sr,United States,NCAA,CAREER,NCAA DI, ,132.0,95.0,24.2,4.64,8.63,.538,0.05,0.17,.261,2.73,3.96,.690,2.39,4.66,7.05,0.79,0.38,2.60,2.46,2.05,12.07,.574,.541,11.34,21.23,16.39,7.44,16.34,0.94,11.13,26.17,148.93,-6.35,1.40,108.7,92.5,23.91
47,Jake Layman,ORL,ORL to POR,SF,203cm,96kg,22,5,Maryland,Sr,United States,NCAA,CAREER,NCAA DI, ,141.0,115.0,28.1,3.42,7.68,.445,1.40,3.88,.362,1.94,2.56,.759,1.12,3.66,4.78,1.11,0.87,0.79,1.93,1.44,10.18,.572,.536,4.95,14.00,9.80,7.96,13.93,1.87,3.01,19.09,156.60,-2.52,1.33,112.7,97.0,16.33
48,Paul Zipser,CHI,,F,203cm,103kg,22,2,FC Bayern Munich U18 (Germany),1994 DOB,Germany,GLEAGUE,CAREER, ,None,5.0,5.0,36.6,5.40,13.40,.403,1.60,4.60,.348,4.00,4.60,.870,2.40,6.00,8.40,2.80,0.40,1.20,3.20,3.80,16.40,.532,.463,7.12,18.30,12.63,11.65,19.77,0.53,2.41,22.43,162.04,-5.47,1.22,100.2,103.6,12.40
49,Michael Patrick Gbinije,DET,,SF,198cm,91kg,24,1,Syracuse,Sr,United States / Nigeria,NCAA,CAREER,NCAA DI, ,119.0,61.0,25.7,3.44,7.56,.454,1.34,3.45,.387,1.68,2.63,.639,0.85,2.32,3.17,2.63,1.30,0.27,2.16,1.63,9.89,.561,.543,3.78,10.32,7.05,21.43,15.61,3.13,1.22,21.06,148.03,0.50,1.31,112.3,98.1,18.01
50,Georges Niang,IND,,F,201cm,107kg,23,5,Iowa State,Sr,United States,NCAA,CAREER,NCAA DI, ,138.0,126.0,29.8,6.15,12.30,.500,1.36,3.64,.375,2.48,3.25,.763,1.17,4.00,5.17,3.05,0.67,0.49,3.06,2.30,16.14,.583,.556,4.62,14.26,9.68,20.14,14.27,1.26,1.62,26.89,163.82,-0.86,1.31,113.3,102.2,20.46
51,Ben Bentil,BOS,,F,206cm,107kg,21,1,Providence,So *,Ghana / United States,NCAA,CAREER,NCAA DI, ,69.0,57.0,27.9,4.65,10.22,.455,0.88,2.72,.324,3.64,4.78,.761,2.51,3.78,6.29,0.88,0.57,0.70,2.70,1.55,13.83,.554,.499,10.06,15.81,12.88,7.08,11.05,1.19,2.74,25.34,154.04,-3.42,1.35,113.8,100.1,19.87
52,Joel Bolomboy,UTH,,FC,206cm,107kg,22,2,Weber State,Sr,United States / Russia,NCAA,CAREER,NCAA DI, ,130.0,91.0,28.8,3.78,7.16,.528,0.28,0.75,.371,3.57,5.01,.713,3.17,6.92,10.09,0.72,0.55,1.38,2.34,2.00,11.42,.598,.548,14.49,27.09,21.28,5.29,17.33,1.17,4.55,21.48,161.23,-5.37,1.59,115.7,93.3,21.81
53,Petr Cornelie,DEN,,C,211cm,100kg,20,0,Le Mans Sarthe Basket (France),1995 DOB *,France,GLEAGUE,CAREER, ,None,3.0,3.0,34.0,6.00,15.67,.383,1.00,6.67,.150,2.00,3.33,.600,3.33,11.00,14.33,3.67,0.00,1.67,3.00,3.33,16.33,.477,.415,9.87,33.76,21.60,19.27,16.29,0.00,4.06,26.21,113.30,-2.70,1.04,92.9,112.9,14.56
54,Kay Felder,ATL,ATL to CLE,PG,175cm,80kg,21,2,Oakland,Jr *,United States,NCAA,CAREER,NCAA DI, ,101.0,101.0,35.9,5.49,12.87,.426,1.42,4.11,.345,5.09,6.19,.822,0.66,3.65,4.32,7.80,1.62,0.19,2.84,3.47,17.48,.553,.481,2.11,11.84,6.94,43.28,17.98,2.58,0.57,26.72,159.31,4.64,1.36,113.8,108.2,20.86
55,Marcus Paige,BRK,BRK to UTH,G,183cm,74kg,22,1,North Carolina,Sr,United States,NCAA,CAREER,NCAA DI, ,141.0,139.0,32.4,4.25,10.43,.407,2.12,5.66,.375,2.46,2.91,.844,0.39,2.44,2.83,4.27,1.43,0.25,1.72,1.94,13.08,.553,.509,1.33,8.07,4.75,22.31,14.12,2.53,0.80,20.20,162.62,2.67,1.25,116.8,101.4,16.95
56,Daniel Hamilton,DEN,DEN to OKC,SG,201cm,88kg,20,2,Connecticut,So *,United States,NCAA,CAREER,NCAA DI, ,71.0,71.0,31.7,4.20,10.94,.384,1.31,3.89,.337,2.00,2.59,.772,0.99,7.30,8.28,4.20,1.00,0.39,2.14,2.34,11.70,.481,.443,3.90,25.54,15.38,27.76,16.11,1.97,1.41,24.85,149.22,1.52,1.07,101.0,90.1,18.08
57,Zhelin Wang,MEM,MEM to LAL,C,213cm,114kg,22,0,Fujian (China),1994 DOB,China,INTERNATIONAL,2015-16,Fujian,CBA,8.0,6.0,23.7,4.50,9.12,.493,0.00,0.25,.000,2.25,3.38,.667,2.62,4.12,6.75,1.25,0.00,0.50,2.75,1.88,11.25,.530,.493,14.41,21.70,18.13,8.44,15.02,0.00,1.87,24.77,115.98,-4.69,1.23,111.7,121.8,15.12
58,Abdel Nader,BOS,,SF,198cm,102kg,22,4,Iowa State,Sr,United States / Egypt,NCAA,CAREER,NCAA DI, ,117.0,80.0,24.3,3.69,9.45,.391,1.09,3.59,.305,1.84,2.51,.731,0.89,3.40,4.29,1.09,0.81,0.61,2.45,2.28,10.32,.484,.448,4.25,16.00,10.18,9.56,17.65,1.98,2.80,27.34,142.67,-6.40,1.09,90.6,101.3,13.01
59,Isaiah Cousins,SAC,,G,193cm,87kg,22,0,Oklahoma,Sr,United States,NCAA,CAREER,NCAA DI, ,137.0,119.0,27.7,3.46,8.48,.408,1.28,3.15,.407,1.47,2.07,.711,0.82,3.04,3.86,2.66,1.15,0.26,2.01,1.85,9.68,.511,.484,3.37,11.66,7.64,18.20,16.38,2.39,0.99,20.27,152.66,-0.27,1.14,103.5,99.5,14.18
60,Tyrone Wallace,UTH,,G,196cm,90kg,22,3,California,Sr,United States,NCAA,CAREER,NCAA DI, ,129.0,115.0,31.6,4.56,10.98,.415,0.91,3.13,.292,2.55,4.16,.613,1.01,4.22,5.22,3.38,1.08,0.43,2.54,2.16,12.58,.486,.457,3.76,14.55,9.37,21.65,14.31,2.05,1.31,24.82,132.00,0.29,1.15,100.1,98.8,15.90
61,Yogi Ferrell,None,None,G,183cm,82kg,23,5,Indiana,Sr,United States,NCAA,CAREER,NCAA DI, ,137.0,137.0,32.8,4.65,10.77,.432,1.99,4.97,.399,3.21,3.87,.830,0.55,2.64,3.20,4.62,0.83,0.07,1.69,2.28,14.50,.575,.524,2.09,8.92,5.69,26.77,15.30,1.49,0.20,22.71,166.15,2.42,1.35,121.0,103.4,18.47
61,Gary Payton II,None,None,G,191cm,88kg,23,5,Oregon State,Sr,United States,NCAA,CAREER,NCAA DI, ,63.0,61.0,35.3,5.83,12.00,.485,0.78,2.57,.302,2.29,3.51,.652,2.24,5.41,7.65,4.11,2.78,0.84,2.68,2.11,14.71,.538,.518,7.32,18.18,12.68,27.84,13.38,4.70,3.00,23.84,143.95,1.85,1.23,111.6,93.0,23.81
61,Fred VanVleet,None,None,G,183cm,88kg,22,5,Wichita State,Sr,United States,NCAA,CAREER,NCAA DI, ,141.0,103.0,26.8,3.28,7.70,.426,1.00,2.59,.386,2.64,3.28,.805,0.65,2.67,3.31,4.52,1.60,0.09,1.52,1.47,10.21,.551,.491,2.82,11.69,7.25,34.25,13.69,3.71,0.42,21.04,161.78,6.01,1.33,121.3,90.8,21.56
61,Ryan Arcidiacono,None,None,G,191cm,88kg,22,4,Villanova,Sr,United States,NCAA,CAREER,NCAA DI, ,144.0,140.0,31.9,3.38,8.53,.397,1.81,5.06,.358,2.56,3.20,.800,0.31,2.01,2.31,3.72,1.17,0.03,1.96,1.76,11.14,.554,.503,1.19,7.13,4.29,22.72,14.88,2.20,0.10,19.25,155.50,2.26,1.31,114.3,98.8,14.64
