Pick,Name,Team,Draft-Trades,Pos,HT,WT,Age,YOS,Pre-Draft Team,Class,Nationality,League,Season,School,Class,GP,GS,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,TRB,AST,STL,BLK,PF,TOV,PTS,TS%,eFG%,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,Total S %,PPR,PPS,ORtg,DRtg,PER
1,Ben Simmons,PHL,,PF,208cm,109kg,19,5,LSU,Fr *,Australia,NCAA,CAREER,NCAA DI, ,33.0,32.0,34.9,6.55,11.70,.560,0.03,0.09,.333,6.03,9.00,.670,3.12,8.64,11.76,4.79,1.97,0.82,2.79,3.36,19.15,.600,.561,9.64,26.80,18.20,27.44,17.40,3.09,2.45,26.42,156.30,-0.47,1.64,117.2,97.4,27.41
2,Brandon Ingram,LAL,,SF,201cm,86kg,18,5,Duke,Fr *,United States,NCAA,CAREER,NCAA DI, ,36.0,34.0,34.6,5.94,13.44,.442,2.22,5.42,.410,3.22,4.72,.682,1.86,4.92,6.78,1.97,1.11,1.36,2.06,2.00,17.33,.552,.525,6.06,15.44,10.83,11.26,11.31,1.88,3.61,25.55,153.48,-2.01,1.29,114.9,103.4,21.37
3,Jaylen Brown,BOS,,SF,198cm,100kg,19,5,California,Fr *,United States,NCAA,CAREER,NCAA DI, ,34.0,34.0,27.6,4.79,11.12,.431,0.88,3.00,.294,4.18,6.38,.654,1.06,4.29,5.35,1.97,0.79,0.65,3.18,3.09,14.65,.518,.471,4.48,16.48,10.78,15.06,17.92,1.68,2.20,31.45,137.97,-6.53,1.32,98.3,96.1,16.96
4,Dragan Bender,PHX,,PF,216cm,107kg,18,4,Maccabi FOX Tel Aviv (Israel),1997 DOB *,Bosnia and Herzegovina / Croatia,GLEAGUE,CAREER, ,None,13.0,13.0,28.8,7.38,14.62,.505,2.15,5.62,.384,2.08,2.62,.794,2.08,6.85,8.92,2.23,0.62,1.69,3.38,2.62,20.46,.649,.579,7.24,21.12,14.61,11.78,14.23,0.96,5.01,25.50,168.29,-3.72,1.40,114.1,106.8,21.58
5,Kris Dunn,MIN,,SG,191cm,93kg,22,5,Providence,Jr *,United States,NCAA,CAREER,NCAA DI, ,95.0,82.0,31.6,4.46,9.93,.450,0.77,2.17,.354,3.08,4.45,.693,1.12,4.00,5.12,5.82,2.19,0.40,2.95,3.34,12.78,.531,.488,3.90,14.85,9.21,39.98,21.70,4.14,1.35,24.56,149.67,1.72,1.29,103.7,94.9,19.69
6,Buddy Hield,NOP,,G,193cm,100kg,23,5,Oklahoma,Sr,Bahamas,NCAA,CAREER,NCAA DI, ,132.0,117.0,31.7,5.93,13.24,.448,2.64,6.77,.390,2.85,3.41,.836,1.58,3.42,5.01,1.92,1.27,0.29,1.96,2.16,17.36,.584,.548,5.61,11.49,8.63,13.01,12.68,2.32,0.94,26.60,167.39,-2.68,1.31,115.7,99.5,21.49
7,Jamal Murray,DEN,,SG,193cm,98kg,19,5,Kentucky,Fr *,Canada,NCAA,CAREER,NCAA DI, ,36.0,36.0,35.2,6.78,14.94,.454,3.14,7.69,.408,3.31,4.22,.783,1.47,3.69,5.17,2.19,0.97,0.31,2.08,2.33,20.00,.590,.559,4.91,11.13,8.18,12.13,12.10,1.61,0.86,27.16,164.44,-2.52,1.34,120.5,101.2,21.59
8,Marquese Chriss,SAC,SAC to PHX,PF,206cm,109kg,18,5,Washington,Fr *,United States,NCAA,CAREER,NCAA DI, ,34.0,34.0,24.9,5.29,9.97,.531,0.62,1.76,.350,2.62,3.82,.685,2.50,2.88,5.38,0.76,0.94,1.62,4.06,2.03,13.82,.586,.562,9.78,11.65,10.70,6.34,14.69,1.94,5.84,24.17,156.56,-5.43,1.39,112.2,101.0,20.38
9,Jakob Poeltl,TOR,,C,213cm,109kg,20,5,Utah,So *,Austria,NCAA,CAREER,NCAA DI, ,70.0,70.0,26.9,5.09,7.73,.658,0.00,0.01,.000,3.13,5.16,.607,2.77,5.19,7.96,1.33,0.47,1.70,2.36,1.84,13.30,.653,.658,13.64,21.32,17.82,11.03,15.33,1.08,6.44,23.94,126.47,-3.68,1.72,123.9,92.7,26.81
10,Thon Maker,MIL,,C,213cm,100kg,19,5,Athlete Institute Prep (Ontario),1997 DOB *,South Sudan / Australia,INTERNATIONAL
