ME,Iteration,Hidden Nodes,Learning Rate,Momentum,Regularization
11.9042823572984,0,"(128, 128)",0.1,0.3,0.0001
11.9063669253286,1,"(128, 128)",0.2,0.8,0.001
11.9091826377303,2,"(64, 32, 64)",0.1,0.8,0.0001
11.9116228718661,1,128,0.2,0.8,0.0005
11.916362978724,0,"(64, 32, 64)",0.1,0.5,0.0005
11.9166303773106,0,64,0.2,0.3,0.0005
11.9218937716812,1,"(128, 128)",0.1,0.5,0.0005
11.922992140461,0,128,0.2,0.5,0.001
11.9339648682777,0,"(64, 64)",0.1,0.5,0.0005
11.9384578088688,2,"(64, 32, 64)",0.1,0.3,0.001
11.940960438581,1,64,0.1,0.8,0.0001
11.9420965391808,0,64,0.2,0.5,0.0005
11.9423393133807,1,"(64, 32, 64)",0.1,0.8,0.0001
11.9451857989628,1,"(64, 32, 64)",0.1,0.5,0.001
11.9506745343493,1,128,0.1,0.3,0.001
11.9533305585668,0,"(64, 64)",0.1,0.3,0.0001
11.9557072703112,0,128,0.1,0.3,0.001
11.9594154294215,0,128,0.1,0.8,0.0005
11.9603359659065,2,64,0.1,0.8,0.001
11.9691627257011,1,"(128, 128)",0.1,0.3,0.0005
11.9728183391076,0,64,0.1,0.3,0.0005
11.9754285563165,1,64,0.1,0.3,0.0001
11.9760135268269,0,128,0.1,0.3,0.0005
11.9813748977217,2,64,0.1,0.3,0.001
11.986802075236,0,"(128, 128)",0.1,0.3,0.0005
11.9910241022219,0,64,0.1,0.5,0.0001
11.9917787708383,0,64,0.1,0.3,0.001
11.9943526100659,2,"(128, 128)",0.2,0.8,0.001
11.9974435216955,0,128,0.2,0.3,0.001
12.0012435511791,2,64,0.2,0.5,0.0001
12.0126342244235,0,128,0.1,0.5,0.0001
12.0169822499696,2,64,0.2,0.8,0.0005
12.021492500915,2,"(64, 64)",0.1,0.3,0.0001
12.022391492977,1,"(64, 64)",0.1,0.5,0.001
12.0228591378362,2,"(128, 128)",0.1,0.3,0.001
12.0234897774718,2,"(64, 32, 64)",0.1,0.5,0.001
12.0269684036754,0,64,0.2,0.3,0.001
12.0269898363706,0,"(64, 64)",0.2,0.3,0.0001
12.0284697044044,0,"(128, 128)",0.1,0.3,0.001
12.0284909944301,2,64,0.1,0.8,0.0001
12.0289811839781,1,"(64, 64)",0.1,0.3,0.0005
12.0291739287865,2,64,0.2,0.8,0.001
12.0294864843252,0,64,0.1,0.3,0.0001
12.0350498274295,1,64,0.2,0.8,0.0001
12.0408237124162,1,"(64, 64)",0.1,0.8,0.001
12.0422272522243,2,"(128, 128)",0.1,0.3,0.0001
12.0435195743067,0,"(64, 32, 64)",0.1,0.8,0.001
12.0440424655591,0,"(64, 64)",0.1,0.8,0.0005
12.045204006829,0,64,0.1,0.5,0.001
12.0498167600887,0,"(64, 64)",0.1,0.3,0.0005
12.0603905607459,2,64,0.2,0.5,0.001
12.0612940677046,1,128,0.2,0.8,0.0001
12.0621604938469,2,128,0.2,0.5,0.0005
12.0714531159182,2,128,0.2,0.3,0.0001
12.0729298533341,2,"(128, 128)",0.1,0.5,0.001
12.0733143668497,2,"(64, 32, 64)",0.1,0.5,0.0001
