MAE,Iteration,Pos,,,,HT,WT,Age,League,,GP,GS,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,TRB,AST,STL,BLK,PF,TOV,PTS,TS%,eFG%,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,Total S %,PPR,PPS,ORtg,DRtg,PER
10.0911879272673,7,-0.413668085231651,-0.528819118477475,0.230298561350681,-3.15112633823522,-35.3458355842828,-11.956186597517,56.47798000526,2.1028633599634,-3.61220473319892,-1.33648133799884,13.8469957415158,-11.8492629758585,53.5235469242217,-21.7742365105487,-457.899965781741,12.676046240235,-6.08750462726239,-589.284905385782,38.5370617454583,-18.0799357671622,-599.693766303891,-421.45553477064,-998.682903290655,1315.80201444159,-30.5951239227929,19.6271386572173,-16.4906169524637,11.773561310808,19.4716720127571,-92.638932702255,63.393481780262,-28.5723763758584,186.588280247126,50.241181429183,-126.336883429426,9.14309301218811,-61.3380930318984,-25.290876783116,10.8727048075092,-7.01131833905656,1352.26124638265,22.7139365464453,10.5091930578554,-136.707109646397,80.1831897459822,-10.1002722222582
10.1069121137738,4,-1.20724105954904,-0.597938944522622,0.822606648169696,-3.1334335741558,-34.8171466812993,-9.73302755800854,54.0595388593915,3.38073648281958,-2.79037451490032,-1.61949366366989,15.7933139059272,-9.20799528778438,41.1515547687643,18.0972343999811,-570.509761776134,4.79468729238179,-2.15089427644547,-732.129846559028,21.1750946959816,1.96691861603852,-738.412883685429,-363.396102217217,-848.210422987891,1118.90704250616,-40.5330575582337,10.6730137028705,-18.1941526953301,15.0241798483018,16.6650414282714,-109.582159599946,100.290341006951,-35.4192796161727,241.555449069269,59.2561694605333,-162.765520028268,0.509312919895695,-34.2179430166415,-20.7535116922624,10.1445887438943,3.75450200053257,1682.10661131523,50.4524165205753,-2.04416249254725,-110.077829198485,59.6140562584877,-19.7443060455328
10.116379261725,5,-0.535884167274176,-0.202528824916254,0.493042992758501,-3.24653023955495,-34.4423117758115,-10.7039072579905,54.886950578182,2.23572143835577,-5.12413328877444,0.604918722212283,12.5388698832436,-9.44885327158194,90.3150319253352,23.8540449396994,-287.540377035731,13.0062310824673,3.43516715685215,-373.637741457713,51.3716715148707,-1.43907369890646,-386.837924944205,-467.342441138263,-1161.54167807284,1502.65210581525,-32.7580293755414,14.8729885871408,-14.4924101155608,14.4624415711502,15.4132413364862,-186.506780172575,141.482690866278,-52.6851054442381,22.9527827502506,22.6071948658294,-4.93720285561735,2.66372236106783,-38.8731303597263,-23.9778063150136,11.2234967504914,3.46324441817639,858.60147885308,48.5197762965925,-14.3408486359199,-130.44297745078,74.6508076069211,-28.4869224047611
10.1184695532058,9,-0.770098397546771,-0.625140320213608,0.988075535460748,-3.53732939553376,-29.5565146499196,-13.2866714106496,55.3855088150936,1.28511830314208,-3.81098938605669,0.382114904114807,13.5611624087345,-4.81503313009359,2.10841942754424,15.1763108002559,-783.823069872651,-6.85283332893512,-0.085000054260764,-987.720103238018,8.86451292380535,-2.31793087164191,-992.299261614815,-423.549328728487,-1004.27476209453,1311.76634432152,-29.2246750346662,5.95586788987349,-16.1562603596904,13.4728766225547,15.0173628664464,-43.1089069946474,80.3663388935751,-2.98603400398317,230.426980970923,54.4854247896201,-133.641169932391,-5.81685524329617,-28.271767299548,-12.8859524350959,10.2605704260071,3.07925648804588,2273.41170412217,54.1981713254945,1.99803761733244,-122.953538335198,66.3954146162825,-24.9231723247843
10.1321380902316,0,-0.882296467173014,-0.235559162877085,0.57754240980909,-3.37646209310893,-32.818489330805,-15.976682181758,55.9540386175562,3.81327736141888,-3.23705667802864,-0.05803582222972,13.8577415652527,-6.23456436140892,58.1467447900656,22.2874333307075,-462.370497251925,19.3519299574145,-15.4663685488634,-581.886369743562,18.7279536426066,6.61438918275976,-587.079310622371,-307.629230387444,-718.685904805138,945.629067243099,-38.9507715711372,8.6999582824389,-23.1567212322005,10.6962810746518,18.165946289805,-125.036477193487,96.5539567621086,-29.8963946860801,213.464563775096,48.7186932288257,-122.441046883967,-6.58121751840876,-27.4362915799048,-14.5456155270034,15.3198057762039,3.72604142888632,1335.37688460362,62.554011627781,6.90031939124056,-122.725173748979,66.2098365188475,-21.8532154381967
10.1365325960763,8,-0.758471174861398,-0.261035387909382,0.544361861704688,-3.34210282419443,-33.642739070693,-9.49040107462223,55.7862820709016,2.96837769113218,-2.93809507430277,-0.779390552582939,13.7298443745058,-11.3870160376559,-5.9330165167012,31.4022513271085,-473.758290127135,-2.1580518963732,-7.86141588906067,-585.520067601639,0.139687058137911,6.47943744298424,-583.308033414861,-402.665395858081,-924.12863637279,1224.9352366357,-51.1797491922651,28.4778887819171,-21.8589395743805,14.4874999500504,26.3324701442016,-55.833849623384,94.0400553729046,-2.27196682618227,353.748770380922,88.4601780800967,-261.863460819172,-3.96671218102948,-27.5413979450832,-32.0924791111475,15.3942448925726,7.90607306272402,1335.14238343603,74.6155675567395,-1.51633850312521,-117.29555124491,68.7726244810793,-19.9160292039512
10.1411200719755,3,-0.526984738832603,-0.124841337068272,0.910036960961571,-3.18093494763733,-31.7365446077162,-11.700393832101,54.7306962086557,3.03031352731598,-3.46960392436858,0.934906144347874,12.1777673672048,-3.61809914359034,45.97476161183,30.9449942790539,-269.576327148827,8.3842929663757,-5.15532332341966,-332.341655241965,33.7116949960198,4.95310094581065,-344.663756221344,-257.185852776451,-632.749500673204,814.446609336224,-38.1121924321393,20.80320381258,-17.4469364263629,11.7654350517013,6.44166566979415,-133.280219687224,137.107248419532,-25.0520901249398,217.675905056782,84.5540325513475,-191.714335716146,-0.867604730060013,-26.2005443050231,-26.3875206142378,12.4484351308459,13.3171825996172,758.512640197342,60.8030447512017,-19.688013659148,-131.045065260032,63.7817669758324,-26.7905418975291
10.1585624610968,6,-1.23432361251078,-0.034549046436426,0.522795402589808,-2.70682995368103,-32.0274358655236,-10.9175043811683,55.9530386698067,2.84407875125718,-3.51795490715604,-1.03539920584591,14.7789179035515,-7.56646674414405,64.8026973079915,20.4208891051757,-199.556944529488,11.3240082406961,-8.56412872164109,-221.823444441445,26.7984170038646,2.20154741419319,-227.116018725806,-452.187729319179,-1068.27530002757,1400.17269174271,-41.9467884422611,15.7583288292506,-15.9476955064984,12.6877459883777,16.3309127558125,-136.888239790106,108.143759192381,-24.248007769736,228.112459941434,53.4667647686905,-137.421352941194,-0.145168187863215,-30.0906436953487,-23.5523784249016,12.1102656366729,6.48994573988155,500.216515616314,59.7443651674917,7.29762158056241,-125.140726653371,67.8338659669001,-19.2982022923831
10.175760121839,1,-1.76974957406133,-0.686514575314323,0.539682931449868,-3.20682385196314,-32.601456050938,-14.3185763525042,57.12493947548,2.06775805271333,-4.94920484906693,-0.779113275827423,13.1352636391122,-6.06359551506723,80.1839930315986,-22.4187540651393,-1025.65269094395,-1.7115048692713,4.48000282403123,-1278.017381277,40.1426939490792,-5.59389736516732,-1293.87595847962,-310.511682426855,-719.932831987667,945.835194982679,-35.3939440315835,9.40641240810457,-15.3947501733557,14.7951670124029,17.5548467595051,-120.44748588919,127.126218565015,-13.8925110546182,236.482654343929,59.1451707003085,-145.864736867358,3.23499024231973,-51.7250391367166,-17.7543683312607,11.3401776922042,-4.50215425678101,2942.97588801686,43.8394632850595,-18.5060210272785,-152.868594410892,85.4506578096698,-12.8453713550913
10.1988602566102,2,-1.2761915745775,-0.387426124590684,0.919558131687929,-3.02321273429749,-28.235557276075,-16.8116036451589,54.2803930523784,1.62844150363364,-4.51069436437039,0.718266911584135,14.1862265826922,-9.80623792668991,63.0628335279842,25.8697113201081,16.6492949558321,21.7326546079245,-10.1756343990075,18.2845883209927,43.7892101325819,-5.91101915201704,9.17273943032282,-327.468408920756,-767.185930348893,1005.49661225755,-32.6331206920486,16.658473230178,-13.1662529143936,12.6156519477168,13.6630811481843,-147.992613698407,115.095197480056,-50.7812034975347,225.546141267676,55.0055763734266,-135.220646742045,-9.36249487645548,-24.4959084410691,-21.2351601663183,7.83321005051457,8.31975737443992,-46.8090411326156,58.2387804086475,-10.2600010542026,-118.750940727796,65.4612077796367,-20.754519876381
