Pick,Name,Team,Draft-Trades,Pos,HT,WT,Age,YOS,Pre-Draft Team,Class,Nationality,League,Season,School,Class,GP,GS,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,TRB,AST,STL,BLK,PF,TOV,PTS,TS%,eFG%,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,Total S %,PPR,PPS,ORtg,DRtg,PER
1,Karl-Anthony Towns,MIN,,C,213cm,113kg,19,6,Kentucky,Fr *,United States / Dominican Republic,NCAA,CAREER,NCAA DI, ,39.0,39.0,21.1,3.72,6.56,.566,0.05,0.21,.250,2.79,3.44,.813,2.36,4.33,6.69,1.13,0.46,2.21,2.95,1.36,10.28,.627,.570,14.19,22.42,18.62,11.58,14.22,1.37,11.21,23.73,162.98,-2.95,1.57,126.8,77.3,28.99
2,D'Angelo Russell,LAL,,SG,193cm,88kg,19,6,Ohio State,Fr *,United States,NCAA,CAREER,NCAA DI, ,35.0,35.0,33.9,6.60,14.71,.449,2.71,6.60,.411,3.37,4.46,.756,1.00,4.66,5.66,5.00,1.57,0.31,2.11,2.91,19.29,.573,.541,3.61,15.42,9.76,30.11,14.76,2.81,1.07,30.15,161.62,1.22,1.31,115.8,93.7,25.20
3,Jahlil Okafor,PHL,,C,211cm,125kg,19,6,Duke,Fr *,United States / Nigeria,NCAA,CAREER,NCAA DI, ,38.0,38.0,30.1,7.34,11.05,.664,0.00,0.00,.000,2.61,5.11,.510,3.53,4.95,8.47,1.29,0.76,1.42,2.13,2.50,17.29,.641,.664,14.73,18.21,16.58,9.43,15.65,1.53,4.48,27.54,117.46,-5.40,1.56,119.9,94.7,28.46
4,Kristaps Porzingis,NYK,,FC,221cm,109kg,19,6,Coosur Real Betis (Spain),1995 DOB *,Latvia,INTERNATIONAL,2014-15 *,All Teams,All Leagues,50.0,27.0,21.4,4.14,8.34,.496,0.84,2.34,.359,1.88,2.50,.752,1.38,3.22,4.60,0.54,0.90,1.04,2.62,1.42,11.00,.583,.547,8.36,18.77,13.66,5.21,13.08,2.33,5.21,24.59,160.74,-5.13,1.32,110.2,107.3,19.64
5,Mario Hezonja,ORL,,SG,203cm,100kg,20,5,FC Barcelona II (Spain),1995 DOB *,Croatia,INTERNATIONAL,2014-15 *,All Teams,All Leagues,66.0,16.0,15.1,2.18,4.74,.460,1.09,2.83,.385,0.39,0.55,.722,0.35,1.64,1.98,1.11,0.65,0.11,1.68,1.08,5.85,.587,.575,3.18,13.51,8.61,12.17,17.76,2.47,0.66,19.91,156.73,-2.39,1.23,106.3,105.2,13.33
6,Willie Cauley-Stein,SAC,,C,213cm,109kg,21,6,Kentucky,Jr *,United States,NCAA,CAREER,NCAA DI, ,105.0,70.0,24.5,3.30,5.55,.593,0.00,0.00,.000,1.44,2.83,.508,2.33,3.80,6.13,0.86,1.10,2.23,2.34,1.21,8.03,.582,.593,11.61,16.81,14.36,7.00,14.92,2.73,9.32,16.85,110.19,-2.63,1.45,116.5,86.3,21.41
7,Emmanuel Mudiay,DEN,,SG,196cm,91kg,19,5,Guangzhou Loong Lions (China),1996 DOB,United States / Democratic Republic of the Congo,INTERNATIONAL,2014-15,Guangdong Dongguan,CBA,12.0,0.0,31.5,7.33,15.33,.478,1.08,3.17,.342,2.25,3.92,.574,2.00,4.25,6.25,5.92,1.58,0.08,1.58,3.25,18.00,.528,.514,7.73,17.04,12.30,31.84,16.00,2.65,0.24,29.09,139.48,2.23,1.17,110.1,111.3,17.88
8,Stanley Johnson,DET,,G,198cm,110kg,19,6,Arizona,Fr *,United States,NCAA,CAREER,NCAA DI, ,38.0,37.0,28.4,4.58,10.26,.446,1.13,3.05,.371,3.47,4.68,.742,1.97,4.53,6.50,1.66,1.50,0.39,2.63,2.16,13.76,.551,.501,8.89,19.14,14.18,11.64,14.73,3.17,1.58,26.59,155.84,-3.63,1.34,111.1,86.6,21.40
9,Frank Kaminsky,CHA,,F,213cm,110kg,22,6,Wisconsin,Sr,United States,NCAA,CAREER,NCAA DI, ,144.0,79.0,20.4,3.67,7.03,.522,0.72,1.94,.369,2.06,2.70,.763,1.26,3.35,4.62,1.31,0.53,1.06,1.62,0.84,10.12,.609,.573,7.82,20.03,14.03,15.36,9.18,1.72,5.26,25.56,165.49,0.16,1.44,126.4,90.2,28.19
10,Justise Winslow,MIA,,SF,198cm,101kg,19,6,Duke,Fr *,United States,NCAA,CAREER,NCAA DI, ,39.0,39.0,29.1,4.44,9.13,.486,1.18,2.82,.418,2.56,4.00,.641,1.26,5.21,6.46,2.10,1.33,0.87,2.77,1.82,12.62,.572,.551,5.44,19.84,13.09,13.19,14.17,2.77,2.85,22.90,154.52,-1.43,1.38,115.2,91.9,21.17
