Pick,Name,Team,Draft-Trades,Pos,HT,WT,Age,YOS,Pre-Draft Team,Class,Nationality,League,Season,School,Class,GP,GS,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,TRB,AST,STL,BLK,PF,TOV,PTS,TS%,eFG%,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,Total S %,PPR,PPS,ORtg,DRtg,PER
11,Myles Turner,IND,,FC,211cm,113kg,19,6,Texas,Fr *,United States,NCAA,CAREER,NCAA DI, ,34.0,7.0,22.2,3.44,7.56,.455,0.50,1.82,.274,2.76,3.29,.839,1.29,5.24,6.53,0.59,0.29,2.62,2.41,1.38,10.15,.556,.488,7.20,24.94,16.76,6.25,13.16,0.84,12.25,25.11,156.87,-4.63,1.34,112.6,85.3,24.13
12,Trey Lyles,UTH,,SF,206cm,106kg,19,6,Kentucky,Fr *,Canada / United States,NCAA,CAREER,NCAA DI, ,36.0,21.0,23.0,3.25,6.67,.487,0.11,0.81,.138,2.08,2.83,.735,1.81,3.42,5.22,1.06,0.53,0.44,1.58,1.14,8.69,.543,.496,9.83,15.85,13.08,9.15,12.44,1.43,2.02,20.61,136.07,-1.93,1.30,116.3,84.5,18.60
13,Devin Booker,PHX,,SG,198cm,93kg,18,6,Kentucky,Fr *,United States,NCAA,CAREER,NCAA DI, ,38.0,0.0,21.5,3.55,7.55,.470,1.53,3.71,.411,1.39,1.68,.828,0.45,1.55,2.00,1.11,0.45,0.05,1.53,0.97,10.03,.600,.571,2.66,7.83,5.46,10.80,10.44,1.30,0.26,22.67,170.99,-1.12,1.33,122.9,90.8,18.20
14,Cameron Payne,OKC,,G,191cm,86kg,20,6,Murray State,So *,United States,NCAA,CAREER,NCAA DI, ,69.0,68.0,32.4,6.30,14.59,.432,2.26,6.29,.359,3.67,4.70,.781,0.45,3.20,3.65,5.71,1.81,0.54,2.43,2.86,18.54,.551,.509,1.65,10.85,6.44,37.05,14.51,3.30,1.68,30.46,157.23,2.87,1.27,115.8,100.6,23.99
15,"Kelly Oubre, Jr.",ATL,ATL to WAS,SF,198cm,93kg,19,6,Kansas,Fr *,United States,NCAA,CAREER,NCAA DI, ,36.0,27.0,21.0,3.06,6.89,.444,0.94,2.64,.358,2.19,3.06,.718,1.14,3.83,4.97,0.78,1.14,0.36,1.97,1.19,9.25,.555,.512,6.44,19.23,13.21,8.12,12.53,3.26,1.75,23.11,151.96,-3.16,1.34,111.9,91.6,20.19
16,Terry Rozier,BOS,,G,185cm,88kg,21,6,Louisville,So *,United States,NCAA,CAREER,NCAA DI, ,73.0,45.0,26.8,4.21,10.32,.408,1.15,3.48,.331,2.41,3.12,.772,0.97,3.33,4.30,2.40,1.51,0.11,1.59,1.38,11.97,.507,.463,3.98,13.88,8.89,17.81,10.50,3.34,0.44,24.42,151.03,0.79,1.16,111.3,89.1,19.24
17,Rashad Vaughn,MIL,,SF,198cm,95kg,18,3,UNLV,Fr *,United States,NCAA,CAREER,NCAA DI, ,23.0,23.0,32.2,6.26,14.26,.439,2.35,6.13,.383,2.96,4.26,.694,0.61,4.22,4.83,1.57,0.78,0.35,2.35,2.17,17.83,.547,.521,2.22,13.52,8.24,12.37,11.78,1.49,1.05,30.78,151.59,-3.52,1.25,104.1,99.9,19.54
18,Sam Dekker,HOU,,SF,206cm,104kg,21,4,Wisconsin,Jr *,United States,NCAA,CAREER,NCAA DI, ,113.0,81.0,27.9,4.42,8.96,.493,1.26,3.61,.348,1.97,2.84,.695,1.64,3.40,5.04,1.31,0.65,0.48,1.21,1.02,12.06,.585,.563,7.36,14.84,11.16,10.46,8.99,1.50,1.71,22.86,153.58,-0.56,1.35,122.0,96.8,21.97
19,Jerian Grant,WAS,WAS to ATLATL to NYK,SG,193cm,90kg,22,4,Notre Dame,Sr,United States,NCAA,CAREER,NCAA DI, ,119.0,117.0,36.4,4.67,10.73,.435,1.50,4.36,.345,3.76,4.76,.790,0.39,2.49,2.88,5.80,1.47,0.31,1.84,2.24,14.61,.562,.505,1.39,7.89,4.80,31.64,14.68,2.56,0.87,23.00,157.04,4.73,1.36,117.7,102.0,19.99
20,Delon Wright,TOR,,G,196cm,84kg,23,6,Utah,Sr,United States,NCAA,CAREER,NCAA DI, ,68.0,68.0,34.8,4.99,9.32,.535,0.56,1.87,.299,4.50,5.53,.814,1.12,4.72,5.84,5.18,2.28,1.13,1.62,2.24,15.03,.629,.565,4.33,15.40,10.34,30.74,15.76,4.06,3.49,22.12,164.77,3.58,1.61,127.4,88.0,26.29
21,Justin Anderson,DAL,,F,198cm,104kg,21,5,Virginia,Jr *,United States,NCAA,CAREER,NCAA DI, ,98.0,45.0,24.1,2.94,6.83,.430,0.99,2.78,.357,2.04,2.70,.755,0.77,2.71,3.48,1.84,0.61,0.86,1.41,1.28,8.91,.549,.503,4.16,13.54,9.05,16.52,13.59,1.68,4.32,22.23,154.18,-0.23,1.30,111.4,90.2,18.39
22,Bobby Portis,CHI,,PF,211cm,113kg,20,6,Arkansas,So *,United States,NCAA,CAREER,NCAA DI, ,70.0,70.0,28.5,5.87,11.17,.526,0.33,0.90,.365,2.89,3.91,.737,3.13,4.74,7.87,1.31,1.06,1.49,1.97,1.39,14.96,.574,.540,12.01,18.52,15.24,9.87,9.61,2.09,5.34,24.22,162.79,-1.66,1.34,120.8,95.1,24.90
23,Rondae Hollis-Jefferson,POR,POR to BRK,SF,198cm,98kg,20,6,Arizona,So *,United States,NCAA,CAREER,NCAA DI, ,76.0,31.0,27.0,3.41,6.87,.496,0.11,0.51,.205,3.26,4.68,.697,2.13,4.14,6.28,1.50,0.95,0.95,2.45,1.36,10.18,.560,.504,9.81,18.00,14.03,10.54,12.97,2.15,3.80,20.21,139.79,-1.33,1.48,118.1,87.6,19.88
24,Tyus Jones,CLE,CLE to MIN,PG,185cm,89kg,19,6,Duke,Fr *,United States,NCAA,CAREER,NCAA DI, ,39.0,39.0,33.9,3.46,8.31,.417,1.21,3.18,.379,3.69,4.15,.889,0.49,3.03,3.51,5.56,1.51,0.08,1.18,1.95,11.82,.575,.489,1.81,9.90,6.11,27.45,15.93,2.70,0.22,18.71,168.46,5.15,1.42,124.9,98.2,19.25
25,Jarell Martin,MEM,,F,208cm,108kg,21,4,LSU,So *,United States,NCAA,CAREER,NCAA DI, ,65.0,57.0,30.7,4.97,10.06,.494,0.63,2.05,.308,3.11,4.51,.689,2.37,4.57,6.94,1.35,1.00,0.69,2.62,2.22,13.68,.560,.525,8.70,15.51,12.24,8.83,15.37,1.88,2.16,22.97,149.16,-4.07,1.36,109.2,98.3,18.26
26,Nikola Milutinov,SAN,SAN to BRK,C,213cm,100kg,20,0,KK Partizan (Serbia),1994 DOB *,Serbia,INTERNATIONAL,2015-16 *,All Teams,All Leagues,52.0,15.0,11.2,1.46,2.58,.567,0.00,0.00,.000,0.79,1.19,.661,1.42,1.50,2.92,0.52,0.37,0.71,2.23,0.54,3.71,.598,.567,15.96,16.84,16.40,7.93,14.79,1.87,6.99,15.79,122.85,-1.81,1.44,122.3,95.1,17.56
27,"Larry Nance, Jr.",LAL,,SF,201cm,111kg,22,6,Wyoming,Sr,United States,NCAA,CAREER,NCAA DI, ,123.0,90.0,29.5,4.15,7.95,.521,0.29,0.96,.305,2.68,3.48,.771,1.48,4.98,6.46,1.40,1.15,1.10,2.41,1.57,11.27,.587,.540,7.03,21.43,14.58,12.25,14.04,2.59,4.55,22.69,159.76,-2.40,1.42,112.3,89.0,21.59
28,R.J. Hunter,BOS,,G,198cm,86kg,21,4,Georgia State,Jr *,United States,NCAA,CAREER,NCAA DI, ,99.0,98.0,34.7,5.65,13.34,.423,2.56,7.22,.354,4.53,5.30,.853,0.69,4.10,4.79,2.42,1.93,0.93,2.16,1.70,18.37,.579,.519,2.52,13.98,8.45,15.01,9.66,3.43,3.43,27.48,163.03,-0.24,1.38,118.6,98.1,24.62
29,Chris McCullough,BRK,,PF,211cm,91kg,20,3,Syracuse,Fr *,United States,NCAA,CAREER,NCAA DI, ,16.0,16.0,28.1,3.38,7.06,.478,0.06,0.06,1.000,2.50,4.44,.563,2.25,4.62,6.88,1.12,1.69,2.06,2.50,2.19,9.31,.508,.482,9.28,17.53,13.58,7.83,19.26,3.63,8.45,20.52,204.13,-5.06,1.32,96.8,79.9,17.74
30,Kevon Looney,GOS,,PF,206cm,113kg,19,6,UCLA,Fr *,United States,NCAA,CAREER,NCAA DI, ,36.0,36.0,30.9,4.19,8.92,.470,0.61,1.47,.415,2.56,4.08,.626,3.39,5.81,9.19,1.42,1.28,0.89,2.89,1.25,11.56,.532,.505,12.26,20.99,16.63,9.06,10.33,2.46,3.30,19.68,151.13,-0.96,1.30,116.3,96.1,20.68
31,Cedi Osman,MIN,MIN to CLE,GF,201cm,104kg,20,4,Anadolu Efes (Turkey),1995 DOB *,North Macedonia / Turkey,GLEAGUE,CAREER, ,None,1.0,1.0,39.0,7.00,23.00,.304,2.00,10.00,.200,5.00,9.00,.556,1.00,7.00,8.00,2.00,4.00,2.00,4.00,3.00,21.00,.389,.348,2.05,23.28,10.15,10.09,10.01,4.76,4.83,30.43,105.99,-4.16,0.91,78.9,103.0,11.71
32,Montrezl Harrell,HOU,,F,201cm,109kg,21,6,Louisville,Jr *,United States,NCAA,CAREER,NCAA DI, ,112.0,75.0,26.4,4.76,8.12,.586,0.10,0.36,.275,1.94,3.63,.533,2.62,4.31,6.94,0.91,0.81,1.05,1.91,1.29,11.55,.586,.592,11.14,18.48,14.79,7.28,11.54,1.84,4.43,21.02,139.39,-2.54,1.42,119.0,87.8,22.65
33,Jordan Mickey,BOS,,PF,203cm,107kg,20,3,LSU,So *,United States,NCAA,CAREER,NCAA DI, ,65.0,65.0,33.8,5.58,10.78,.518,0.02,0.22,.071,2.86,4.28,.669,2.71,6.14,8.85,1.17,0.77,3.34,2.38,2.75,14.05,.548,.519,8.90,18.82,14.03,7.00,17.69,1.31,9.38,22.35,125.83,-5.53,1.30,103.1,93.5,19.42
34,Anthony Brown,LAL,,GF,201cm,102kg,22,3,Stanford,Sr,United States,NCAA,CAREER,NCAA DI, ,144.0,102.0,29.2,3.60,8.40,.428,1.51,3.75,.404,2.14,2.85,.751,0.95,3.83,4.78,1.60,0.68,0.16,1.78,1.58,10.85,.556,.518,3.87,15.39,9.67,11.30,13.96,1.40,0.60,20.01,158.30,-1.78,1.29,110.8,99.1,15.37
35,Willy Hernangomez,PHL,PHL to NYK,C,211cm,113kg,21,5,Cajasol Seville U18 (Spain),1994 DOB *,Spain,INTERNATIONAL,2015-16 *,All Teams,All Leagues,52.0,4.0,10.8,2.10,3.19,.657,0.00,0.00,.000,0.85,1.21,.698,1.13,1.94,3.08,0.37,0.35,0.52,1.62,0.69,5.04,.676,.657,14.92,22.26,18.84,5.44,15.67,1.72,4.86,19.27,135.50,-4.14,1.58,125.7,105.2,20.92
36,Rakeem Christmas,MIN,MIN to CLECLE to IND,PF,206cm,116kg,23,2,Syracuse,Sr,United States,NCAA,CAREER,NCAA DI, ,142.0,139.0,22.1,2.88,5.15,.560,0.00,0.01,.000,1.61,2.36,.681,1.96,3.27,5.23,0.60,0.54,1.73,2.64,1.15,7.37,.588,.560,10.20,16.75,13.50,5.44,15.48,1.51,9.55,17.40,124.01,-3.52,1.43,115.0,91.4,19.20
37,Richaun Holmes,PHL,,F,208cm,109kg,21,6,Bowling Green,Sr,United States,NCAA,CAREER,NCAA DI, ,95.0,64.0,26.5,4.24,7.66,.554,0.32,0.89,.353,2.66,3.82,.697,2.63,4.23,6.86,0.65,0.79,2.57,2.45,1.51,11.46,.605,.574,11.50,18.56,15.02,5.88,13.70,1.84,10.99,21.85,160.35,-4.12,1.50,117.0,91.4,24.63
38,Darrun Hilliard,DET,,SG,198cm,100kg,22,3,Villanova,Sr,United States,NCAA,CAREER,NCAA DI, ,132.0,112.0,26.8,3.72,8.52,.436,1.58,4.31,.367,2.42,3.24,.748,0.54,2.49,3.03,1.88,1.33,0.36,2.07,1.56,11.45,.569,.529,2.38,10.56,6.56,15.41,13.43,2.97,1.48,22.18,155.14,-1.15,1.34,113.0,96.6,17.75
39,Juan Vaulet,CHA,CHA to BRKBRK to IND,F,198cm,91kg,19,0,Weber Bahia Estudiantes (Argentina),1996 DOB *,Argentina,INTERNATIONAL,2014-15,Weber Bahia Estudiantes,Liga A,34.0,5.0,17.3,2.82,5.59,.505,0.06,0.59,.100,1.53,2.29,.667,1.53,2.62,4.15,0.82,0.50,0.44,1.74,1.26,7.24,.548,.511,9.68,19.07,14.04,8.65,16.09,1.53,2.84,20.82,127.19,-4.09,1.29,105.8,101.1,17.62
40,Josh Richardson,MIA,,G,196cm,91kg,21,6,Tennessee,Sr,United States,NCAA,CAREER,NCAA DI, ,136.0,109.0,28.2,3.37,7.40,.455,0.72,2.27,.317,1.75,2.31,.758,0.85,2.37,3.22,1.81,1.08,0.65,2.21,1.54,9.21,.542,.504,3.61,10.01,6.81,13.78,15.32,2.42,2.54,18.85,153.04,-1.24,1.24,109.3,99.8,15.24
41,Pat Connaughton,BRK,BRK to POR,SF,193cm,95kg,22,6,Notre Dame,Sr,United States,NCAA,CAREER,NCAA DI, ,139.0,123.0,32.2,3.71,8.24,.450,1.93,5.00,.386,1.20,1.55,.777,0.99,4.94,5.92,1.85,0.67,0.51,1.67,0.97,10.54,.587,.567,3.88,17.96,11.20,11.17,9.77,1.32,1.63,16.99,161.21,0.86,1.28,120.7,101.4,17.16
42,Olivier Hanlan,UTH,UTH to SAN,G,193cm,86kg,22,0,Boston College,Jr *,Canada,NCAA,CAREER,NCAA DI, ,97.0,95.0,36.0,5.82,12.85,.453,1.81,5.01,.362,4.34,5.58,.778,0.64,3.30,3.94,3.11,1.06,0.05,2.23,2.43,17.80,.575,.524,2.33,11.42,6.99,21.60,13.57,1.85,0.15,27.85,159.38,-1.03,1.39,112.2,109.4,19.89
43,Joe Young,IND,,G,188cm,82kg,22,3,Oregon,Sr,United States,NCAA,CAREER,NCAA DI, ,132.0,115.0,32.8,5.89,13.02,.453,2.18,5.60,.390,3.48,3.93,.886,0.64,2.96,3.61,2.66,0.98,0.06,1.47,1.67,17.45,.586,.537,2.36,9.96,6.32,16.53,10.11,1.73,0.19,25.28,172.89,0.29,1.34,121.2,106.4,21.15
44,Andrew Harrison,PHX,PHX to MEM,G,193cm,95kg,20,3,Kentucky,So *,United States,NCAA,CAREER,NCAA DI, ,79.0,78.0,28.6,2.81,7.56,.372,0.87,2.38,.367,3.61,4.65,.777,0.57,2.13,2.70,3.77,0.77,0.22,2.39,2.19,10.10,.517,.430,2.43,8.13,5.44,24.78,18.32,1.66,0.79,21.33,151.54,1.16,1.34,109.8,96.9,14.21
45,Marcus Thornton,BOS,,G,193cm,86kg,22,1,William & Mary,Sr,United States,NCAA,CAREER,NCAA DI, ,127.0,107.0,34.1,5.58,12.98,.430,2.56,6.36,.402,3.43,4.34,.789,0.31,2.24,2.55,2.43,0.72,0.24,1.50,2.55,17.15,.570,.529,1.17,7.74,4.61,16.82,14.50,1.33,0.78,28.72,162.19,-2.86,1.32,106.7,110.7,17.80
46,Norman Powell,MIL,MIL to TOR,SG,191cm,98kg,22,6,UCLA,Sr,United States,NCAA,CAREER,NCAA DI, ,141.0,83.0,25.2,3.57,7.73,.461,0.79,2.51,.314,1.84,2.46,.746,0.41,2.60,3.01,1.50,1.12,0.40,2.04,1.28,9.76,.548,.512,1.90,11.57,6.82,11.27,12.55,2.61,1.72,20.41,152.14,-1.06,1.26,108.1,99.4,15.75
47,Arturas Gudaitis,PHL,PHL to SACSAC to CLE,C,208cm,115kg,22,0,Zalgiris (Lithuania),1993 DOB,Lithuania,INTERNATIONAL,2015-16 *,All Teams,All Leagues,44.0,18.0,18.2,3.41,5.27,.647,0.02,0.05,.500,3.00,4.52,.663,2.00,4.07,6.07,0.50,0.45,0.75,1.93,1.11,9.84,.677,.649,15.14,27.80,21.80,5.04,13.29,1.37,4.31,22.28,180.99,-4.40,1.87,128.6,99.0,24.50
48,Dakari Johnson,OKC,,C,213cm,116kg,19,1,Kentucky,So *,United States,NCAA,CAREER,NCAA DI, ,78.0,18.0,15.2,2.06,3.85,.537,0.00,0.00,.000,1.64,2.94,.559,1.87,2.40,4.27,0.51,0.29,0.76,1.90,0.86,5.77,.550,.537,15.05,17.25,16.22,6.86,14.08,1.20,5.20,20.51,109.56,-3.47,1.50,115.4,90.5,19.77
49,Aaron White,WAS,WAS to BRK,F,206cm,100kg,22,0,Iowa,Sr,United States,NCAA,CAREER,NCAA DI, ,140.0,119.0,28.1,4.22,8.15,.518,0.44,1.55,.281,4.41,5.71,.772,2.06,4.38,6.44,1.36,1.06,0.61,1.56,1.50,13.29,.612,.545,8.35,17.27,12.87,10.10,12.13,2.25,2.36,22.08,157.16,-2.10,1.63,124.6,97.1,23.47
50,Marcus Eriksson,ATL,,GF,201cm,81kg,21,0,BAXI Manresa (Spain),1993 DOB,Sweden,INTERNATIONAL,2015-16 *,All Teams,All Leagues,27.0,1.0,9.1,1.15,2.81,.408,0.63,1.93,.327,0.19,0.33,.556,0.22,0.85,1.07,0.37,0.41,0.00,0.74,0.26,3.11,.525,.520,3.46,11.38,7.72,6.53,8.05,2.57,0.00,17.93,129.04,-0.14,1.11,107.4,99.3,11.61
51,Tyler Harvey,ORL,ORL to MEMMEM to CHA,G,193cm,84kg,21,0,Eastern Washington,Jr *,United States,NCAA,CAREER,NCAA DI, ,84.0,67.0,31.4,5.88,12.69,.463,3.10,7.17,.432,3.76,4.44,.847,0.58,2.90,3.49,2.35,1.02,0.19,1.93,1.80,18.62,.629,.585,2.13,10.33,6.28,15.87,10.83,1.89,0.61,26.55,174.25,-0.72,1.47,125.2,110.5,23.68
52,Satnam Singh,DAL,DAL to MEM,C,218cm,132kg,19,0, ,1995 DOB *,India,GLEAGUE,CAREER, ,None,27.0,2.0,7.1,0.59,1.44,.410,0.00,0.00,.000,0.37,0.63,.588,0.52,0.89,1.41,0.11,0.11,0.07,1.59,0.48,1.56,.452,.410,8.34,13.87,11.15,2.15,21.86,0.76,0.83,13.47,99.85,-5.79,1.08,85.8,111.1,2.93
53,Dom Pointer,CLE,,SF,196cm,91kg,23,1,St. John's,Sr,United States,NCAA,CAREER,NCAA DI, ,130.0,78.0,28.1,3.12,6.55,.477,0.16,0.84,.193,1.88,2.77,.681,1.24,3.99,5.23,2.30,1.52,1.33,2.83,1.67,8.29,.527,.489,4.84,15.33,10.14,16.05,17.51,3.21,5.00,17.21,135.03,-0.48,1.27,104.3,95.7,16.77
54,Daniel Diez,UTH,UTH to POR,SF,203cm,98kg,22,0,Acunsa GBC (Spain),1993 DOB,Spain,INTERNATIONAL,2015-16 *,All Teams,All Leagues,60.0,18.0,16.7,1.78,4.17,.428,0.78,2.30,.341,0.62,0.83,.740,1.28,2.08,3.37,0.50,0.37,0.07,0.78,0.57,4.97,.548,.522,10.40,17.92,14.05,5.32,11.11,1.31,0.48,15.11,150.86,-1.54,1.19,118.0,111.8,13.08
55,Cady Lalanne,SAN,SAN to GOS,FC,206cm,110kg,23,0,Massachusetts,Sr,Haiti,NCAA,CAREER,NCAA DI, ,111.0,80.0,25.2,3.84,6.92,.555,0.09,0.42,.213,2.24,3.37,.666,3.07,4.86,7.94,0.24,0.44,1.78,2.48,1.87,10.01,.587,.561,13.48,20.77,17.18,1.96,18.03,0.99,6.89,19.79,143.32,-6.38,1.45,109.3,96.3,19.24
56,Branden Dawson,NOP,NOP to LAC,F,198cm,104kg,22,1,Michigan State,Sr,United States,NCAA,CAREER,NCAA DI, ,130.0,120.0,26.6,4.35,7.79,.559,0.00,0.07,.000,1.36,2.44,.558,2.52,4.40,6.92,1.39,1.25,1.09,1.63,1.69,10.07,.562,.559,11.77,18.53,15.32,11.08,15.90,2.91,4.70,21.04,111.71,-2.95,1.29,110.3,89.5,21.47
57,Nikola Radicevic,DEN,DEN to DET,PG,196cm,91kg,21,0,Coosur Real Betis (Spain),1994 DOB *,Serbia,INTERNATIONAL,2014-15 *,All Teams,All Leagues,49.0,28.0,21.3,2.71,6.57,.413,0.69,2.27,.306,1.08,1.67,.646,0.18,2.12,2.31,3.16,0.84,0.00,1.82,1.76,7.20,.493,.466,1.12,12.44,6.89,27.07,19.37,2.19,0.00,20.72,136.57,1.73,1.10,97.6,112.9,11.29
58,J.P. Tokoto,PHL,,GF,198cm,91kg,21,0,North Carolina,Jr *,United States / Cameroon,NCAA,CAREER,NCAA DI, ,107.0,67.0,22.3,2.66,5.77,.462,0.20,0.74,.266,1.22,2.25,.544,1.43,2.95,4.38,2.74,1.20,0.34,1.96,1.68,6.75,.494,.479,7.01,14.21,10.64,20.95,19.75,3.06,1.59,18.19,127.13,0.61,1.17,102.1,96.2,15.15
59,Dimitrios Agravanis,ATL,ATL to CLECLE to SAC,F,208cm,95kg,20,0,Olympiacos (Greece),1994 DOB *,Greece,INTERNATIONAL,2015-16 *,All Teams,All Leagues,48.0,7.0,13.0,1.67,3.96,.421,0.71,2.10,.337,0.88,1.48,.592,1.00,1.83,2.83,0.42,0.54,0.52,1.88,0.54,4.92,.533,.511,9.66,17.56,13.63,5.52,10.52,2.38,4.38,19.20,134.92,-2.14,1.24,110.6,93.3,15.03
60,Luka Mitrovic,PHL,PHL to SAC,PF,203cm,91kg,22,0,KK Crvena Zvezda (Serbia),1993 DOB,Serbia,INTERNATIONAL,2015-16 *,All Teams,All Leagues,25.0,20.0,19.5,2.96,5.48,.540,0.56,1.44,.389,1.96,2.76,.710,1.00,3.28,4.28,1.64,0.68,0.52,1.88,1.52,8.44,.630,.591,6.88,22.29,14.63,15.07,18.50,1.92,2.96,20.28,163.92,-2.22,1.54,112.9,92.5,17.21
61,Quinn Cook,None,None,PG,185cm,82kg,22,5,Duke,Sr,United States,NCAA,CAREER,NCAA DI, ,143.0,99.0,28.2,3.73,8.62,.433,1.65,4.40,.375,1.87,2.18,.856,0.37,2.28,2.65,3.56,1.06,0.06,1.85,1.41,10.99,.569,.529,1.59,9.21,5.51,23.58,12.76,2.23,0.21,20.11,166.41,3.39,1.27,120.8,101.0,17.89
61,Treveon Graham,None,None,GF,196cm,102kg,21,4,VCU,Sr,United States,NCAA,CAREER,NCAA DI, ,140.0,102.0,25.4,4.41,10.22,.432,1.43,4.04,.354,3.19,4.61,.691,2.09,3.65,5.74,1.42,0.79,0.21,2.14,1.36,13.44,.542,.502,8.77,17.71,12.91,12.16,9.90,1.85,0.94,26.91,147.73,-1.62,1.32,115.8,94.7,22.25
61,Royce O'Neale,None,None,SF,198cm,103kg,22,4,Baylor,Sr,United States,NCAA,CAREER,NCAA DI, ,134.0,101.0,30.3,3.07,6.44,.476,1.08,2.72,.398,2.25,2.99,.751,1.54,4.10,5.64,2.99,1.19,0.34,2.42,1.93,9.46,.602,.560,6.63,16.85,11.85,20.01,19.67,2.54,1.28,17.83,162.52,0.23,1.47,117.2,96.9,17.89
