Pick,Name,Team,Draft-Trades,Pos,HT,WT,Age,YOS,Pre-Draft Team,Class,Nationality,League,Season,School,Class,GP,GS,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,TRB,AST,STL,BLK,PF,TOV,PTS,TS%,eFG%,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,Total S %,PPR,PPS,ORtg,DRtg,PER
1,Markelle Fultz,PHL,,PG,193cm,95kg,19,4,Washington,Fr *,United States,NCAA,CAREER,NCAA DI, ,25.0,25.0,35.7,8.36,17.56,.476,2.08,5.04,.413,4.36,6.72,.649,1.32,4.40,5.72,5.92,1.56,1.20,2.52,3.20,23.16,.558,.535,3.95,13.65,8.71,34.34,13.36,2.37,3.13,30.99,153.76,1.99,1.32,117.0,108.0,26.06
2,Lonzo Ball,LAL,,PG,198cm,86kg,19,4,UCLA,Fr *,United States,NCAA,CAREER,NCAA DI, ,36.0,36.0,35.1,5.25,9.53,.551,2.22,5.39,.412,1.83,2.72,.673,0.92,5.08,6.00,7.61,1.83,0.78,1.81,2.47,14.56,.673,.668,3.19,14.36,9.35,31.44,18.60,2.82,2.10,18.09,163.69,7.00,1.53,131.5,99.9,23.18
3,Jayson Tatum,BOS,,SF,203cm,95kg,19,4,Duke,Fr *,United States,NCAA,CAREER,NCAA DI, ,29.0,27.0,33.3,5.69,12.62,.451,1.38,4.03,.342,4.07,4.79,.849,1.34,6.00,7.34,2.14,1.34,1.14,2.97,2.62,16.83,.565,.505,4.93,19.84,12.77,12.62,14.96,2.33,3.17,26.62,164.16,-3.63,1.33,111.5,99.8,21.19
4,Josh Jackson,PHX,,SF,203cm,94kg,20,4,Kansas,Fr *,United States,NCAA,CAREER,NCAA DI, ,35.0,35.0,30.8,6.29,12.26,.513,0.97,2.57,.378,2.80,4.94,.566,2.31,5.06,7.37,2.97,1.69,1.06,2.97,2.77,16.34,.559,.552,8.74,17.39,13.26,18.03,15.95,3.08,3.47,27.16,145.71,-2.52,1.33,111.1,95.1,22.87
5,De'Aaron Fox,SAC,,PG,191cm,84kg,19,4,Kentucky,Fr *,United States,NCAA,CAREER,NCAA DI, ,36.0,34.0,29.6,5.94,12.42,.479,0.47,1.92,.246,4.33,5.89,.736,0.58,3.39,3.97,4.58,1.47,0.19,2.50,2.42,16.69,.549,.498,2.14,12.18,7.21,28.15,13.71,2.69,0.65,27.44,146.10,2.03,1.34,113.7,96.0,21.53
6,Jonathan Isaac,ORL,,SF,208cm,104kg,19,4,Florida State,Fr *,United States,NCAA,CAREER,NCAA DI, ,32.0,32.0,26.2,4.06,8.00,.508,0.97,2.78,.348,2.88,3.69,.780,1.75,6.09,7.84,1.16,1.16,1.53,2.19,1.50,11.97,.614,.568,7.62,25.58,16.77,7.74,13.33,2.44,6.21,20.33,163.58,-2.69,1.50,122.4,95.1,23.42
7,Lauri Markkanen,MIN,MIN to CHI,SF,213cm,108kg,20,4,Arizona,Fr *,Finland,NCAA,CAREER,NCAA DI, ,37.0,37.0,30.8,5.00,10.16,.492,1.86,4.41,.423,3.70,4.43,.835,2.38,4.81,7.19,0.86,0.41,0.51,1.97,1.08,15.57,.635,.584,10.01,17.47,14.02,5.64,8.10,0.78,1.83,22.46,175.07,-1.70,1.53,134.1,99.1,23.52
8,Frank Ntilikina,NYK,,PG,198cm,91kg,18,4,Strasbourg IG (France),1998 DOB *,Belgium / France,INTERNATIONAL,2016-17 *,All Teams,All Leagues,60.0,37.0,19.1,2.18,4.87,.449,0.70,1.87,.375,0.68,1.07,.641,0.87,1.28,2.15,1.67,0.75,0.18,2.25,1.03,5.75,.539,.521,6.02,8.62,7.34,14.86,16.22,2.24,1.05,16.39,146.43,0.43,1.18,107.1,104.6,11.21
9,Dennis Smith,DAL,,PG,188cm,93kg,19,4,NC State,Fr *,United States,NCAA,CAREER,NCAA DI, ,32.0,32.0,34.8,5.97,13.12,.455,1.72,4.78,.359,4.47,6.25,.715,0.81,3.75,4.56,6.16,1.94,0.44,2.09,3.38,18.12,.563,.520,2.72,11.47,7.29,34.21,17.34,3.11,1.23,27.19,152.92,2.04,1.38,112.3,108.0,21.89
10,Zach Collins,SAC,SAC to POR,C,211cm,113kg,19,4,Gonzaga,Fr *,United States,NCAA,CAREER,NCAA DI, ,39.0,0.0,17.2,3.46,5.31,.652,0.26,0.54,.476,2.82,3.79,.743,1.67,4.21,5.87,0.41,0.46,1.77,2.69,1.54,10.00,.703,.676,12.02,23.30,18.40,4.46,17.79,1.53,9.86,24.91,187.16,-7.27,1.88,125.2,79.0,29.01
