Pick,Name,Team,Draft-Trades,Pos,HT,WT,Age,YOS,Pre-Draft Team,Class,Nationality,League,Season,School,Class,GP,GS,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,TRB,AST,STL,BLK,PF,TOV,PTS,TS%,eFG%,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,Total S %,PPR,PPS,ORtg,DRtg,PER
11,Malik Monk,CHA,,SG,191cm,91kg,19,4,Kentucky,Fr *,United States,NCAA,CAREER,NCAA DI, ,38.0,37.0,32.1,6.61,14.68,.450,2.74,6.89,.397,3.89,4.74,.822,0.32,2.18,2.50,2.29,0.95,0.50,1.89,2.00,19.84,.586,.543,1.07,7.23,4.19,13.29,10.56,1.60,1.54,27.24,166.90,-1.39,1.35,118.3,99.9,20.34
12,Luke Kennard,DET,,SG,196cm,93kg,20,4,Duke,So *,United States,NCAA,CAREER,NCAA DI, ,73.0,47.0,31.2,5.18,11.22,.462,1.96,5.11,.383,3.40,3.92,.867,1.07,3.27,4.34,1.99,0.89,0.26,2.08,1.19,15.71,.601,.549,3.99,11.44,7.84,12.33,8.35,1.65,0.77,22.88,171.20,0.43,1.40,127.9,105.0,21.21
13,Donovan Mitchell,DEN,DEN to UTH,SG,191cm,98kg,20,4,Louisville,So *,United States,NCAA,CAREER,NCAA DI, ,65.0,37.0,26.0,4.08,9.75,.418,1.51,4.58,.329,2.00,2.54,.788,1.09,3.05,4.14,2.23,1.46,0.31,2.55,1.32,11.66,.532,.495,4.72,13.15,8.94,15.91,10.77,3.34,1.36,23.39,153.47,0.65,1.20,116.5,92.6,19.74
14,Bam Adebayo,MIA,,C,208cm,116kg,19,4,Kentucky,Fr *,United States,NCAA,CAREER,NCAA DI, ,38.0,38.0,30.2,4.47,7.47,.599,0.00,0.03,.000,4.05,6.21,.653,3.11,4.89,8.00,0.84,0.68,1.50,2.61,1.68,13.00,.624,.599,11.20,17.21,14.24,4.69,13.91,1.23,4.92,18.51,125.11,-3.51,1.74,123.8,95.0,20.49
15,Justin Jackson,POR,POR to SAC,F,203cm,95kg,22,4,North Carolina,Jr *,United States,NCAA,CAREER,NCAA DI, ,118.0,114.0,29.1,5.21,11.36,.459,1.42,4.20,.339,1.93,2.71,.713,1.53,2.54,4.08,2.64,0.64,0.38,1.52,1.39,13.78,.545,.521,5.91,9.25,7.63,15.89,9.90,1.26,1.42,22.64,150.98,1.24,1.21,119.9,103.1,18.52
16,Justin Patton,CHI,CHI to MIN,C,213cm,109kg,20,4,Creighton,Fr *,United States,NCAA,CAREER,NCAA DI, ,35.0,34.0,25.3,5.71,8.46,.676,0.23,0.43,.533,1.29,2.49,.517,1.69,4.54,6.23,1.17,0.86,1.43,2.74,1.71,12.94,.671,.689,7.98,19.16,13.89,8.52,15.10,1.87,5.86,22.04,172.63,-3.54,1.53,119.8,95.5,23.58
17,D.J. Wilson,MIL,,F,208cm,105kg,21,4,Michigan,So *,United States,NCAA,CAREER,NCAA DI, ,69.0,36.0,19.4,2.78,5.30,.525,0.71,1.96,.363,0.84,1.03,.817,0.90,2.39,3.29,0.84,0.35,1.01,1.41,0.75,7.12,.614,.592,5.96,15.53,10.80,8.53,11.51,1.11,5.66,18.70,170.45,-1.05,1.34,119.8,101.6,18.89
18,T.J. Leaf,IND,,PF,208cm,102kg,20,4,UCLA,Fr *,United States / Israel,NCAA,CAREER,NCAA DI, ,35.0,35.0,29.9,6.71,10.89,.617,0.77,1.66,.466,2.06,3.03,.679,2.23,5.97,8.20,2.43,0.63,1.11,2.54,1.49,16.26,.660,.652,9.09,19.73,14.97,13.07,10.76,1.13,3.51,21.97,176.16,0.42,1.49,131.1,100.5,24.99
19,John Collins,ATL,,PF,206cm,107kg,19,4,Wake Forest,So *,United States,NCAA,CAREER,NCAA DI, ,64.0,34.0,20.7,4.92,8.19,.601,0.00,0.02,.000,3.58,4.91,.729,2.75,4.22,6.97,0.38,0.47,1.17,2.81,1.44,13.42,.638,.601,14.95,22.34,18.69,4.22,12.02,1.26,5.85,27.77,133.04,-5.56,1.64,124.7,104.8,28.98
20,Harry Giles,POR,POR to SAC,PF,211cm,109kg,19,4,Duke,Fr *,United States,NCAA,CAREER,NCAA DI, ,26.0,6.0,11.5,1.73,3.00,.577,0.00,0.00,.000,0.46,0.92,.500,1.58,2.27,3.85,0.35,0.35,0.65,2.23,0.69,3.92,.570,.577,16.34,22.09,19.30,5.89,16.76,1.73,5.24,18.15,107.69,-4.05,1.31,114.8,100.9,18.80
21,Terrance Ferguson,OKC,,SG,201cm,86kg,19,4,Adelaide (Australia),1998 DOB,United States,GLEAGUE,CAREER, ,None,3.0,3.0,31.1,5.67,12.00,.472,1.67,6.00,.278,1.67,2.33,.714,1.00,3.00,4.00,1.00,1.33,0.00,2.33,2.67,14.67,.563,.542,3.75,9.29,6.78,4.66,16.99,2.01,0.00,20.80,146.43,-6.26,1.22,98.6,100.6,10.82
22,Jarrett Allen,BRK,,C,211cm,112kg,19,4,Texas,Fr *,United States,NCAA,CAREER,NCAA DI, ,33.0,33.0,32.1,5.42,9.58,.566,0.00,0.21,.000,2.55,4.52,.564,3.03,5.39,8.42,0.79,0.58,1.55,2.06,2.55,13.39,.571,.566,10.95,18.87,14.97,5.52,17.84,1.05,5.04,22.63,113.02,-6.42,1.40,104.8,99.0,19.03
23,Ogugua Anunoby,TOR,,SF,203cm,105kg,19,4,Indiana,So *,England / United States,NCAA,CAREER,NCAA DI, ,50.0,10.0,17.4,2.68,4.76,.563,0.54,1.48,.365,0.94,1.80,.522,1.40,2.14,3.54,0.82,0.96,0.94,1.70,1.08,6.84,.609,.620,10.11,13.75,12.04,8.28,16.13,3.19,5.44,18.88,145.01,-3.08,1.44,118.3,96.3,20.29
24,Tyler Lydon,UTH,UTH to DEN,PF,208cm,102kg,21,2,Syracuse,So *,United States,NCAA,CAREER,NCAA DI, ,71.0,34.0,33.1,3.92,8.24,.475,1.38,3.46,.398,2.38,2.94,.809,2.04,5.38,7.42,1.56,1.08,1.63,2.61,1.49,11.59,.601,.559,7.14,17.86,12.64,9.41,13.41,1.98,5.80,17.33,168.22,-1.43,1.41,121.0,98.7,19.17
25,Anzejs Pasecniks,ORL,ORL to PHL,C,216cm,104kg,21,2,Gran Canaria (Spain),1995 DOB,Latvia,GLEAGUE,CAREER, ,None,15.0,2.0,20.8,4.33,7.67,.565,0.00,0.40,.000,0.87,1.33,.650,1.67,3.60,5.27,1.13,0.33,1.13,3.33,1.80,10.13,.614,.565,8.50,19.59,13.86,8.33,17.90,0.75,4.88,20.40,121.52,-4.93,1.32,103.4,109.0,15.16
26,Caleb Swanigan,POR,,C,206cm,118kg,20,3,Purdue,So *,United States,NCAA,CAREER,NCAA DI, ,69.0,69.0,29.2,5.10,10.19,.501,0.86,2.28,.376,3.35,4.41,.760,2.17,8.23,10.41,2.42,0.39,0.52,2.49,3.01,14.41,.586,.543,9.26,30.12,20.48,16.20,19.71,0.78,1.79,26.35,163.64,-4.85,1.41,109.0,92.0,20.77
27,Kyle Kuzma,BRK,BRK to LAL,F,208cm,100kg,21,4,Utah,Jr *,United States,NCAA,CAREER,NCAA DI, ,96.0,64.0,21.0,3.88,7.66,.506,0.53,1.76,.302,1.78,2.82,.631,1.61,3.93,5.54,1.47,0.32,0.36,1.57,1.57,10.06,.559,.541,9.97,20.52,15.68,14.37,14.88,0.92,1.77,26.37,143.89,-2.89,1.31,110.6,96.4,20.60
28,Tony Bradley,LAL,LAL to UTH,C,211cm,112kg,19,4,North Carolina,Fr *,United States,NCAA,CAREER,NCAA DI, ,38.0,0.0,14.6,2.68,4.68,.573,0.00,0.00,.000,1.71,2.76,.619,2.58,2.55,5.13,0.61,0.26,0.58,1.82,0.66,7.08,.590,.573,18.82,18.97,18.89,7.22,9.89,1.00,4.45,20.81,119.21,-1.69,1.51,129.1,96.7,24.37
29,Derrick White,SAN,,G,193cm,88kg,22,4,Colorado,Sr,United States,NCAA,CAREER,NCAA DI, ,34.0,32.0,32.8,6.03,11.88,.507,1.68,4.24,.396,4.35,5.35,.813,1.03,3.06,4.09,4.35,1.24,1.44,2.15,2.38,18.09,.627,.578,3.48,10.53,6.97,28.55,14.17,2.19,4.91,25.34,171.64,1.60,1.52,124.9,103.0,25.54
30,Josh Hart,UTH,UTH to LAL,SG,196cm,98kg,22,4,Villanova,Sr,United States,NCAA,CAREER,NCAA DI, ,146.0,75.0,28.0,4.64,9.08,.511,1.42,3.64,.389,2.47,3.42,.720,1.73,3.84,5.56,1.82,1.10,0.29,2.25,1.33,13.16,.614,.589,7.89,15.53,11.94,13.34,11.04,2.37,1.18,22.63,161.97,-0.42,1.45,125.0,94.3,22.25
31,Frank Jackson,CHA,CHA to NOP,SG,191cm,93kg,19,4,Duke,Fr *,United States,NCAA,CAREER,NCAA DI, ,36.0,16.0,24.9,3.69,7.81,.473,1.42,3.58,.395,2.14,2.83,.755,0.64,1.86,2.50,1.69,0.56,0.06,2.36,1.36,10.94,.598,.564,3.06,8.24,5.76,12.71,12.95,1.27,0.21,21.10,162.36,-0.93,1.40,118.8,105.5,16.08
32,Davon Reed,PHX,,SF,196cm,94kg,22,2,Miami (FL),Sr,United States,NCAA,CAREER,NCAA DI, ,131.0,98.0,28.1,3.34,7.77,.430,1.54,3.91,.395,2.02,2.60,.777,0.66,2.98,3.64,1.66,0.86,0.37,1.89,1.43,10.25,.569,.529,2.90,12.56,7.85,12.71,13.68,1.96,1.46,20.38,160.19,-1.25,1.32,112.7,101.3,16.19
33,Wesley Iwundu,ORL,,F,201cm,88kg,22,4,Kansas State,Sr,United States,NCAA,CAREER,NCAA DI, ,132.0,123.0,28.2,3.22,6.95,.463,0.39,1.14,.338,2.64,3.83,.688,1.15,3.53,4.68,2.77,0.92,0.39,2.10,2.12,9.46,.540,.491,4.89,15.14,9.99,20.70,19.48,1.97,1.58,19.95,148.90,-0.99,1.36,104.8,99.7,14.90
34,Frank Mason,SAC,,G,180cm,86kg,23,4,Kansas,Sr,United States,NCAA,CAREER,NCAA DI, ,145.0,113.0,30.0,4.20,9.24,.454,1.28,3.03,.420,3.32,4.37,.761,0.54,2.90,3.44,3.97,1.14,0.07,1.98,1.86,13.00,.574,.524,2.18,10.34,6.52,24.48,14.13,2.20,0.24,21.81,163.64,2.58,1.41,119.7,100.9,18.65
35,Ivan Rabb,ORL,ORL to MEM,PF,208cm,100kg,20,3,California,So *,United States,NCAA,CAREER,NCAA DI, ,65.0,64.0,30.6,4.80,8.83,.544,0.14,0.34,.409,3.49,5.25,.666,2.89,6.55,9.45,1.22,0.60,1.12,3.09,1.83,13.23,.584,.551,11.03,23.34,17.39,8.59,13.92,1.17,3.65,21.94,161.83,-3.46,1.50,116.7,92.6,21.72
36,Jonah Bolden,PHL,,SF,208cm,100kg,21,2,FMP Beograd (Serbia),1996 DOB,Australia,NCAA,CAREER,NCAA DI, ,31.0,11.0,21.7,1.65,3.97,.415,0.29,1.16,.250,1.06,1.45,.733,1.16,3.68,4.84,1.06,0.68,0.87,2.06,0.84,4.65,.499,.451,5.82,17.53,11.82,7.73,15.26,1.75,4.18,12.14,139.80,-0.58,1.17,105.8,102.8,11.98
37,Semi Ojeleye,BOS,,SF,198cm,109kg,22,4,Southern Methodist,Jr *,United States,NCAA,CAREER,NCAA DI, ,58.0,35.0,23.1,3.83,7.98,.479,1.40,3.36,.415,3.21,4.09,.785,1.55,3.09,4.64,0.97,0.38,0.31,1.36,0.95,12.26,.618,.567,8.31,15.25,11.92,8.10,8.72,1.02,1.59,24.47,167.97,-1.38,1.54,131.5,96.2,23.68
38,Jordan Bell,CHI,CHI to GOS,PF,203cm,98kg,22,4,Oregon,Jr *,United States,NCAA,CAREER,NCAA DI, ,104.0,62.0,24.9,3.32,5.44,.610,0.03,0.15,.188,1.16,1.86,.627,2.15,4.76,6.91,1.49,1.07,2.25,2.32,1.56,7.83,.619,.612,10.46,21.14,16.03,10.79,19.76,2.48,9.51,15.98,142.40,-2.25,1.44,116.7,92.0,21.05
39,Jawun Evans,PHL,PHL to LAC,PG,183cm,86kg,20,2,Oklahoma State,So *,United States,NCAA,CAREER,NCAA DI, ,54.0,52.0,29.1,5.70,12.74,.448,1.02,2.50,.407,4.17,5.09,.818,0.63,3.19,3.81,5.78,1.52,0.15,2.37,2.70,16.59,.547,.488,2.51,12.26,7.47,41.78,15.14,2.99,0.56,29.85,167.33,3.92,1.30,116.2,104.0,23.89
40,Dwayne Bacon,NOP,NOP to CHA,SF,198cm,100kg,21,4,Florida State,So *,United States,NCAA,CAREER,NCAA DI, ,69.0,67.0,28.8,6.06,13.48,.449,1.29,4.13,.312,3.10,4.23,.733,1.17,3.81,4.99,1.61,0.99,0.07,1.86,2.10,16.51,.533,.497,4.70,14.56,9.75,11.01,11.95,1.90,0.27,29.11,149.46,-3.45,1.22,107.9,102.7,19.11
41,Tyler Dorsey,ATL,,SG,196cm,83kg,21,2,Oregon,So *,United States / Greece,NCAA,CAREER,NCAA DI, ,75.0,74.0,30.0,4.56,10.03,.455,2.07,4.97,.416,2.88,3.93,.732,1.08,2.79,3.87,1.84,0.79,0.15,1.76,1.71,14.07,.591,.558,4.35,10.32,7.46,11.34,12.55,1.51,0.52,22.59,160.25,-1.61,1.40,118.5,101.7,17.81
42,Thomas Bryant,UTH,UTH to LAL,C,208cm,112kg,19,4,Indiana,So *,United States,NCAA,CAREER,NCAA DI, ,69.0,69.0,25.3,4.42,7.46,.592,0.41,1.09,.373,2.96,4.12,.718,2.12,4.09,6.20,1.22,0.62,1.22,2.94,1.97,12.20,.648,.619,10.41,18.05,14.44,9.02,17.31,1.43,4.93,22.16,168.39,-4.61,1.63,122.1,100.2,22.37
43,Isaiah Hartenstein,HOU,,PF,213cm,113kg,19,3,Zalgiris (Lithuania),1998 DOB *,United States / Germany,GLEAGUE,CAREER, ,None,78.0,51.0,25.7,6.04,10.12,.597,0.53,1.83,.287,2.58,3.88,.663,3.88,6.87,10.76,2.59,0.72,1.41,3.24,2.28,15.59,.659,.623,16.15,27.64,21.99,14.87,16.18,1.28,4.65,21.81,154.70,-2.09,1.54,123.7,106.6,24.41
44,Damyean Dotson,NYK,,SG,196cm,93kg,23,4,Houston,Sr,United States,NCAA,CAREER,NCAA DI, ,134.0,133.0,29.1,4.81,10.37,.464,1.81,4.77,.380,1.49,1.87,.796,1.24,3.80,5.04,1.11,0.75,0.16,1.60,1.16,12.93,.574,.551,5.01,14.96,10.05,7.69,9.32,1.53,0.59,21.43,164.03,-1.42,1.25,118.9,100.4,18.42
45,Dillon Brooks,HOU,HOU to MEM,F,198cm,98kg,21,4,Oregon,Jr *,Canada,NCAA,CAREER,NCAA DI, ,109.0,98.0,28.9,5.39,11.40,.472,1.22,3.37,.362,2.80,3.52,.794,1.60,2.94,4.54,2.56,0.88,0.47,2.94,2.15,14.79,.565,.526,6.64,11.21,9.03,17.58,14.10,1.76,1.70,26.48,162.89,-1.50,1.30,113.9,101.5,19.95
46,Sterling Brown,PHL,PHL to MIL,G,196cm,99kg,22,4,Southern Methodist,Sr,United States,NCAA,CAREER,NCAA DI, ,136.0,107.0,25.7,2.90,5.75,.504,0.94,2.09,.451,1.43,1.85,.770,1.40,3.38,4.78,2.16,1.02,0.38,2.24,1.54,8.16,.616,.586,6.94,14.64,11.05,15.66,18.82,2.45,1.87,16.66,172.44,-0.39,1.42,118.6,93.9,17.05
47,Ike Anigbogu,IND,,C,206cm,114kg,18,2,UCLA,Fr *,United States,NCAA,CAREER,NCAA DI, ,29.0,0.0,13.0,1.97,3.48,.564,0.00,0.00,.000,0.79,1.48,.535,1.41,2.62,4.03,0.21,0.17,1.21,2.48,0.83,4.72,.564,.564,13.03,19.99,16.84,2.40,16.50,0.73,8.79,18.56,109.92,-5.07,1.36,108.7,98.0,16.37
48,Sindarius Thornwell,MIL,MIL to LAC,SG,193cm,98kg,22,3,South Carolina,Sr,United States,NCAA,CAREER,NCAA DI, ,132.0,132.0,31.8,4.52,11.52,.392,1.36,4.00,.339,4.32,5.60,.771,1.62,3.57,5.19,2.95,1.51,0.59,2.42,2.51,14.70,.518,.451,5.73,13.02,9.32,20.57,15.02,2.78,2.23,25.79,150.22,-1.68,1.28,108.1,96.1,18.41
49,Vlatko Cancar,DEN,,SF,203cm,107kg,20,2,KK Mega Bemax (Serbia),1997 DOB *,Slovenia,GLEAGUE,CAREER, ,None,10.0,5.0,28.7,5.00,11.80,.424,2.40,6.10,.393,1.10,1.40,.786,1.80,4.50,6.30,2.70,0.90,0.30,3.00,2.90,14.40,.580,.525,6.34,15.55,10.99,13.85,18.93,1.46,0.80,21.25,160.29,-3.75,1.22,102.5,114.6,13.41
50,Mathias Lessort,PHL,PHL to LACLAC to MINMIN to NYK,F,206cm,113kg,21,0,Nanterre 92 (France),1995 DOB,France,INTERNATIONAL,2017-18 *,All Teams,All Leagues,77.0,58.0,18.4,2.91,4.81,.605,0.01,0.04,.333,1.87,3.01,.621,2.14,2.71,4.86,0.66,0.83,0.74,2.49,1.48,7.70,.628,.607,14.68,20.14,17.30,6.33,19.45,2.54,4.33,20.01,155.94,-5.90,1.60,114.4,105.5,18.55
51,Monte Morris,DEN,,G,188cm,83kg,21,4,Iowa State,Sr,United States / Nigeria,NCAA,CAREER,NCAA DI, ,140.0,121.0,33.8,4.54,9.54,.476,1.09,2.85,.381,2.03,2.60,.780,0.77,2.91,3.69,5.49,1.61,0.29,1.51,1.17,12.20,.566,.533,2.67,9.13,6.06,27.36,9.80,2.68,0.86,17.64,163.72,7.04,1.28,126.2,102.5,19.26
52,Edmond Sumner,NOP,NOP to IND,G,198cm,89kg,21,4,Xavier,So *,United States,NCAA,CAREER,NCAA DI, ,60.0,49.0,25.7,3.42,7.97,.429,0.62,2.17,.285,3.60,4.93,.730,0.50,2.88,3.38,3.72,1.13,0.37,2.20,2.13,11.05,.536,.468,2.18,12.45,7.34,26.73,17.14,2.47,1.65,23.18,144.32,1.29,1.39,109.9,98.1,17.27
53,Kadeem Allen,BOS,,G,191cm,91kg,24,3,Arizona,Sr,United States,NCAA,CAREER,NCAA DI, ,68.0,60.0,27.5,3.04,6.63,.459,0.74,1.84,.400,2.25,3.10,.725,0.29,3.28,3.57,3.26,1.29,0.71,2.43,1.96,9.07,.560,.514,1.36,13.07,7.64,21.20,19.44,2.75,2.66,18.53,158.41,0.82,1.37,109.5,95.2,15.67
54,Alec Peters,PHX,,F,206cm,102kg,22,1,Valparaiso,Sr,United States,NCAA,CAREER,NCAA DI, ,134.0,134.0,31.7,5.90,12.11,.487,2.16,5.18,.416,3.57,4.22,.846,1.97,5.46,7.43,1.52,0.76,0.28,2.11,1.85,17.52,.621,.576,7.51,18.63,13.38,10.94,11.59,1.43,0.99,25.67,174.95,-2.66,1.45,124.4,95.0,23.98
55,Nigel Williams-Goss,UTH,,SG,191cm,86kg,22,1,Gonzaga,Jr *,United States,NCAA,CAREER,NCAA DI, ,100.0,100.0,34.1,5.74,12.36,.464,0.97,2.93,.331,2.91,3.61,.806,0.69,4.40,5.09,4.96,1.33,0.13,1.91,2.59,15.36,.546,.504,2.43,13.80,8.45,28.88,15.54,2.28,0.37,24.68,160.16,2.08,1.24,111.1,98.3,19.44
56,Jabari Bird,BOS,,SG,198cm,90kg,22,2,California,Sr,United States,NCAA,CAREER,NCAA DI, ,114.0,80.0,26.4,3.95,8.93,.442,1.64,4.43,.370,1.23,1.63,.753,0.79,2.49,3.28,1.16,0.51,0.31,1.72,1.20,10.76,.555,.534,3.49,10.37,7.04,9.10,11.02,1.15,1.14,21.37,156.50,-1.65,1.21,110.0,102.7,15.06
57,Sasha Vezenkov,BRK,BRK to CLE,PF,206cm,102kg,21,0,FC Barcelona II (Spain),1995 DOB,Cyprus / Bulgaria,INTERNATIONAL,2017-18 *,All Teams,All Leagues,34.0,9.0,14.0,2.12,4.15,.511,0.74,1.97,.373,0.65,0.79,.815,0.88,2.12,3.00,0.74,0.38,0.35,1.53,0.35,5.62,.625,.599,8.09,18.95,13.58,8.00,7.28,1.49,2.68,16.48,169.86,1.00,1.35,130.3,105.3,17.24
58,Ognjen Jaramaz,NYK,,SG,193cm,82kg,21,0,KK Mega Bemax (Serbia),1995 DOB,Serbia,INTERNATIONAL,2017-18 *,All Teams,All Leagues,12.0,6.0,23.9,4.17,8.42,.495,0.83,3.17,.263,2.08,3.33,.625,0.58,2.58,3.17,3.92,1.00,0.08,1.83,2.08,11.25,.569,.545,2.95,13.61,8.17,28.14,17.41,2.24,0.36,22.73,138.32,2.18,1.34,110.7,110.5,16.44
59,Jaron Blossomgame,SAN,,F,203cm,100kg,23,1,Clemson,Sr,United States,NCAA,CAREER,NCAA DI, ,128.0,125.0,30.7,4.90,10.05,.488,0.75,2.38,.316,2.99,4.13,.724,1.89,4.60,6.49,1.10,0.65,0.77,1.65,1.48,13.54,.564,.525,7.27,17.33,12.35,8.39,11.00,1.33,2.71,23.61,152.74,-2.62,1.35,115.3,99.5,20.77
60,Alpha Kaba,ATL,,PF,208cm,110kg,21,0,KK Mega Bemax (Serbia),1996 DOB *,France,INTERNATIONAL,2017-18 *,All Teams,All Leagues,44.0,6.0,15.8,2.14,3.82,.560,0.00,0.02,.000,1.00,1.66,.603,1.95,3.34,5.30,0.75,0.57,0.84,1.84,0.93,5.27,.580,.560,16.50,26.93,21.84,8.19,17.00,2.07,5.23,17.32,116.23,-2.91,1.38,115.8,103.9,18.64
61,Chris Boucher,None,None,PF,208cm,91kg,24,4,Oregon,Sr,Saint Lucia / Canada,NCAA,CAREER,NCAA DI, ,69.0,47.0,24.8,4.33,8.16,.531,1.09,3.16,.344,2.17,3.39,.641,2.28,4.51,6.78,0.41,0.61,2.74,2.68,1.09,11.93,.610,.598,11.09,20.09,15.79,3.17,10.01,1.42,11.78,21.83,151.61,-3.32,1.46,124.0,90.9,24.98
61,Luke Kornet,None,None,F,216cm,113kg,21,4,Vanderbilt,Sr,United States,NCAA,CAREER,NCAA DI, ,128.0,76.0,24.1,2.99,7.17,.417,1.17,3.66,.320,1.71,2.20,.779,1.20,3.55,4.76,1.12,0.38,1.64,1.95,1.08,8.87,.540,.499,6.18,15.84,11.35,9.96,11.60,0.97,7.02,20.51,151.64,-1.43,1.24,110.1,97.2,17.28
61,Antonius Cleveland,None,None,G,198cm,88kg,23,2,Southeast Missouri State,Sr,United States,NCAA,CAREER,NCAA DI, ,121.0,107.0,28.8,4.83,9.79,.494,0.51,1.78,.288,2.68,4.37,.612,1.40,3.32,4.73,2.00,1.31,0.63,2.60,1.86,12.86,.542,.520,5.49,13.63,9.47,14.32,13.55,2.60,2.43,23.52,139.49,-1.76,1.31,107.4,104.7,17.99
61,Isaiah Hicks,None,None,PF,203cm,106kg,22,2,North Carolina,Sr,United States,NCAA,CAREER,NCAA DI, ,151.0,45.0,16.2,2.78,4.87,.571,0.01,0.04,.167,1.79,2.48,.725,1.46,2.15,3.62,0.66,0.33,0.52,2.45,1.05,7.36,.609,.571,10.06,14.15,12.15,7.23,14.82,1.16,3.48,20.64,146.19,-3.65,1.51,119.5,99.6,18.79
